u1,u2
1540,2405
514,1540
1540,2883
690,1540
1540,4540
1540,4005
1540,4483
1540,3850
1540,3761
773,1540
1540,4486
1540,3114
391,1540
1540,3687
553,1540
1305,1540
1540,2256
1540,4330
1249,1540
1448,1540
1245,1540
1162,1540
1540,2581
1540,4193
1540,3566
1540,4076
1540,3214
1540,3519
145,1540
1540,2765
1433,1540
1540,3157
1139,1540
1540,4396
1193,1540
1540,2203
1540,4250
308,1540
1204,1540
1295,1540
1540,3102
282,1540
1540,1639
1540,2965
433,1540
1307,1540
485,2025
485,3984
485,4034
485,2064
485,2596
485,2375
485,3903
485,3761
485,559
432,485
485,3850
485,2608
209,485
485,2999
485,3833
485,2860
43,485
485,1256
485,2870
485,1467
485,3052
485,3987
485,731
277,485
485,1112
485,1421
485,1725
485,648
485,4534
485,3102
55,485
485,1678
485,2109
485,3331
485,4317
2813,4015
4015,4182
1434,4015
1754,4015
1249,4015
1219,4015
1012,4015
906,4015
2122,4015
1112,4015
1643,4015
255,2813
2693,2813
1268,2813
1328,2813
375,2813
2813,3665
277,2813
1635,2813
3761,4255
1364,3761
2067,3761
3761,4218
1219,3761
1249,3761
277,3761
1329,3761
2608,3761
3331,3761
342,3761
3761,4396
1598,3761
1684,3761
1075,3761
2144,3761
1209,3761
3761,4065
573,3761
3761,4259
3354,3761
3566,3761
3062,3761
1410,3761
2451,3761
1205,3761
1710,3761
2132,3761
2729,3761
3650,3761
2860,3761
3761,3979
3761,3903
3123,3761
855,3761
3761,4249
3761,4069
3755,3761
2493,3761
2032,3761
2551,3761
2868,3761
3761,3947
3761,3966
3761,4174
992,3761
2101,3761
1506,3761
3723,3761
2757,3761
3761,4304
3761,3843
3761,4092
3519,3761
553,3761
2549,3761
1149,3761
1026,3761
1807,3761
2587,3761
2583,3761
1882,3761
1595,3761
3761,4517
690,3761
2095,3761
1098,3761
3761,4197
2379,3761
1013,3761
3761,3786
2870,3761
2311,3761
2559,3761
2965,3761
2555,3761
159,3761
2999,3761
2146,3761
645,3761
3761,4468
816,3761
55,3761
3102,3761
3761,3929
802,3761
1599,3761
2548,3761
1520,3761
308,3761
3761,4104
3427,3761
541,3761
1152,3761
2907,3761
433,3761
3761,4494
3247,3761
3761,4464
3761,3920
2304,3761
1945,3761
590,3761
2075,3761
1161,3761
179,3761
373,3761
43,3761
1643,3761
486,3761
1084,3761
1601,3761
2350,3761
3761,3892
3761,3927
3761,4014
1941,3761
3119,3761
