venue_id,name,category,locality,region,description,poi_idx,latitude,longitude
1-oak-new-york,,Nightlife>Lounge,New York,NY,,0,40.743843,-74.006331
1-union-square-south-new-york,,Home / Work / Other>Other - Buildings,New York,NY,,1,40.734243,-73.9898934
1-world-financial-center-new-york,,Home / Work / Other>Corporate / Office,New York,NY,,2,40.710475,-74.015493
10-degrees-new-york,,Nightlife>Wine Bar,New York,NY,,3,40.7269985887,-73.9837789536
10-downing-food-and-wine-new-york,,Food>American Restaurants,New York,NY,,4,40.7294702456,-74.0022754669
10-downing-street-new-york,,Food>American,New York,NY,,5,40.729259,-74.002643
10-east-40th-st-new-york,,Home / Work / Other>Other - Buildings,New York,NY,,6,40.75221,-73.98261
10-hanover-square-new-york,,Home / Work / Other>Home,New York,NY,,7,40.704438,-74.009088
10-hanover-square-roofdeck-new-york,,Home / Work / Other>Other - Buildings,New York,NY,,8,40.704438,-74.009088
100-john-st-new-york,,"Homes, Work, Others>Homes",New York,NY,,9,40.707627,-74.00678316
101-coffee-shop-los-angeles,,Food>Diner,Los Angeles,CA,,10,34.105413079,-118.323681951
101-freeway-los-angeles,,Travel>Highway / Traffic,Los Angeles,CA,,11,34.1388042124,-118.363952637
1020-bar-new-york,,Nightlife>Bar,New York,NY,,12,40.8034,-73.964
1036-n-dearborn-apartments-chicago,,Unknown,Chicago,IL,,13,41.901693,-87.630075
10405-freeway-interchange-los-angeles,,Parks & Outdoors>Other - Parks & Outdoor,Los Angeles,CA,,14,34.0343024,-118.4369805
105-e-29th-new-york,,Unknown,New York,NY,,15,40.7439,-73.9829
105-riv-new-york,,Nightlife>Lounge,New York,NY,,16,40.7198009,-73.988218
106-ridge-street-new-york,,Home / Work / Other>Home,New York,NY,,17,40.718691,-73.983131
1067-kroq-los-angeles,,Arts & Entertainment>Other - Entertainment,Los Angeles,CA,,18,34.040072,-118.370667
10pin-bowling-lounge-chicago,,Nightlife>Other - Nightlife,Chicago,IL,,19,41.888242,-87.628707
10th-annual-international-pickle-day-new-york,,Shops>Flea Market / Fair,New York,NY,,20,40.7192482,-73.9938444
11-madison-ave-new-york,,Home / Work / Other>Corporate / Office,New York,NY,,21,40.741299,-73.986692
110-10-interchange-los-angeles,,Travel>Highway / Traffic,Los Angeles,CA,,22,34.0378666846,-118.274002075
110-2nd-place-new-york,,Home / Work / Other>Home,New York,NY,,23,40.6795,-73.9972
110-freeway-los-angeles,,Parks & Outdoors>Other - Parks & Outdoor,Los Angeles,CA,,24,34.0655298471,-118.242845535
110-madison-ave-new-york,,Home / Work / Other>Other - Buildings,New York,NY,,25,40.745077,-73.985282
111-central-park-north-new-york,,Great Outdoors>Parks,New York,NY,,26,40.798804,-73.951237
1130-south-michigan-chicago,,Home / Work / Other>Home,Chicago,IL,,27,41.868602,-87.624679
1155-park-ave-new-york,,Unknown,New York,NY,,28,40.782959,-73.954995
117-christopher-st-new-york,,Unknown,New York,NY,,29,40.734384,-74.003416
119-bar-new-york,,Nightlife>Dive Bar,New York,NY,,30,40.7348,-73.9885
11th-street-bar-new-york,,Nightlife>Bar,New York,NY,,31,40.728,-73.9813
11th-street-cafe-new-york,,Food>Café,New York,NY,,32,40.7356,-74.0075
12-chairs-new-york,,Food>Breakfast / Brunch,New York,NY,,33,40.7275,-74.0023
