venue_id,lat,lng,category_id,category,city,km
9207,41.8891957606,-87.6558351517,121,Corporate Office,Chicago,7.07
9438,40.721157671,-73.9923564282,26,Ultra-lounge,New York,7.49
9477,34.0908443833,-118.3704543,16,American,Los Angeles,15.007
9478,34.0907371,-118.3709692833,59,Other - Art & Culture,Los Angeles,15.034
9479,34.0910053167,-118.3727502667,59,Other - Art & Culture,Los Angeles,15.176
9480,34.0907049167,-118.3729004833,16,American,Los Angeles,15.164
9481,34.0907800167,-118.3737158667,54,Other - Shopping,Los Angeles,15.226
9482,34.0907759723,-118.374629166,16,American,Los Angeles,15.288
9483,34.09068345,-118.3752393667,82,French,Los Angeles,15.324
9484,34.09030795,-118.3761405833,82,French,Los Angeles,15.359
9485,34.0889668333,-118.3769774333,64,Other - Food ,Los Angeles,15.321
9486,34.0905869,-118.3735013,82,French,Los Angeles,15.197
9487,34.0905761667,-118.3720636333,35,Apparel,Los Angeles,15.097
9488,34.10928725,-118.34427595,106,Grocery,Los Angeles,14.937
9489,34.09075855,-118.3701109833,154,Burgers,Los Angeles,14.977
9518,34.0175879,-118.4870553,121,Corporate Office,Los Angeles,21.938
9523,34.0181350667,-118.4896302167,16,American,Los Angeles,22.18
9621,40.8054649667,-73.9659905333,913,Frozen Yogurt,New York,11.999
9671,40.722603876,-74.0452676281,1,Coffee Shop,New York,11.915
9779,34.0740323,-118.3237195,19,Italian,Los Angeles,10.673
9780,34.13436055,-118.361485,15,Mexican,Los Angeles,18.129
9781,34.0686249667,-118.3435678333,913,Frozen Yogurt,Los Angeles,11.514
9782,34.1432225667,-118.3938431667,913,Frozen Yogurt,Los Angeles,20.716
9783,34.13726805,-118.3595967167,49,Luxury Hotel,Los Angeles,18.3
9816,41.8971103352,-87.6244479418,60,Other - Architecture,Chicago,7.97
9818,40.8627384488,-73.8794517517,214,Garden,New York,17.358
9827,34.1209280333,-118.3801746333,364,Dog Park,Los Angeles,18.017
9831,41.89177035,-87.6245713167,445,LEGO Store,Chicago,7.384
9871,41.8836366032,-87.6299840212,51,Sculpture,Chicago,6.417
9883,41.8788598144,-87.6358687878,23,Skyscraper,Chicago,5.834
9884,34.0734129064,-118.2402169704,79,Stadium,Los Angeles,8.213
9889,41.8778443333,-87.63545035,155,Pizza,Chicago,5.725
9905,41.8927145,-87.61360645,60,Other - Architecture,Chicago,7.707
9907,41.8917036129,-87.6074802876,58,Other - Entertainment,Chicago,7.768
9935,41.9385440066,-87.6444545388,193,Record Store,Chicago,12.456
9938,41.94006085,-87.6498055333,34,Thrift Store,Chicago,12.642
9939,41.9410586333,-87.65152215,96,Bookstore,Chicago,12.761
9943,41.8654847,-87.61699675,73,History Museum,Chicago,4.775
9948,41.8623379996,-87.6166909933,79,Stadium,Chicago,4.472
9952,41.879578752,-87.6228868961,50,Traditional Art Museum,Chicago,6.091
9958,41.9424319167,-87.6446342333,18,Asian,Chicago,12.889
9996,41.8676090167,-87.6146364167,76,Aquarium,Chicago,5.072
10112,40.8001293986,-73.9621187101,82,French,New York,11.323
10128,33.853978424,-118.1437218189,170,Warehouse & Industrial,Los Angeles,18.968
10129,33.8540804333,-118.1365013,433,Starbucks,Los Angeles,19.312
10184,34.0301191667,-118.4670352833,121,Corporate Office,Los Angeles,20.282
10190,33.9435379571,-118.4071683884,45,Airport,Los Angeles,15.795
10219,40.8021387112,-73.964503829,96,Bookstore,New York,11.611
10504,34.0871214833,-118.3766984833,18,Asian Food,Los Angeles,15.17
10509,34.1802263167,-118.30777645,18,Asian,Los Angeles,20.734
10510,34.18124555,-118.3091711833,16,American,Los Angeles,20.877
10511,34.1820931333,-118.3109736333,30,Cineplex,Los Angeles,21.012
10576,41.8762671833,-87.62439965,134,University,Chicago,5.703
10587,34.1812992,-118.3095359667,24,Pub,Los Angeles,20.892
10600,41.8578779667,-87.6239705,16,American,Chicago,3.768
10601,41.8578565,-87.6219964,52,Modern Art Museum,Chicago,3.831
10602,41.8570840333,-87.6221895167,60,Other - Architecture,Chicago,3.747
10605,41.8575882833,-87.6207733,60,Other - Architecture,Chicago,3.848
10608,41.8679738,-87.6197648,51,Sculpture,Chicago,4.94
10610,41.8661284333,-87.61264085,51,Sculpture,Chicago,5.001
10611,41.8663108333,-87.6104521667,51,Sculpture,Chicago,5.107
10616,41.8663969455,-87.6067829132,213,Planetarium,Chicago,5.273
10618,34.18239355,-118.3110809167,1,Coffee Shop,Los Angeles,21.047
10621,41.8790245,-87.6245713167,31,Performing Arts,Chicago,5.998
10666,34.18005465,-118.3079910167,167,Brewery / Microbrewery,Los Angeles,20.721
10670,41.836313,-87.6524662833,22,Historic Church,Chicago,1.427
10709,34.18157815,-118.3110594667,80,Dessert,Los Angeles,20.959
10897,41.8797755167,-87.7952241833,121,Corporate Office,Chicago,14.056
10963,40.6769979,-73.9817619167,81,South American / Latin,New York,7.308
10971,33.9168977667,-118.0122399167,433,Starbucks,Los Angeles,23.796
10975,33.9018881167,-118.0304145667,61,Sports & Outdoors,Los Angeles,23.006
10987,41.8911051667,-87.6171684167,101,Sandwich Shop,Chicago,7.452
10990,41.8899035333,-87.6205158167,23,Skyscraper,Chicago,7.252
11015,33.9439562803,-118.0836081505,60,Other - Architecture,Los Angeles,16.561
11016,33.9451575167,-118.08152675,51,Sculpture,Los Angeles,16.69
11018,33.9023923833,-118.0830287833,60,Other - Architecture,Los Angeles,18.841
11037,33.9795516822,-118.0373901308,62,Toys & Games,Los Angeles,19.733
11038,33.9642870333,-118.0343413333,1,Coffee Shop,Los Angeles,20.277
11044,41.9655311,-87.8371953833,106,Grocery,Chicago,22.4
11045,33.8984549,-118.0266165667,60,Other - Architecture,Los Angeles,23.496
11046,33.89802575,-118.0254149333,60,Other - Architecture,Los Angeles,23.616
11047,33.8985085333,-118.0260586667,60,Other - Architecture,Los Angeles,23.538
11061,34.0706389,-118.4314193,42,Golf Course,Los Angeles,18.47
11066,33.8751947833,-118.1420588333,433,Starbucks,Los Angeles,17.081
11082,33.8541018833,-118.1419086333,363,Chipotle,Los Angeles,19.044
11085,33.9355659333,-118.1303644167,210,Other - Medical,Los Angeles,13.155
11087,33.9374005667,-118.12826155,1,Coffee Shop,Los Angeles,13.21
11359,41.8882692679,-87.6354825497,166,Historic Landmark,Chicago,6.88
11410,40.7500505333,-73.9954519167,93,Hostel,New York,8.933
11436,41.92138195,-87.6445055,38,City Park,Chicago,10.549
11548,41.9606389426,-87.8144931793,152,High School,Chicago,20.684
11580,33.818255747,-118.1447356939,45,Airport,Los Angeles,22.423
11601,41.8301289642,-87.6342594624,79,Stadium,Chicago,0.706
11637,33.8539195,-118.1323599667,1,Coffee Shop,Los Angeles,19.536
11640,33.8700449333,-118.1420159333,16,American,Los Angeles,17.552
11644,33.8540804333,-118.1437969167,28,Dive Bar,Los Angeles,18.955
11706,41.8185353167,-87.6484751667,38,City Park,Chicago,1.071
11711,40.7564248567,-73.8454198837,79,Stadium,New York,7.387
11712,40.755595897,-73.8483810425,79,Stadium,New York,7.15
11714,40.7458532611,-73.8466000556,73,History Museum,New York,6.501
11715,40.7470430377,-73.8431024495,38,City Park,New York,6.811
11717,41.9093441833,-87.8235483167,17,BBQ,Chicago,17.678
11718,40.7610905167,-73.8576936667,86,Seafood,New York,7.147
11720,40.829406,-73.927431,79,Stadium,New York,13.644
11721,40.8282423,-73.9258432333,16,American,New York,13.497
11722,40.8285319667,-73.9273452667,63,Monument,New York,13.546
11724,40.8279794302,-73.9256434135,436,,New York,13.466
11728,40.8538124533,-73.8777780533,33,Zoo,New York,16.393
11735,40.7894950957,-73.9757771059,110,Bakery,New York,10.849
11736,40.7036054,-74.0164375167,63,Monument,New York,9.385
11738,40.7034970026,-74.0160512924,38,City Park,New York,9.354
11740,40.7049528782,-74.0136426687,38,City Park,New York,9.144
11741,40.70548295,-74.0134119833,73,History Museum,New York,9.122
11742,40.7074172208,-74.0113627911,23,Skyscraper,New York,8.946
11744,40.7115758935,-74.0119528677,23,Skyscraper,New York,9.004
11745,40.711857687,-74.0116149187,166,Historic Landmark,New York,8.977
11746,40.7113914471,-74.0124463993,23,Skyscraper,New York,9.045
11747,40.7126953241,-74.0132188797,23,Skyscraper,New York,9.117
