userid1,userid2,source
1,63488,crawl
1,2,crawl
1,3,crawl
1,4,crawl
1,5,crawl
1,12,crawl
1,2065,crawl
1,24,crawl
1,25,crawl
1,29,crawl
1,45086,crawl
1,33,crawl
1,6179,crawl
1,4136,crawl
1,43,crawl
1,46,crawl
1,60,crawl
1,62,crawl
1,6211,crawl
1,68,crawl
1,26700,crawl
1,92,crawl
1,14439,crawl
1,170096,crawl
1,114,crawl
1,2163,crawl
1,24694,crawl
1,119,crawl
1,120,crawl
1,252028,crawl
1,18568,crawl
1,12429,crawl
1,8339,crawl
1,149,crawl
1,2213,crawl
1,181,crawl
1,65726,crawl
1,193,crawl
1,198,crawl
1,266444,crawl
1,208,crawl
1,28898,crawl
1,131300,crawl
1,234,crawl
1,246,crawl
1,4358,crawl
1,61704,crawl
1,2314,crawl
1,26898,crawl
1,2094,crawl
1,39192,crawl
1,114978,crawl
1,2343,crawl
1,301,crawl
1,315,crawl
1,318,crawl
1,327,crawl
1,102759,crawl
1,5182,crawl
1,388,crawl
1,389,crawl
1,12693,crawl
1,273137,crawl
1,2477,crawl
1,2480,crawl
1,20917,crawl
1,20925,crawl
1,18883,crawl
1,456,crawl
1,76,crawl
1,468,crawl
1,2564,crawl
1,2611,crawl
1,564,crawl
1,135740,crawl
1,16958,crawl
1,578,crawl
1,580,crawl
1,57935,crawl
1,4701,crawl
1,3516,crawl
1,25196,crawl
1,2681,crawl
1,8837,crawl
1,2696,crawl
1,2698,crawl
1,665,crawl
1,12954,crawl
1,6814,crawl
1,2722,crawl
1,129727,crawl
1,125640,crawl
1,714,crawl
1,37594,crawl
1,39653,crawl
1,31465,crawl
1,162545,crawl
1,262903,crawl
1,324346,crawl
1,2819,crawl
1,6928,crawl
1,62238,crawl
1,17183,crawl
1,825,crawl
1,975682,crawl
1,27467,crawl
1,4921,crawl
1,13146,crawl
1,162959,crawl
1,2908,crawl
1,862,crawl
1,2911,crawl
1,876,crawl
1,4975,crawl
1,900,crawl
1,5015,crawl
1,7077,crawl
1,943,crawl
1,2382796,crawl
1,70645,crawl
1,56311,crawl
1,1016,crawl
1,58362,crawl
1,130056,crawl
1,78863,crawl
1,13343,crawl
1,3104,crawl
1,3116,crawl
1,9278,crawl
1,21583,crawl
1,21585,crawl
1,3156,crawl
1,3158,crawl
1,530,crawl
1,3201,crawl
1,3208,crawl
1,3211,crawl
1,3221,crawl
1,13479,crawl
1,1192,crawl
1,15563,crawl
1,25818,crawl
1,234723,crawl
1,1280,crawl
1,3338,crawl
1,3340,crawl
1,6019,crawl
1,1315,crawl
1,21809,crawl
1,5432,crawl
1,1343,crawl
1,17756,crawl
1,19814,crawl
1,6716,crawl
1,11630,crawl
1,5487,crawl
1,23940,crawl
1,3482,crawl
1,3496,crawl
1,9641,crawl
1,7594,crawl
1,1456,crawl
1,7605,crawl
1,54716,crawl
1,24009,crawl
1,58833,crawl
1,11737,crawl
1,13800,crawl
1,26106,crawl
1,7676,crawl
1,3582,crawl
1,5653,crawl
1,263706,crawl
1,52810,crawl
1,1613,crawl
1,15959,crawl
1,360024,crawl
1,2143835,crawl
1,108126,crawl
1,9823,crawl
1,15996,crawl
1,2276970,crawl
1,9860,crawl
1,130694,crawl
1,159370,crawl
1,3741,crawl
1,1698,crawl
1,1699,crawl
1,26290,crawl
1,7880,crawl
1,211235,crawl
1,7899,crawl
1,233181,crawl
1,7902,crawl
1,3809,crawl
1,7918,crawl
1,3824,crawl
1,50940,crawl
1,4390,crawl
1,112410,crawl
1,32565,crawl
1,2375482,crawl
1,2372920,crawl
1,2359129,crawl
1,141154,crawl
1,3049,crawl
1,10115,crawl
1,12169,crawl
1,6028,crawl
1,26523,crawl
1,22482,crawl
1,6125,crawl
2,131140,crawl
2,1,crawl
2,3,crawl
2,4,crawl
2,5,crawl
2,11,crawl
2,12,crawl
2,932779,crawl
2,2065,crawl
2,12309,crawl
2,25,crawl
2,2735,crawl
2,29,crawl
2,33,crawl
2,6178,crawl
2,17756,crawl
2,42,crawl
2,43,crawl
2,6189,crawl
2,46,crawl
2,2097,crawl
2,60,crawl
2,51261,crawl
2,90464,crawl
2,67,crawl
2,68,crawl
2,76,crawl
2,79,crawl
2,100,crawl
2,170096,crawl
2,114,crawl
2,2163,crawl
2,2486390,crawl
2,120,crawl
2,362,crawl
2,16512,crawl
2,125059,crawl
2,134,crawl
2,12429,crawl
2,2191,crawl
2,151,crawl
2,109935,crawl
2,159,crawl
2,164,crawl
2,168,crawl
2,125640,crawl
2,181,crawl
2,714,crawl
2,256190,crawl
2,196,crawl
2,197,crawl
2,198,crawl
2,208,crawl
2,224,crawl
2,8423,crawl
2,309480,crawl
2,234,crawl
2,6382,crawl
2,12532,crawl
2,246,crawl
2,14584,crawl
2,16639,crawl
2,130774,crawl
2,12554,crawl
2,6418,crawl
2,2094,crawl
2,388,crawl
2,25988,crawl
2,686469,crawl
2,289,crawl
2,211235,crawl
2,4390,crawl
2,147753,crawl
2,18730,crawl
2,300,crawl
2,301,crawl
2,302,crawl
2,80180,crawl
2,12597,crawl
2,131382,crawl
2,315,crawl
2,318,crawl
2,57668,crawl
2,327,crawl
2,2377,crawl
2,24906,crawl
2,335,crawl
2,272737,crawl
2,51554,crawl
2,61797,crawl
2,214146,crawl
2,359,crawl
2,2410,crawl
2,2418,crawl
2,5182,crawl
2,20862,crawl
2,385,crawl
2,389,crawl
2,24976,crawl
2,6211,crawl
2,2319769,crawl
2,2459,crawl
2,430,crawl
2,3144,crawl
2,434,crawl
2,208011,crawl
2,20917,crawl
2,6834,crawl
2,20925,crawl
2,451,crawl
2,456,crawl
2,26700,crawl
2,76194,crawl
2,467,crawl
2,468,crawl
2,95310,crawl
2,12367,crawl
2,215521,crawl
2,57826,crawl
2,2532,crawl
2,492,crawl
2,495,crawl
2,539732,crawl
2,8709,crawl
2,530,crawl
2,103174,crawl
2,550,crawl
2,92715,crawl
2,558,crawl
2,2247269,crawl
2,2611,crawl
2,564,crawl
2,2616,crawl
2,2617,crawl
2,6716,crawl
2,16958,crawl
2,578,crawl
