userid,n_in_region,n_in_region_raw,n_global
1,49,50,1766
2,71,73,2892
3,40,40,3021
4,1,1,1325
5,7,7,3215
11,2,2,140
12,40,42,1777
24,8,8,602
25,15,15,2035
29,1,1,3659
33,18,19,2459
38,6,6,553
42,14,14,189
43,56,56,770
46,15,15,1291
50,6,6,2542
55,18,18,516
59,2,2,364
60,206,227,6031
61,62,62,1462
62,81,81,1826
63,13,14,1715
67,203,206,1666
68,10,10,427
70,1,1,104
72,1182,1258,8386
76,1,1,68
79,9,10,430
82,33,33,531
85,4,4,1184
92,7,7,827
97,31,35,1500
100,24,25,943
101,14,14,208
104,15,15,2215
105,52,54,2097
108,18,21,6183
110,347,364,1131
111,7,7,1669
112,7,7,47
114,20,20,500
115,9,9,819
119,6,6,1597
120,1040,1083,12568
124,2,2,13
131,50,55,1011
134,1,1,797
137,51,53,931
145,13,14,1616
149,26,26,1737
151,1040,1122,19282
157,34,35,1069
158,3,3,511
159,118,125,5166
164,175,181,3567
168,5,5,523
172,3,4,572
175,51,51,113
181,50,51,1783
189,477,496,1167
193,50,65,5324
196,7,7,285
197,16,16,16
198,2,2,1537
204,205,280,6808
206,47,50,949
208,12,12,142
209,4,4,3506
214,20,23,11789
221,17,17,964
224,28,28,1554
229,1,1,3
234,11,11,392
237,2,3,226
246,13,13,2752
251,270,272,464
270,44,45,5231
278,434,457,769
280,5,5,241
281,19,19,500
284,10,10,420
289,178,187,3090
293,20,20,634
294,43,43,1258
295,1,1,11
296,131,132,145
299,2,3,921
300,37,37,668
301,2,2,197
302,362,365,1853
306,24,24,150
308,4,4,46
309,76,76,394
310,7,7,77
315,7,7,305
317,37,37,78
318,368,382,2375
324,15,15,1357
327,12,12,823
329,1,1,152
335,72,73,815
341,251,370,6918
344,2,3,211
354,100,103,6174
355,8,8,15
359,95,95,2518
362,2,2,70
368,3,3,328
374,1431,1449,1635
381,6,6,51
385,15,15,335
386,4,4,115
388,18,18,201
389,13,13,137
393,7,7,9
394,6,6,37
395,56,59,361
408,9,9,28
409,6,10,1376
