constructed_group_id,user_id,regime
est_000000,14850,established
est_000000,15713,established
est_000001,11644,established
est_000001,15713,established
est_000002,15713,established
est_000002,15785,established
est_000003,10449,established
est_000003,15713,established
est_000004,265,established
est_000004,3190,established
est_000005,3640,established
est_000005,15713,established
est_000006,2732,established
est_000006,15713,established
est_000007,5853,established
est_000007,15713,established
est_000008,11987,established
est_000008,15713,established
est_000009,15713,established
est_000009,22502,established
est_000010,16677,established
est_000010,21132,established
est_000011,11250,established
est_000011,17276,established
est_000012,16262,established
est_000012,19674,established
est_000013,133,established
est_000013,353,established
est_000014,2033,established
est_000014,2359,established
est_000015,2846,established
est_000015,15713,established
est_000016,4374,established
est_000016,5783,established
est_000017,5630,established
est_000017,7110,established
est_000018,7252,established
est_000018,8613,established
est_000019,5126,established
est_000019,8705,established
est_000020,1043,established
est_000020,8705,established
est_000021,955,established
est_000021,8705,established
est_000022,497,established
est_000022,11234,established
est_000023,11336,established
est_000023,15713,established
est_000024,11644,established
est_000024,15785,established
est_000025,581,established
est_000025,11644,established
est_000026,7838,established
est_000026,13667,established
est_000027,11234,established
est_000027,15713,established
est_000028,5781,established
est_000028,15713,established
est_000029,2892,established
est_000029,15713,established
est_000030,581,established
est_000030,15713,established
est_000031,15713,established
est_000031,16778,established
est_000032,12346,established
est_000032,15713,established
est_000033,15713,established
est_000033,19134,established
est_000034,1634,established
est_000034,15713,established
est_000035,579,established
est_000035,16677,established
est_000036,6457,established
est_000036,16677,established
est_000037,16807,established
est_000037,26425,established
est_000038,7535,established
est_000038,17276,established
est_000039,497,established
est_000039,17276,established
est_000040,9620,established
est_000040,19115,established
est_000041,3145,established
est_000041,21061,established
est_000042,21061,established
est_000042,22274,established
est_000043,8990,established
est_000043,22855,established
est_000044,11234,established
est_000044,22855,established
est_000045,6672,established
est_000045,22855,established
est_000046,265,established
est_000046,22855,established
est_000047,138,established
est_000047,11234,established
est_000048,138,established
est_000048,2511,established
est_000049,145,established
est_000049,11739,established
est_000050,353,established
est_000050,955,established
est_000051,459,established
est_000051,1591,established
est_000052,459,established
est_000052,1173,established
est_000053,459,established
est_000053,10238,established
est_000054,581,established
est_000054,1585,established
est_000055,955,established
est_000055,6007,established
est_000056,955,established
est_000056,2033,established
est_000057,1028,established
est_000057,1609,established
est_000058,1173,established
est_000058,11792,established
est_000059,1419,established
est_000059,10481,established
est_000060,1435,established
est_000060,15596,established
est_000061,1591,established
est_000061,2614,established
est_000062,1772,established
est_000062,2525,established
est_000063,2033,established
est_000063,3861,established
est_000064,2145,established
est_000064,10171,established
est_000065,2359,established
est_000065,2379,established
est_000066,2359,established
est_000066,6214,established
est_000067,2380,established
est_000067,4567,established
est_000068,2381,established
est_000068,5675,established
est_000069,2402,established
est_000069,12841,established
est_000070,227,established
est_000070,2511,established
est_000071,2525,established
est_000071,19919,established
est_000072,2780,established
est_000072,11644,established
est_000073,3053,established
est_000073,17907,established
est_000074,1463,established
est_000074,3238,established
est_000075,3778,established
est_000075,4089,established
est_000076,3503,established
est_000076,3861,established
est_000077,1043,established
est_000077,3861,established
est_000078,265,established
est_000078,3861,established
est_000079,4220,established
est_000079,4335,established
est_000080,4220,established
est_000080,17085,established
est_000081,4752,established
est_000081,5783,established
est_000082,4787,established
est_000082,9763,established
est_000083,5123,established
est_000083,8590,established
est_000084,5126,established
est_000084,16481,established
est_000085,5275,established
est_000085,7140,established
est_000086,1842,established
est_000086,5275,established
est_000087,5630,established
est_000087,11361,established
est_000088,5843,established
est_000088,21297,established
est_000089,5853,established
est_000089,21590,established
est_000090,1871,established
est_000090,5970,established
est_000091,6653,established
est_000091,8191,established
est_000092,6457,established
est_000092,6653,established
est_000093,2314,established
est_000093,6792,established
est_000094,6007,established
est_000094,7722,established
est_000095,8084,established
est_000095,8464,established
est_000096,4253,established
est_000096,8562,established
est_000097,2381,established
est_000097,8562,established
est_000098,1007,established
est_000098,8562,established
est_000099,6125,established
est_000099,8682,established
est_000100,1608,established
est_000100,8705,established
est_000101,7140,established
est_000101,8705,established
est_000102,8705,established
est_000102,11792,established
est_000103,1871,established
est_000103,8705,established
est_000104,8734,established
est_000104,16677,established
est_000105,9244,established
est_000105,10238,established
est_000106,9497,established
est_000106,15785,established
est_000107,3306,established
est_000107,10238,established
est_000108,7140,established
est_000108,11234,established
est_000109,4426,established
est_000109,11234,established
est_000110,10999,established
est_000110,11234,established
est_000111,9501,established
est_000111,11234,established
est_000112,8191,established
est_000112,11234,established
est_000113,11325,established
est_000113,14701,established
est_000114,9687,established
est_000114,11451,established
est_000115,2846,established
est_000115,11644,established
est_000116,9501,established
est_000116,11644,established
est_000117,395,established
est_000117,11644,established
est_000118,11644,established
est_000118,12346,established
est_000119,5781,established
est_000119,11644,established
est_000120,6125,established
est_000120,11644,established
est_000121,8397,established
est_000121,11644,established
est_000122,10263,established
est_000122,12346,established
est_000123,1153,established
est_000123,13436,established
est_000124,13436,established
est_000124,17862,established
est_000125,1291,established
est_000125,13640,established
est_000126,13176,established
est_000126,13640,established
est_000127,14829,established
est_000127,17276,established
est_000128,1028,established
est_000128,15217,established
est_000129,8012,established
est_000129,15713,established
est_000130,353,established
est_000130,15713,established
