constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_000000,established,2,14850|15713,15713,7,6,0,1,0.4975
est_000001,established,2,11644|15713,15713,7,7,0,0,0.3683
est_000002,established,2,15713|15785,15713,7,6,0,1,0.3372
est_000003,established,2,10449|15713,15713,6,4,0,2,0.5741
est_000004,established,2,265|3190,3190,5,3,1,1,0.4666
est_000005,established,2,3640|15713,15713,5,4,1,0,0.7161
est_000006,established,2,2732|15713,15713,5,4,0,1,0.6951
est_000007,established,2,5853|15713,15713,5,4,1,0,0.628
est_000008,established,2,11987|15713,15713,5,4,0,1,0.5013
est_000009,established,2,15713|22502,15713,5,1,2,2,0.7088
est_000010,established,2,16677|21132,16677|21132,5,4,1,0,0.5914
est_000011,established,2,11250|17276,17276,5,4,0,1,0.5863
est_000012,established,2,16262|19674,19674,5,2,2,1,0.298
est_000013,established,2,133|353,133,4,3,0,1,0.2567
est_000014,established,2,2033|2359,2033,4,3,1,0,0.331
est_000015,established,2,2846|15713,2846|15713,4,4,0,0,0.4295
est_000016,established,2,4374|5783,4374|5783,4,3,0,1,0.3808
est_000017,established,2,5630|7110,5630,4,2,1,1,0.6023
est_000018,established,2,7252|8613,8613,4,4,0,0,0.025
est_000019,established,2,5126|8705,8705,4,1,3,0,0.6008
est_000020,established,2,1043|8705,1043|8705,4,3,0,1,0.7264
est_000021,established,2,955|8705,8705,4,3,1,0,0.7103
est_000022,established,2,497|11234,497|11234,4,2,1,1,0.8421
est_000023,established,2,11336|15713,11336|15713,4,3,0,1,0.2791
est_000024,established,2,11644|15785,11644|15785,4,3,1,0,0.4027
est_000025,established,2,581|11644,581|11644,4,3,0,1,0.6522
est_000026,established,2,7838|13667,7838|13667,4,2,1,1,0.2215
est_000027,established,2,11234|15713,15713,4,3,0,1,0.8469
est_000028,established,2,5781|15713,15713,4,4,0,0,0.5419
est_000029,established,2,2892|15713,15713,4,3,1,0,0.5258
est_000030,established,2,581|15713,15713,4,3,1,0,0.5255
est_000031,established,2,15713|16778,15713,4,3,0,1,0.4905
est_000032,established,2,12346|15713,15713,4,3,1,0,0.5601
est_000033,established,2,15713|19134,15713,4,3,1,0,0.4471
est_000034,established,2,1634|15713,15713,4,3,1,0,0.2432
est_000035,established,2,579|16677,16677,4,3,0,1,0.5815
est_000036,established,2,6457|16677,16677,4,1,2,1,0.3836
est_000037,established,2,16807|26425,16807,4,3,0,1,0.761
est_000038,established,2,7535|17276,17276,4,3,0,1,0.4092
est_000039,established,2,497|17276,17276,4,2,2,0,0.4733
est_000040,established,2,9620|19115,19115,4,3,0,1,0.1538
est_000041,established,2,3145|21061,21061,4,2,1,1,0.5016
est_000042,established,2,21061|22274,21061|22274,4,2,0,2,0.4365
est_000043,established,2,8990|22855,22855,4,4,0,0,0.3277
est_000044,established,2,11234|22855,22855,4,4,0,0,0.4898
est_000045,established,2,6672|22855,22855,4,2,2,0,0.6718
est_000046,established,2,265|22855,22855,4,4,0,0,0.2144
est_000047,established,2,138|11234,138,3,3,0,0,0.7306
est_000048,established,2,138|2511,138,3,2,1,0,0.5257
est_000049,established,2,145|11739,145|11739,3,3,0,0,0.5792
est_000050,established,2,353|955,353|955,3,3,0,0,0.4612
est_000051,established,2,459|1591,459,3,3,0,0,0.1698
est_000052,established,2,459|1173,459,3,2,0,1,0.4342
est_000053,established,2,459|10238,459|10238,3,1,0,2,0.2433
est_000054,established,2,581|1585,581,3,3,0,0,0.5968
est_000055,established,2,955|6007,955|6007,3,2,0,1,0.6396
est_000056,established,2,955|2033,955|2033,3,1,2,0,0.389
est_000057,established,2,1028|1609,1028|1609,3,3,0,0,0.7261
est_000058,established,2,1173|11792,1173|11792,3,2,1,0,0.5467
est_000059,established,2,1419|10481,1419|10481,3,3,0,0,0.935
est_000060,established,2,1435|15596,1435|15596,3,3,0,0,0.9634
est_000061,established,2,1591|2614,1591|2614,3,2,0,1,0.3167
est_000062,established,2,1772|2525,1772,3,2,0,1,0.3137
est_000063,established,2,2033|3861,2033|3861,3,3,0,0,0.1934
est_000064,established,2,2145|10171,2145,3,1,2,0,0.6998
est_000065,established,2,2359|2379,2359|2379,3,3,0,0,0.4434
est_000066,established,2,2359|6214,2359,3,2,0,1,0.407
est_000067,established,2,2380|4567,2380,3,1,0,2,0.6063
est_000068,established,2,2381|5675,2381,3,3,0,0,0.8643
est_000069,established,2,2402|12841,2402,3,3,0,0,0.7443
est_000070,established,2,227|2511,227|2511,3,1,0,2,0.4085
est_000071,established,2,2525|19919,2525|19919,3,2,0,1,0.6502
est_000072,established,2,2780|11644,2780|11644,3,3,0,0,0.9133
est_000073,established,2,3053|17907,3053,3,1,2,0,0.3599
