u1,u2,n_groups,n_venues,weight_idf
3954,7200,556,497,188.273964
11234,22274,440,192,156.955207
14809,18963,171,98,88.265863
8191,9763,205,125,87.691593
24642,27003,143,143,64.651196
20800,21495,203,177,61.297512
364,2852,149,42,59.568132
7208,7302,145,73,49.723833
25622,26200,102,46,47.668343
994,3795,180,180,47.636289
14829,15469,127,123,47.453795
11336,13117,122,88,47.193946
1055,1056,147,85,46.112989
23765,24455,118,102,44.649869
1585,1608,131,118,41.59031
227,20044,111,57,40.244738
1871,2282,116,80,39.120475
11424,12355,76,42,38.319226
2314,3566,106,90,36.898089
992,1435,93,71,36.35349
26914,27562,121,92,34.723885
1028,1241,86,35,34.3252
6412,20777,97,67,34.202537
5123,5159,98,89,33.76059
989,7732,125,124,31.326009
18628,18856,60,46,31.258355
14991,22873,97,84,31.066642
2827,2889,115,115,31.029643
8040,13003,124,124,30.228715
16481,19813,78,74,29.390643
154,331,101,96,28.9124
16807,17964,83,79,27.722958
14209,15860,76,76,27.682116
3869,25093,81,71,26.967245
19845,24085,85,69,26.891672
7045,19861,67,53,26.163532
4389,4391,78,77,25.928173
5797,7025,78,76,25.828158
2402,2667,63,35,24.212024
20601,22423,65,62,23.444131
579,4193,65,44,23.088679
867,11361,53,31,22.4743
308,315,73,73,22.450315
3954,4837,57,51,20.761028
5395,5782,68,60,20.725917
43,11891,75,73,20.278874
23907,24567,65,54,20.161286
1591,1592,67,66,19.848678
1531,3586,72,68,19.558112
3375,3376,62,49,19.493252
5123,11879,73,72,18.636894
1379,1940,72,72,18.624733
6458,6460,53,47,18.4688
17989,17990,55,46,18.451586
9497,9501,54,40,18.388232
2876,3007,46,21,18.299793
75,8593,52,46,18.289628
6095,9038,82,82,18.164553
29012,29016,65,64,17.465128
4048,10149,51,51,17.175224
1379,1799,65,65,17.092147
1799,1940,68,68,16.909972
4837,7200,45,41,16.667788
5977,6339,58,56,16.551783
694,699,43,33,16.42342
284,288,39,39,16.266151
24756,27863,42,31,16.135485
15481,16315,57,52,15.97945
13078,13079,41,41,15.846151
14397,15327,58,55,15.823714
5123,13386,46,41,15.731726
11083,11161,34,34,15.473126
1634,2134,35,26,15.072638
2511,3551,46,10,14.76041
359,2740,47,33,14.752491
4392,5329,41,34,14.627733
13273,14802,49,37,14.585638
8705,23728,46,33,14.443323
2456,16085,34,34,14.439899
11836,13448,32,3,14.26999
8837,19494,53,52,14.224626
10869,10918,40,36,14.128511
13046,29130,36,34,14.061712
11739,11741,37,35,13.914851
3190,3238,41,41,13.755784
43,6607,56,54,13.655497
5766,7563,44,39,13.537096
14795,16260,26,2,13.468793
64,294,60,60,13.427764
4844,6794,35,28,13.42394
1944,16817,39,34,13.01616
3971,6125,35,35,12.985119
7960,8261,33,32,12.923375
1085,1771,21,15,12.805522
8911,15713,30,24,12.268505
1195,1196,33,29,12.255448
8312,8585,36,36,12.13631
4142,6775,33,32,11.595568
5972,6798,37,34,11.162599
6007,8764,30,25,10.916783
4159,5282,37,36,10.811776
19574,19585,45,43,10.736281
9474,10536,31,30,10.645254
12673,14313,36,36,10.424395
8574,8764,26,21,10.358914
8769,10570,49,49,10.336401
1758,14489,47,47,10.333617
7766,8593,31,22,10.33294
3795,3798,39,39,10.298806
17844,23231,38,37,10.234222
15290,16874,24,12,10.191874
2681,3551,25,16,9.822982
24173,24243,34,30,9.680563
301,7561,24,19,9.660744
8191,16677,38,9,9.565582
14397,15319,40,40,9.481466
14430,28814,38,38,9.424905
478,6011,40,40,9.360893
3640,6719,30,26,9.320687
11752,13214,30,30,9.310353
1173,10888,34,32,9.273462
50,53,41,41,9.270118
27003,31048,35,35,9.248454
22,2314,29,29,9.120586
11174,11302,21,17,9.043464
14397,28814,39,38,8.98286
12693,13055,23,19,8.966557
15319,15327,37,37,8.962432
1095,21535,33,24,8.922101
955,1487,27,24,8.86609
292,295,31,29,8.85202
2876,3145,18,6,8.810949
743,7376,40,38,8.706111
3303,3304,32,31,8.704439
8537,21590,22,22,8.692637
1491,4504,27,23,8.605851
10224,18018,32,21,8.587514
2379,20044,34,6,8.575038
11644,15713,45,3,8.512939
227,3375,28,25,8.398507
15804,15828,31,30,8.379933
9005,17258,27,23,8.32414
626,2336,25,19,8.317966
11310,29906,23,7,8.230606
25042,25587,28,22,8.224198
4045,15481,24,24,8.194557
12841,16875,22,21,8.181813
15619,22578,19,17,8.152115
3145,3317,25,14,7.998108
12849,16637,25,19,7.973849
17910,18046,25,24,7.933187
21961,21976,13,7,7.916407
16374,18895,22,21,7.859997
4507,4520,24,22,7.853149
22519,28072,28,28,7.841283
29241,29673,24,18,7.832794
19,20,24,23,7.773945
30355,30399,29,29,7.772981
12094,12162,25,25,7.680089
13769,14029,30,30,7.66514
15040,17350,33,33,7.620988
5303,5304,32,31,7.62073
9687,27933,21,20,7.617132
22715,22725,19,19,7.526097
18274,29591,12,10,7.521072
7471,8312,22,22,7.51843
2933,2948,31,31,7.516148
2363,2369,18,17,7.502483
12394,14361,20,18,7.476125
459,1386,19,18,7.424037
16807,18414,20,20,7.411254
2197,30581,16,14,7.365784
2794,22941,15,15,7.362645
7200,17085,23,22,7.330617
2788,13734,26,23,7.329516
7535,27403,17,17,7.325966
9595,9638,19,15,7.313172
7400,7447,27,20,7.259746
21782,22353,25,19,7.259145
15470,16025,20,16,7.222327
2778,9689,22,22,7.215577
17994,24500,26,25,7.210451
4511,18059,14,2,7.161577
6508,10108,21,18,7.060095
24756,28937,18,10,7.04919
10793,14446,20,11,7.018137
3007,3145,13,2,6.948018
20044,22443,24,22,6.909499
395,435,20,20,6.902555
19530,19545,26,25,6.895428
16374,17187,19,19,6.894983
5443,9389,19,19,6.887302
6036,6322,19,18,6.850318
17637,17971,29,27,6.805206
1991,11809,21,21,6.80195
12867,12898,23,22,6.778675
15470,16026,17,13,6.729486
10423,24690,34,34,6.72619
5037,10084,27,26,6.723785
6762,6764,33,33,6.6928
5920,12507,35,35,6.687193
11677,11972,19,15,6.68096
21823,21824,14,13,6.66412
13659,21819,22,22,6.659007
643,9419,19,16,6.65217
12505,17350,30,30,6.627047
81,402,22,22,6.564766
29688,29692,15,15,6.543067
5677,27277,21,20,6.524409
18698,21767,24,20,6.508351
3015,10068,14,10,6.485227
2314,5370,19,18,6.479006
19625,19768,11,9,6.476629
9497,16078,21,15,6.474572
2569,7110,26,23,6.446248
13576,14608,21,12,6.425421
181,9130,32,27,6.425364
9411,10405,17,15,6.413465
1808,1810,30,30,6.385239
145,189,22,22,6.373775
31086,31428,7,4,6.371675
12505,15040,28,28,6.339909
26625,26633,17,17,6.329185
14397,14430,28,28,6.305643
6842,6904,25,20,6.268479
1599,6789,24,21,6.251347
627,1931,15,15,6.235795
1688,5541,16,14,6.182847
5888,27977,18,16,6.173041
17964,18414,15,15,6.170347
10494,10569,15,13,6.164499
1760,3505,26,26,6.163975
10538,12292,17,17,6.153029
9024,16259,27,26,6.127726
4347,6883,19,19,6.116141
59,12629,22,16,6.086768
8837,20027,23,22,6.085168
11333,11455,16,16,6.060894
3073,4861,20,18,6.034309
16374,23357,17,17,6.015925
913,11471,22,20,6.013281
7711,22621,16,14,5.989125
7739,8511,34,27,5.982936
17277,22796,25,24,5.952838
13270,19134,17,16,5.944416
1105,1890,15,15,5.92887
14608,14850,15,10,5.928441
21767,23124,21,21,5.857985
12209,19014,23,23,5.85477
16262,17624,15,15,5.83221
26975,28132,17,15,5.825831
8561,24907,26,22,5.788146
4520,5487,11,11,5.783929
4371,7567,25,25,5.741763
5123,6575,19,18,5.732392
12398,12419,13,11,5.724722
554,1463,19,19,5.710602
4601,18338,21,21,5.656167
10880,14393,10,9,5.651488
1597,1915,29,27,5.641815
10805,11249,14,14,5.61726
12393,17351,17,14,5.59994
15327,25119,25,25,5.591698
6607,11891,22,22,5.574971
22,3566,16,16,5.571095
1417,2707,19,18,5.549924
5677,22259,19,17,5.524114
497,8644,13,3,5.52383
1207,1229,18,14,5.521183
2147,2149,22,22,5.492624
4588,16982,15,15,5.484592
26191,27374,16,16,5.446703
4067,14072,24,24,5.443679
10918,14393,12,11,5.434097
3954,17085,13,13,5.426748
15303,15886,15,15,5.426472
11812,22438,25,25,5.421414
10880,10918,13,13,5.38062
988,1080,20,17,5.369488
250,1728,16,16,5.367947
5147,12564,20,12,5.34965
8667,26516,14,14,5.327783
6575,11879,18,17,5.279844
17892,20951,24,24,5.265371
2346,16328,15,15,5.259313
16061,19450,17,17,5.245796
6294,10238,12,9,5.245531
14546,16644,27,27,5.224231
987,1585,15,15,5.220855
16025,16026,14,12,5.178074
2667,3685,14,11,5.160541
1167,16432,16,13,5.136596
10869,14393,11,10,5.130684
7535,7932,15,13,5.129227
17561,17623,11,10,5.122513
227,2379,19,12,5.116102
10869,10880,13,13,5.099187
4177,4355,14,13,5.070806
6974,10103,22,21,5.058443
10171,13623,14,5,5.056697
18452,18459,19,16,5.054602
59,12564,18,11,5.052687
26975,27035,17,2,5.046443
683,6637,16,12,5.032703
955,4138,15,13,5.015048
7471,8585,15,15,5.009069
1048,1337,20,18,4.987453
22259,27277,16,15,4.965254
581,5755,14,4,4.93963
1107,2033,14,14,4.928178
15319,25119,21,21,4.923492
6457,17412,15,10,4.905783
28434,28443,19,19,4.892215
7025,10625,21,21,4.882973
11990,13641,15,14,4.878616
3222,3428,17,16,4.870908
2369,6214,13,13,4.843535
13576,14850,14,9,4.826588
17277,21143,14,12,4.825911
907,1469,17,16,4.821237
17793,17817,10,9,4.813219
14397,25119,21,21,4.801303
8824,21815,15,15,4.798831
1005,9693,18,16,4.795892
20646,22649,10,9,4.792074
909,910,29,29,4.788769
10144,10147,16,9,4.763246
483,4217,12,11,4.742102
867,6604,14,3,4.739743
2771,2803,20,20,4.72433
344,534,19,19,4.712903
27512,27859,12,12,4.710059
8590,12343,11,11,4.689298
5656,10477,11,11,4.677795
18488,21278,8,7,4.667669
9636,19818,22,19,4.66079
12398,12433,15,10,4.655158
11310,12130,12,8,4.620298
20780,24949,12,12,4.617975
23765,27799,8,8,4.567101
3488,7405,13,10,4.552945
3566,16687,14,13,4.549017
7184,10303,19,19,4.548342
18880,19891,20,17,4.533087
5969,27023,10,9,4.514789
7208,7696,12,11,4.511876
18895,18896,17,15,4.467848
59,5147,16,13,4.466421
9727,10659,15,12,4.462184
15541,15597,23,19,4.453706
3798,8142,13,13,4.441575
16403,16464,13,13,4.44128
23280,29111,10,6,4.42478
13286,13538,11,11,4.407785
1374,9421,15,15,4.405334
11836,13077,10,2,4.39949
15646,28431,9,6,4.398877
7302,7696,11,11,4.385627
7318,8273,17,17,4.359046
10464,20239,6,2,4.328085
3491,3645,14,13,4.324569
22778,22902,14,14,4.322937
2709,5744,11,11,4.321063
14000,20622,10,10,4.314621
9501,9687,14,9,4.301361
16687,17256,13,11,4.300785
9497,9779,13,9,4.288085
17077,17328,16,16,4.280104
1107,1920,14,14,4.272062
10386,10387,13,13,4.266449
14850,15046,14,12,4.264844
8566,8570,8,3,4.249889
2036,2037,15,15,4.240062
28748,31153,18,18,4.239728
4152,7366,16,16,4.236136
3145,14808,13,9,4.234852
25270,30862,26,26,4.211948
2412,16670,19,18,4.209598
11445,12109,20,20,4.191768
17187,18895,13,13,4.187723
2379,3375,15,15,4.145541
26884,27051,21,21,4.120625
17146,17260,13,13,4.107868
23023,23669,18,16,4.104741
24788,27192,16,16,4.104141
1435,20918,9,9,4.103942
9832,18527,18,18,4.086913
8974,8976,14,14,4.074451
29280,29296,10,10,4.066305
20882,23919,10,10,4.062804
10662,11441,10,10,4.060752
14409,14589,11,10,4.046347
4837,6059,12,12,4.045277
20174,20202,22,22,4.042737
9139,27053,8,7,4.039043
13533,17176,12,12,4.013879
12398,19136,13,12,4.006587
3401,6412,15,15,3.99301
4461,8255,14,13,3.982846
26414,26425,13,10,3.979294
5209,8301,11,11,3.977149
15018,15020,13,7,3.976536
21714,22272,15,15,3.968698
27379,28829,11,10,3.950106
385,386,10,10,3.945998
5244,5515,12,11,3.937672
10310,26002,14,14,3.923731
16199,16206,10,10,3.912255
11879,11957,13,13,3.908138
14103,14176,14,14,3.899022
10839,11022,24,24,3.884348
11336,17421,12,1,3.882185
7535,10333,18,17,3.857677
1254,1260,11,11,3.853221
3375,20044,12,11,3.848568
10740,11022,24,24,3.837739
24651,24786,11,8,3.837163
22346,29275,14,14,3.833211
7766,8595,10,9,3.826708
11049,16602,16,16,3.81495
9223,10356,12,11,3.813049
8836,8861,14,14,3.798401
2761,4876,19,19,3.796407
1560,1573,17,16,3.785039
17361,20476,18,18,3.780556
27077,27078,8,8,3.776087
17692,18498,11,11,3.753955
1337,1391,14,13,3.753245
15041,17350,17,17,3.752559
21495,23899,11,11,3.741644
7475,9137,12,12,3.733769
994,3798,17,17,3.731684
21518,22511,6,1,3.72801
23613,23688,9,8,3.716788
19641,19899,10,1,3.692694
9323,9348,10,10,3.684417
4066,4568,18,18,3.68418
10740,10839,23,23,3.671451
14991,21499,9,3,3.667175
16555,19603,17,15,3.662093
7089,9790,11,6,3.661975
15632,21222,20,20,3.653916
12317,12343,9,8,3.648799
5054,16508,17,17,3.647058
11644,19899,21,1,3.646529
10971,11032,12,7,3.645562
22362,23633,8,8,3.64442
26794,28957,15,15,3.642023
4774,7517,9,9,3.641205
21742,27573,4,3,3.640957
27768,28103,23,22,3.624513
197,331,16,16,3.612877
22750,27908,9,8,3.60147
4072,6771,12,10,3.589045
227,3376,13,12,3.586947
5037,10929,17,17,3.578005
6575,11957,12,12,3.57433
15730,15916,11,11,3.562116
297,25923,12,11,3.556329
11882,12938,13,12,3.551219
18194,18863,8,8,3.534361
23765,26437,5,3,3.529401
5797,10625,15,15,3.51845
13446,17427,17,17,3.517219
17187,18896,14,13,3.50948
5275,13112,14,7,3.506115
10890,12997,15,15,3.493438
4094,8332,14,11,3.489566
2981,3004,16,16,3.488794
5226,8683,10,9,3.486096
479,2622,12,12,3.469451
24988,25026,11,7,3.468988
24230,28115,13,13,3.468613
1173,21156,10,10,3.457709
2425,9556,8,8,3.454038
14546,16648,19,19,3.447129
236,4280,11,11,3.434186
3320,21347,11,11,3.431058
165,22664,11,7,3.430024
1212,4656,12,12,3.426109
480,953,8,8,3.420172
9815,9820,10,9,3.419513
16262,19080,9,6,3.416192
27863,28937,7,6,3.412146
6457,9331,8,8,3.412049
7766,11940,9,8,3.411945
2780,12554,13,4,3.401286
15040,15041,15,15,3.399153
3145,7302,10,9,3.398962
3566,5370,11,11,3.395503
22944,30280,16,16,3.392083
2288,7733,10,5,3.390676
2788,24721,13,13,3.37939
8590,12317,9,9,3.369547
7366,18929,13,13,3.369392
9348,11336,10,2,3.363291
28044,28045,9,8,3.362088
12130,29906,9,6,3.346431
18279,20248,9,9,3.343531
3898,19252,14,14,3.3425
3145,15059,10,9,3.341128
22714,22717,12,12,3.339404
15363,15668,10,10,3.337139
5123,11957,11,11,3.31875
6059,7200,9,9,3.305338
6635,6727,17,11,3.304029
13821,14383,14,11,3.302432
21069,21086,13,13,3.299065
22112,23758,12,12,3.297186
17085,24956,7,7,3.29265
29913,30623,11,11,3.280846
196,409,11,11,3.278229
24950,25908,12,11,3.261526
1972,3713,12,12,3.253026
10720,10737,15,15,3.249475
95,1061,9,8,3.248976
12281,22941,10,8,3.239736
11256,11362,8,8,3.238331
9672,12968,12,9,3.23519
10146,10180,9,9,3.230127
9497,10047,11,8,3.224514
27388,27887,11,10,3.221087
10019,10020,9,9,3.22042
1048,1391,12,11,3.217056
2529,20527,12,12,3.209627
10662,18693,11,10,3.207232
4320,4452,7,7,3.202364
606,1187,14,14,3.192501
7020,7137,9,7,3.187589
24831,24832,15,15,3.179737
8705,23784,5,3,3.177273
30376,30662,14,14,3.174411
5843,15713,15,2,3.169497
2788,23590,13,11,3.169448
6575,15924,10,10,3.157531
227,16889,13,13,3.146276
81,643,8,8,3.145733
4977,8776,8,8,3.141742
18553,24413,14,14,3.13828
12505,15041,14,14,3.137299
8510,8774,11,11,3.134219
23789,24351,6,4,3.128824
13576,14747,11,6,3.126345
9895,23214,10,10,3.126197
4754,27420,9,9,3.117654
12741,15409,11,11,3.112619
24385,25246,9,7,3.107202
10156,13351,12,12,3.106907
21263,21325,13,13,3.100468
29781,30401,13,13,3.09716
2546,6079,8,5,3.089281
4837,9065,11,11,3.079088
3375,18463,8,8,3.073335
230,245,15,13,3.054745
301,7576,8,8,3.053817
471,472,12,9,3.052712
22461,22635,10,9,3.050864
1091,2628,8,8,3.04031
3954,6059,7,7,3.037084
28439,30110,6,6,3.034456
15067,15427,10,10,3.023906
2892,3484,5,5,3.020766
14607,17303,8,7,3.012407
7110,8229,11,11,3.006328
2569,8229,11,11,3.006328
24956,29126,5,5,3.001899
9347,24692,12,12,3.001734
7200,24956,8,8,3.000739
16374,18896,10,9,2.997926
17910,19397,11,11,2.996575
108,11174,10,8,2.995618
154,197,14,14,2.992039
17623,18417,7,7,2.990836
22,5370,9,9,2.980377
4674,4719,11,10,2.973606
2780,3091,11,2,2.969459
2130,22710,11,11,2.964223
8167,9040,8,8,2.960627
13734,23590,12,10,2.960205
20895,21580,11,11,2.958917
9895,12084,10,10,2.953259
25356,29629,10,5,2.950152
8593,11940,8,7,2.943914
21047,21237,10,10,2.940942
4943,5382,6,6,2.919676
1430,17762,11,11,2.917644
27598,28199,11,10,2.915866
15424,25330,6,6,2.910561
18367,22739,8,8,2.910106
9874,10021,9,9,2.90501
108,11677,8,5,2.90449
10971,15805,12,9,2.901976
16644,16648,16,16,2.888922
2288,3566,8,8,2.884315
11064,13584,10,10,2.883952
9779,10047,9,9,2.874058
1438,7255,8,8,2.871148
19007,19011,14,14,2.86807
8475,16925,13,13,2.866882
20193,20207,9,9,2.865112
2535,19469,8,8,2.858519
9023,21778,13,12,2.858481
24327,26070,9,7,2.854963
11879,13386,9,9,2.85441
7838,12393,9,9,2.852095
10740,22990,18,18,2.851006
11022,22990,18,18,2.851006
9497,11250,11,7,2.846401
13138,20964,10,10,2.844888
8862,12630,10,10,2.842296
23630,23726,10,8,2.837561
1394,1456,11,11,2.836632
157,2033,10,10,2.836319
3364,27683,14,14,2.835475
9455,10542,11,10,2.835152
2424,10042,14,14,2.834784
9672,14701,10,10,2.833483
11032,15805,11,8,2.830926
2197,29890,7,7,2.830195
1154,4655,14,13,2.827856
10047,11337,8,6,2.826883
1585,19973,9,9,2.825543
14939,14952,8,8,2.824611
8590,24691,7,7,2.824483
11879,15924,9,9,2.823723
29492,31381,8,8,2.818669
6007,8574,7,7,2.817403
11957,16952,10,10,2.812127
11879,16952,10,10,2.812127
22990,25545,18,18,2.80907
10151,10152,9,9,2.80899
2421,2465,8,3,2.80843
23831,23856,7,7,2.807145
9136,10400,7,6,2.793997
16755,16757,8,8,2.787526
21837,21864,7,7,2.783828
