constructed_group_id,user_id,regime
occ_000000,1107,occasional
occ_000000,1920,occasional
occ_000000,2033,occasional
occ_000001,3954,occasional
occ_000001,7200,occasional
occ_000002,8191,occasional
occ_000002,9763,occasional
occ_000003,3954,occasional
occ_000003,4837,occasional
occ_000003,7200,occasional
occ_000004,8191,occasional
occ_000004,16677,occasional
occ_000005,5275,occasional
occ_000005,8990,occasional
occ_000005,13112,occasional
occ_000006,5123,occasional
occ_000006,5159,occasional
occ_000007,14809,occasional
occ_000007,18963,occasional
occ_000008,8537,occasional
occ_000008,21590,occasional
occ_000009,1585,occasional
occ_000009,1608,occasional
occ_000010,2402,occasional
occ_000010,2667,occasional
occ_000011,5275,occasional
occ_000011,13112,occasional
occ_000012,11234,occasional
occ_000012,22274,occasional
occ_000013,2511,occasional
occ_000013,3551,occasional
occ_000014,2827,occasional
occ_000014,2889,occasional
occ_000015,23765,occasional
occ_000015,24455,occasional
occ_000016,459,occasional
occ_000016,1386,occasional
occ_000017,227,occasional
occ_000017,20044,occasional
occ_000018,227,occasional
occ_000018,3375,occasional
occ_000018,3376,occasional
occ_000018,20044,occasional
occ_000019,2511,occasional
occ_000019,2681,occasional
occ_000019,3551,occasional
occ_000020,9497,occasional
occ_000020,9501,occasional
occ_000021,1107,occasional
occ_000021,2033,occasional
occ_000022,5977,occasional
occ_000022,6339,occasional
occ_000023,20800,occasional
occ_000023,21495,occasional
occ_000024,2033,occasional
occ_000024,11949,occasional
occ_000025,1972,occasional
occ_000025,3713,occasional
occ_000026,992,occasional
occ_000026,1435,occasional
occ_000027,364,occasional
occ_000027,2852,occasional
occ_000028,8705,occasional
occ_000028,23728,occasional
occ_000029,459,occasional
occ_000029,1386,occasional
occ_000029,3945,occasional
occ_000030,2359,occasional
occ_000030,6792,occasional
occ_000031,1871,occasional
occ_000031,2282,occasional
occ_000032,3971,occasional
occ_000032,6125,occasional
occ_000033,11336,occasional
occ_000033,13117,occasional
occ_000034,16481,occasional
occ_000034,19813,occasional
occ_000035,1376,occasional
occ_000035,17277,occasional
occ_000035,26502,occasional
occ_000036,2511,occasional
occ_000036,4502,occasional
occ_000036,13176,occasional
occ_000037,7252,occasional
occ_000037,8613,occasional
occ_000038,989,occasional
occ_000038,7732,occasional
occ_000039,2369,occasional
occ_000039,6214,occasional
occ_000040,6457,occasional
occ_000040,9331,occasional
occ_000041,3954,occasional
occ_000041,4837,occasional
occ_000041,7200,occasional
occ_000041,17085,occasional
occ_000042,1028,occasional
occ_000042,1241,occasional
occ_000043,987,occasional
occ_000043,1585,occasional
occ_000043,1608,occasional
occ_000044,581,occasional
occ_000044,5755,occasional
occ_000045,1419,occasional
occ_000045,6653,occasional
occ_000046,3954,occasional
occ_000046,4837,occasional
occ_000046,6059,occasional
occ_000046,7200,occasional
occ_000047,7140,occasional
occ_000047,23765,occasional
occ_000047,24455,occasional
