constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
occ_000000,occasional,3,1107|1920|2033,1107|1920|2033,1164,837,122,205,0.1224
occ_000001,occasional,2,3954|7200,3954|7200,812,539,99,174,0.099
occ_000002,occasional,2,8191|9763,8191|9763,749,518,75,156,0.3277
occ_000003,occasional,3,3954|4837|7200,3954|4837|7200,435,259,44,132,0.2568
occ_000004,occasional,2,8191|16677,8191|16677,414,301,37,76,0.129
occ_000005,occasional,3,5275|8990|13112,5275|13112,408,239,63,106,0.5787
occ_000006,occasional,2,5123|5159,5123|5159,392,263,38,91,0.2565
occ_000007,occasional,2,14809|18963,14809|18963,387,254,54,79,0.2758
occ_000008,occasional,2,8537|21590,8537|21590,319,156,49,114,0.2112
occ_000009,occasional,2,1585|1608,1585|1608,314,197,37,80,0.2524
occ_000010,occasional,2,2402|2667,2402|2667,312,204,39,69,0.421
occ_000011,occasional,2,5275|13112,5275|13112,299,164,42,93,0.6377
occ_000012,occasional,2,11234|22274,11234|22274,299,258,11,30,0.049
occ_000013,occasional,2,2511|3551,2511|3551,298,131,50,117,0.3281
occ_000014,occasional,2,2827|2889,2827|2889,289,188,37,64,0.2805
occ_000015,occasional,2,23765|24455,23765|24455,279,178,35,66,0.2461
occ_000016,occasional,2,459|1386,459|1386,272,243,15,14,0.1332
occ_000017,occasional,2,227|20044,227|20044,248,159,28,61,0.2804
occ_000018,occasional,4,227|3375|3376|20044,227|3375|3376|20044,244,143,30,71,0.2935
occ_000019,occasional,3,2511|2681|3551,2511|2681|3551,244,94,35,115,0.4207
occ_000020,occasional,2,9497|9501,9497|9501,242,173,21,48,0.0867
occ_000021,occasional,2,1107|2033,1107|2033,240,203,13,24,0.0902
occ_000022,occasional,2,5977|6339,5977|6339,233,146,46,41,0.0881
occ_000023,occasional,2,20800|21495,20800|21495,226,137,27,62,0.0675
occ_000024,occasional,2,2033|11949,2033|11949,225,153,20,52,0.1927
occ_000025,occasional,2,1972|3713,1972|3713,219,143,29,47,0.1516
occ_000026,occasional,2,992|1435,992|1435,217,155,21,41,0.1864
occ_000027,occasional,2,364|2852,364|2852,216,151,21,44,0.2116
occ_000028,occasional,2,8705|23728,8705|23728,215,145,34,36,0.3686
occ_000029,occasional,3,459|1386|3945,459|1386|3945,212,179,15,18,0.1841
occ_000030,occasional,2,2359|6792,2359|6792,207,152,13,42,0.3957
occ_000031,occasional,2,1871|2282,1871|2282,201,149,25,27,0.1436
occ_000032,occasional,2,3971|6125,3971|6125,198,118,25,55,0.3689
occ_000033,occasional,2,11336|13117,11336|13117,189,129,16,44,0.6599
occ_000034,occasional,2,16481|19813,16481|19813,179,102,30,47,0.1688
occ_000035,occasional,3,1376|17277|26502,1376|17277|26502,172,151,12,9,0.2733
occ_000036,occasional,3,2511|4502|13176,2511|4502|13176,172,116,16,40,0.3048
occ_000037,occasional,2,7252|8613,7252|8613,172,131,18,23,0.0267
occ_000038,occasional,2,989|7732,989|7732,171,112,16,43,0.1043
occ_000039,occasional,2,2369|6214,2369|6214,170,123,18,29,0.4444
occ_000040,occasional,2,6457|9331,6457|9331,170,113,18,39,0.0679
occ_000041,occasional,4,3954|4837|7200|17085,3954|4837|7200|17085,168,41,37,90,0.2879
occ_000042,occasional,2,1028|1241,1028|1241,164,128,7,29,0.0171
occ_000043,occasional,3,987|1585|1608,987|1585|1608,160,111,15,34,0.2905
occ_000044,occasional,2,581|5755,581|5755,158,116,10,32,0.4781
occ_000045,occasional,2,1419|6653,1419|6653,155,116,19,20,0.5304
occ_000046,occasional,4,3954|4837|6059|7200,3954|4837|6059|7200,151,111,13,27,0.3203
occ_000047,occasional,3,7140|23765|24455,7140|23765|24455,151,92,16,43,0.3622
occ_000048,occasional,2,12841|17845,12841|17845,151,93,12,46,0.6653
occ_000049,occasional,2,1920|2033,1920|2033,150,122,6,22,0.1469
occ_000050,occasional,2,1591|1592,1591|1592,149,105,18,26,0.409
occ_000051,occasional,2,2363|2369,2363|2369,145,114,6,25,0.2436
occ_000052,occasional,2,14829|15469,14829|15469,145,90,12,43,0.0732
occ_000053,occasional,3,16807|17964|18414,16807|17964|18414,140,102,16,22,0.1768
occ_000054,occasional,3,227|2379|20044,227|2379|20044,136,75,14,47,0.3344
occ_000055,occasional,2,994|3795,994|3795,136,99,12,25,0.092
occ_000056,occasional,2,308|315,308|315,134,88,14,32,0.1128
occ_000057,occasional,3,994|3795|3798,994|3795|3798,133,68,17,48,0.0856
occ_000058,occasional,2,19625|19768,19625|19768,133,95,19,19,0.3314
occ_000059,occasional,2,26914|27562,26914|27562,132,83,16,33,0.0809
occ_000060,occasional,2,6412|20777,6412|20777,130,82,14,34,0.1376
occ_000061,occasional,2,1634|2134,1634|2134,128,77,16,35,0.6587
occ_000062,occasional,2,1055|1056,1055|1056,126,92,11,23,0.0643
occ_000063,occasional,2,7208|7302,7208|7302,126,81,14,31,0.0742
occ_000064,occasional,3,9497|9501|11234,9497|9501|11234,126,100,9,17,0.471
occ_000065,occasional,3,2767|8191|9763,8191|9763,125,84,16,25,0.5545
occ_000066,occasional,2,25622|26200,25622|26200,125,88,16,21,0.0288
occ_000067,occasional,2,2314|3566,2314|3566,124,78,18,28,0.2227
occ_000068,occasional,2,8040|13003,8040|13003,123,86,13,24,0.0608
occ_000069,occasional,2,1107|1359,1107|1359,120,102,8,10,0.2607
occ_000070,occasional,2,1107|1920,1107|1920,120,97,8,15,0.153
occ_000071,occasional,2,154|331,154|331,119,76,15,28,0.1524
occ_000072,occasional,2,9037|15643,9037|15643,119,63,16,40,0.2711
occ_000073,occasional,2,24642|27003,24642|27003,119,61,18,40,0.0604
occ_000074,occasional,3,1634|2134|3750,1634|2134|3750,118,80,13,25,0.426
occ_000075,occasional,2,20124|31389,20124|31389,117,36,26,55,0.2331
occ_000076,occasional,2,395|435,395|435,116,49,16,51,0.2729
occ_000077,occasional,2,3053|3190,3053|3190,116,97,8,11,0.4332
occ_000078,occasional,3,3954|8191|9763,3954|8191|9763,116,58,18,40,0.459
occ_000079,occasional,3,8191|9763|11174,8191|9763|11174,111,76,12,23,0.4919
occ_000080,occasional,3,9037|12336|15643,9037|12336|15643,110,44,25,41,0.4124
occ_000081,occasional,2,1173|10888,1173|10888,107,45,13,49,0.3732
occ_000082,occasional,2,579|4193,579|4193,104,63,5,36,0.389
occ_000083,occasional,2,5797|7025,5797|7025,104,72,6,26,0.2978
occ_000084,occasional,2,423|1107,423|1107,102,88,9,5,0.0908
occ_000085,occasional,2,19845|24085,19845|24085,102,69,12,21,0.1735
occ_000086,occasional,3,227|3375|3376,227|3375|3376,101,70,11,20,0.2157
occ_000087,occasional,3,2402|2667|13813,2402|2667,100,45,24,31,0.629
occ_000088,occasional,2,9348|11336,9348|11336,100,66,13,21,0.2824
occ_000089,occasional,4,5129|16807|17964|18414,16807|17964|18414,100,78,10,12,0.4262
