group_id,venue_id,poi_idx,span_min,size,start_time,end_time,members
0,9207,0,0,2,2010-02-15 06:31:00+00:00,2010-02-15 06:31:00+00:00,5037|10084
1,9207,0,0,2,2010-07-16 15:05:00+00:00,2010-07-16 15:05:00+00:00,3954|7200
2,9489,3,0,2,2010-10-09 22:50:00+00:00,2010-10-09 22:50:00+00:00,11234|22274
3,9779,6,0,2,2011-04-29 22:18:00+00:00,2011-04-29 22:18:00+00:00,17853|17872
4,9781,7,0,2,2009-12-24 03:17:00+00:00,2009-12-24 03:17:00+00:00,2033|2755
5,9781,7,0,2,2010-01-13 00:42:00+00:00,2010-01-13 00:42:00+00:00,1177|7535
6,9781,7,0,2,2010-03-14 07:31:00+00:00,2010-03-14 07:31:00+00:00,12636|12746
7,9816,8,0,2,2009-09-22 21:16:00+00:00,2009-09-22 21:16:00+00:00,265|700
8,9816,8,0,3,2009-10-11 19:41:00+00:00,2009-10-11 19:41:00+00:00,136|597|869
9,9816,8,0,2,2009-11-28 22:15:00+00:00,2009-11-28 22:15:00+00:00,459|2811
10,9816,8,0,2,2009-12-29 19:40:00+00:00,2009-12-29 19:40:00+00:00,1871|2282
11,9816,8,0,2,2010-01-12 23:26:00+00:00,2010-01-12 23:26:00+00:00,6437|7619
12,9816,8,0,2,2010-01-30 18:33:00+00:00,2010-01-30 18:33:00+00:00,1154|1531
13,9816,8,0,2,2010-02-13 23:39:00+00:00,2010-02-13 23:39:00+00:00,5037|10929
14,9816,8,0,2,2010-02-27 23:25:00+00:00,2010-02-27 23:25:00+00:00,2569|7110
15,9816,8,0,2,2010-05-22 01:12:00+00:00,2010-05-22 01:12:00+00:00,10740|10839
16,9816,8,0,3,2010-05-29 18:28:00+00:00,2010-05-29 18:28:00+00:00,4567|18452|18459
17,9816,8,0,2,2010-05-29 22:36:00+00:00,2010-05-29 22:36:00+00:00,2240|12120
18,9816,8,0,2,2010-06-12 23:23:00+00:00,2010-06-12 23:23:00+00:00,15481|16315
19,9816,8,0,2,2010-06-13 19:00:00+00:00,2010-06-13 19:00:00+00:00,10918|11792
20,9816,8,0,2,2010-06-20 21:01:00+00:00,2010-06-20 21:01:00+00:00,2085|9556
21,9816,8,0,2,2010-06-30 21:28:00+00:00,2010-06-30 21:28:00+00:00,2380|2811
22,9816,8,0,2,2010-07-03 22:37:00+00:00,2010-07-03 22:37:00+00:00,4567|15377
23,9816,8,0,2,2010-07-07 20:09:00+00:00,2010-07-07 20:09:00+00:00,344|534
24,9816,8,0,2,2010-07-14 19:12:00+00:00,2010-07-14 19:12:00+00:00,14541|18769
25,9816,8,0,2,2010-07-15 17:21:00+00:00,2010-07-15 17:21:00+00:00,1758|14489
26,9816,8,0,2,2010-07-16 00:16:00+00:00,2010-07-16 00:16:00+00:00,3954|7200
27,9816,8,0,3,2010-07-29 19:11:00+00:00,2010-07-29 19:11:00+00:00,376|4339|9502
28,9816,8,0,3,2010-07-31 18:37:00+00:00,2010-07-31 18:37:00+00:00,3835|12867|12898
29,9816,8,0,2,2010-08-02 00:55:00+00:00,2010-08-02 00:55:00+00:00,8164|9418
30,9816,8,0,2,2010-08-07 13:34:00+00:00,2010-08-07 13:34:00+00:00,9556|17277
31,9816,8,0,2,2010-08-07 19:33:00+00:00,2010-08-07 19:33:00+00:00,5797|7025
32,9816,8,0,2,2010-08-14 20:38:00+00:00,2010-08-14 20:38:00+00:00,2569|7110
33,9816,8,0,2,2010-09-04 00:58:00+00:00,2010-09-04 00:58:00+00:00,43|6607
34,9816,8,0,2,2010-09-26 20:21:00+00:00,2010-09-26 20:21:00+00:00,2452|17450
35,9816,8,0,2,2010-10-08 18:42:00+00:00,2010-10-08 18:42:00+00:00,634|24338
36,9816,8,0,3,2010-10-18 00:42:00+00:00,2010-10-18 00:42:00+00:00,14397|15319|15327
37,9816,8,0,2,2011-01-24 22:07:00+00:00,2011-01-24 22:07:00+00:00,24788|27192
