from_group,to_group,from_poi,to_poi,gap_min,n_shared,jaccard,members
13,14668,8,1639,1,2,1.0,5037|10929
55,13,10,8,66,2,1.0,5037|10929
55,1039,10,77,14,2,0.5,5037|10929
55,10938,10,566,3,2,1.0,5037|10929
55,11556,10,724,62,2,1.0,5037|10929
55,11890,10,784,36,2,0.6667,5037|10929
55,14668,10,1639,67,2,1.0,5037|10929
55,14807,10,1683,3,2,1.0,5037|10929
55,15965,10,2155,58,2,1.0,5037|10929
55,23021,10,7363,59,2,1.0,5037|10929
265,0,15,0,11,2,1.0,5037|10084
398,619,20,46,23,2,1.0,5037|10084
398,4093,20,205,86,2,1.0,5037|10084
398,6951,20,303,85,2,1.0,5037|10084
398,28729,20,15317,63,2,1.0,5037|10084
619,4093,46,205,63,2,1.0,5037|10084
619,6951,46,303,62,2,1.0,5037|10084
619,28729,46,15317,40,2,1.0,5037|10084
1039,13,77,8,52,2,0.5,5037|10929
1039,11556,77,724,48,2,0.5,5037|10929
1039,11890,77,784,22,3,0.75,5037|10084|10929
1039,14668,77,1639,53,2,0.5,5037|10929
1039,15965,77,2155,44,2,0.5,5037|10929
1039,20288,77,4704,204,2,0.5,5037|10084
1039,23021,77,7363,45,2,0.5,5037|10929
4606,398,210,20,21,2,1.0,5037|10084
4606,619,210,46,44,2,1.0,5037|10084
4606,4093,210,205,107,2,1.0,5037|10084
4606,6951,210,303,106,2,1.0,5037|10084
4606,28729,210,15317,84,2,1.0,5037|10084
6951,4093,303,205,1,2,1.0,5037|10084
9092,13,482,8,66,2,1.0,5037|10929
9092,1039,482,77,14,2,0.5,5037|10929
9092,10938,482,566,3,2,1.0,5037|10929
9092,11556,482,724,62,2,1.0,5037|10929
9092,11890,482,784,36,2,0.6667,5037|10929
9092,14668,482,1639,67,2,1.0,5037|10929
9092,14807,482,1683,3,2,1.0,5037|10929
9092,15965,482,2155,58,2,1.0,5037|10929
9092,23021,482,7363,59,2,1.0,5037|10929
10938,13,566,8,63,2,1.0,5037|10929
10938,1039,566,77,11,2,0.5,5037|10929
10938,11556,566,724,59,2,1.0,5037|10929
10938,11890,566,784,33,2,0.6667,5037|10929
10938,14668,566,1639,64,2,1.0,5037|10929
10938,15965,566,2155,55,2,1.0,5037|10929
10938,23021,566,7363,56,2,1.0,5037|10929
11256,398,662,20,66,2,1.0,5037|10084
11256,619,662,46,89,2,1.0,5037|10084
11256,4093,662,205,152,2,1.0,5037|10084
11256,4606,662,210,45,2,1.0,5037|10084
11256,6951,662,303,151,2,1.0,5037|10084
11256,13415,662,1250,24,2,1.0,5037|10084
11256,28729,662,15317,129,2,1.0,5037|10084
11556,13,724,8,4,2,1.0,5037|10929
11556,14668,724,1639,5,2,1.0,5037|10929
11890,13,784,8,30,2,0.6667,5037|10929
11890,11556,784,724,26,2,0.6667,5037|10929
11890,14668,784,1639,31,2,0.6667,5037|10929
11890,14837,784,1696,130,2,0.5,5037|10084
11890,15965,784,2155,22,2,0.6667,5037|10929
11890,20288,784,4704,182,2,0.6667,5037|10084
11890,21106,784,5398,58,2,0.5,5037|10084
11890,23021,784,7363,23,2,0.6667,5037|10929
13415,398,1250,20,42,2,1.0,5037|10084
13415,619,1250,46,65,2,1.0,5037|10084
13415,4093,1250,205,128,2,1.0,5037|10084
13415,4606,1250,210,21,2,1.0,5037|10084
13415,6951,1250,303,127,2,1.0,5037|10084
13415,28729,1250,15317,105,2,1.0,5037|10084
13522,0,1290,0,169,2,1.0,5037|10084
13522,265,1290,15,158,2,1.0,5037|10084
14807,13,1683,8,63,2,1.0,5037|10929
14807,1039,1683,77,11,2,0.5,5037|10929
14807,11556,1683,724,59,2,1.0,5037|10929
14807,11890,1683,784,33,2,0.6667,5037|10929
14807,14668,1683,1639,64,2,1.0,5037|10929
14807,15965,1683,2155,55,2,1.0,5037|10929
14807,23021,1683,7363,56,2,1.0,5037|10929
14837,20288,1696,4704,52,2,0.6667,5037|10084
15965,13,2155,8,8,2,1.0,5037|10929
15965,11556,2155,724,4,2,1.0,5037|10929
15965,14668,2155,1639,9,2,1.0,5037|10929
15965,23021,2155,7363,1,2,1.0,5037|10929
19096,13,3862,8,73,2,1.0,5037|10929
19096,55,3862,10,7,2,1.0,5037|10929
19096,1039,3862,77,21,2,0.5,5037|10929
19096,9092,3862,482,7,2,1.0,5037|10929
19096,10938,3862,566,10,2,1.0,5037|10929
19096,11556,3862,724,69,2,1.0,5037|10929
19096,11890,3862,784,43,2,0.6667,5037|10929
19096,14668,3862,1639,74,2,1.0,5037|10929
19096,14807,3862,1683,10,2,1.0,5037|10929
19096,15965,3862,2155,65,2,1.0,5037|10929
19096,23021,3862,7363,66,2,1.0,5037|10929
19096,23356,3862,7639,3,2,1.0,5037|10929
19322,55,4052,10,193,2,0.6667,5037|10929
19322,1039,4052,77,207,3,0.75,5037|10084|10929
19322,9092,4052,482,193,2,0.6667,5037|10929
19322,10938,4052,566,196,2,0.6667,5037|10929
19322,11890,4052,784,229,3,1.0,5037|10084|10929
19322,14807,4052,1683,196,2,0.6667,5037|10929
19322,19096,4052,3862,186,2,0.6667,5037|10929
19322,20159,4052,4627,175,2,0.6667,5037|10929
19322,20287,4052,4704,159,3,0.75,5037|10084|10929
19322,23248,4052,7543,136,3,0.6,5037|10084|10929
19322,23356,4052,7639,189,2,0.6667,5037|10929
19322,27631,4052,13078,186,2,0.6667,5037|10084
20159,13,4627,8,84,2,1.0,5037|10929
20159,55,4627,10,18,2,1.0,5037|10929
20159,1039,4627,77,32,2,0.5,5037|10929
20159,9092,4627,482,18,2,1.0,5037|10929
20159,10938,4627,566,21,2,1.0,5037|10929
20159,11556,4627,724,80,2,1.0,5037|10929
20159,11890,4627,784,54,2,0.6667,5037|10929
20159,14668,4627,1639,85,2,1.0,5037|10929
20159,14807,4627,1683,21,2,1.0,5037|10929
20159,15965,4627,2155,76,2,1.0,5037|10929
20159,19096,4627,3862,11,2,1.0,5037|10929
20159,23021,4627,7363,77,2,1.0,5037|10929
20159,23356,4627,7639,14,2,1.0,5037|10929
20287,13,4704,8,100,2,0.5,5037|10929
20287,55,4704,10,34,2,0.5,5037|10929
20287,1039,4704,77,48,3,0.6,5037|10084|10929
20287,9092,4704,482,34,2,0.5,5037|10929
20287,10938,4704,566,37,2,0.5,5037|10929
20287,11556,4704,724,96,2,0.5,5037|10929
20287,11890,4704,784,70,3,0.75,5037|10084|10929
20287,14668,4704,1639,101,2,0.5,5037|10929
20287,14807,4704,1683,37,2,0.5,5037|10929
20287,14837,4704,1696,200,3,0.75,5037|10084|10930
20287,15965,4704,2155,92,2,0.5,5037|10929
20287,19096,4704,3862,27,2,0.5,5037|10929
20287,20159,4704,4627,16,2,0.5,5037|10929
20287,21106,4704,5398,128,3,0.75,5037|10084|10930
20287,23021,4704,7363,93,2,0.5,5037|10929
20287,23356,4704,7639,30,2,0.5,5037|10929
20287,27631,4704,13078,27,2,0.5,5037|10084
21106,14837,5398,1696,72,3,1.0,5037|10084|10930
21106,20288,5398,4704,124,2,0.6667,5037|10084
23021,13,7363,8,7,2,1.0,5037|10929
23021,11556,7363,724,3,2,1.0,5037|10929
23021,14668,7363,1639,8,2,1.0,5037|10929
23248,1039,7543,77,71,3,0.5,5037|10084|10929
23248,11890,7543,784,93,3,0.6,5037|10084|10929
23248,14837,7543,1696,223,3,0.6,5037|10084|10930
23248,20287,7543,4704,23,4,0.8,5037|10084|10929|10930
23248,21106,7543,5398,151,3,0.6,5037|10084|10930
23356,13,7639,8,70,2,1.0,5037|10929
23356,55,7639,10,4,2,1.0,5037|10929
23356,1039,7639,77,18,2,0.5,5037|10929
23356,9092,7639,482,4,2,1.0,5037|10929
23356,10938,7639,566,7,2,1.0,5037|10929
23356,11556,7639,724,66,2,1.0,5037|10929
23356,11890,7639,784,40,2,0.6667,5037|10929
23356,14668,7639,1639,71,2,1.0,5037|10929
23356,14807,7639,1683,7,2,1.0,5037|10929
23356,15965,7639,2155,62,2,1.0,5037|10929
23356,23021,7639,7363,63,2,1.0,5037|10929
25212,0,9797,0,169,2,1.0,5037|10084
25212,265,9797,15,158,2,1.0,5037|10084
27631,1039,13078,77,21,2,0.5,5037|10084
27631,11890,13078,784,43,2,0.6667,5037|10084
27631,14837,13078,1696,173,2,0.6667,5037|10084
27631,20288,13078,4704,225,2,1.0,5037|10084
27631,21106,13078,5398,101,2,0.6667,5037|10084
28341,13522,14445,1290,177,2,1.0,5037|10084
28341,25212,14445,9797,177,2,1.0,5037|10084
28341,28938,14445,15666,143,2,1.0,5037|10084
28702,398,15268,20,125,2,1.0,5037|10084
28702,619,15268,46,148,2,1.0,5037|10084
28702,4093,15268,205,211,2,1.0,5037|10084
28702,4606,15268,210,104,2,1.0,5037|10084
28702,6951,15268,303,210,2,1.0,5037|10084
28702,11256,15268,662,59,2,1.0,5037|10084
28702,13415,15268,1250,83,2,1.0,5037|10084
28702,28729,15268,15317,188,2,1.0,5037|10084
28729,4093,15317,205,23,2,1.0,5037|10084
28729,6951,15317,303,22,2,1.0,5037|10084
28915,13522,15629,1290,239,2,1.0,5037|10084
28915,25212,15629,9797,239,2,1.0,5037|10084
28915,28341,15629,14445,62,2,1.0,5037|10084
28915,28920,15629,15633,24,2,0.6667,5037|10084
28915,28938,15629,15666,205,2,1.0,5037|10084
28920,13522,15633,1290,215,2,0.6667,5037|10084
28920,25212,15633,9797,215,2,0.6667,5037|10084
28920,28341,15633,14445,38,2,0.6667,5037|10084
28920,28938,15633,15666,181,2,0.6667,5037|10084
28938,0,15666,0,203,2,1.0,5037|10084
28938,265,15666,15,192,2,1.0,5037|10084
28938,13522,15666,1290,34,2,1.0,5037|10084
28938,25212,15666,9797,34,2,1.0,5037|10084
6437,24686,257,9179,1,2,1.0,2033|10084
6472,19967,257,4434,198,2,1.0,10084|10356
6472,21532,257,5791,203,2,1.0,10084|10356
19967,21532,4434,5791,5,2,1.0,10084|10356
19967,25220,4434,9814,135,2,1.0,10084|10356
21532,25220,5791,9814,130,2,1.0,10084|10356
23508,27304,7815,12643,122,2,1.0,10084|10356
1,6908,0,295,9,2,1.0,3954|7200
1,6920,0,298,152,2,1.0,3954|7200
1,6939,0,301,184,2,1.0,3954|7200
1,19037,0,3808,55,2,1.0,3954|7200
1,19039,0,3809,53,2,1.0,3954|7200
1,19041,0,3810,50,2,1.0,3954|7200
1,19048,0,3817,133,2,1.0,3954|7200
1,23457,0,7734,224,2,0.6667,3954|7200
1,28418,0,14609,117,2,1.0,3954|7200
1,28917,0,15629,112,2,1.0,3954|7200
1,28921,0,15633,127,2,1.0,3954|7200
1,30989,0,19736,123,2,1.0,3954|7200
1,34678,0,31537,42,2,1.0,3954|7200
1,34679,0,31538,49,2,1.0,3954|7200
26,80,8,11,120,2,1.0,3954|7200
26,294,8,15,46,2,1.0,3954|7200
26,1078,8,77,56,2,1.0,3954|7200
26,6870,8,290,71,2,1.0,3954|7200
26,11598,8,724,12,2,0.6667,3954|7200
26,11901,8,784,55,2,1.0,3954|7200
26,13317,8,1213,175,2,1.0,3954|7200
26,18126,8,3284,5,2,1.0,3954|7200
26,24116,8,8450,2,2,1.0,3954|7200
26,27656,8,13127,25,2,1.0,3954|7200
26,28843,8,15546,40,2,0.6667,3954|7200
26,30397,8,17984,70,2,1.0,3954|7200
26,31479,8,21143,42,2,1.0,3954|7200
26,31602,8,21517,70,2,1.0,3954|7200
26,31754,8,21989,145,2,1.0,3954|7200
26,31831,8,22117,54,2,1.0,3954|7200
26,33347,8,26625,41,2,0.6667,3954|7200
26,33369,8,26626,41,2,0.6667,3954|7200
26,34391,8,30413,118,2,1.0,3954|7200
80,13317,11,1213,55,2,1.0,3954|7200
80,31754,11,21989,25,2,1.0,3954|7200
294,80,15,11,74,2,1.0,3954|7200
294,1078,15,77,10,2,1.0,3954|7200
294,6870,15,290,25,2,1.0,3954|7200
294,11901,15,784,9,2,1.0,3954|7200
294,13317,15,1213,129,2,1.0,3954|7200
294,30397,15,17984,24,2,1.0,3954|7200
294,31602,15,21517,24,2,1.0,3954|7200
294,31754,15,21989,99,2,1.0,3954|7200
294,31831,15,22117,8,2,1.0,3954|7200
294,34391,15,30413,72,2,1.0,3954|7200
418,652,20,46,6,2,1.0,3954|7200
418,6903,20,294,32,2,1.0,3954|7200
418,6916,20,297,135,2,1.0,3954|7200
418,6924,20,299,148,2,1.0,3954|7200
418,17251,20,2788,26,2,1.0,3954|7200
418,23864,20,8212,63,2,1.0,3954|7200
418,33967,20,28799,11,2,1.0,3954|7200
480,26,21,8,10,2,0.6667,3954|7200
480,80,21,11,130,2,0.6667,3954|7200
480,294,21,15,56,2,0.6667,3954|7200
480,1078,21,77,66,2,0.6667,3954|7200
480,6823,21,276,1,2,0.6667,3954|7200
480,6870,21,290,81,2,0.6667,3954|7200
480,11598,21,724,22,2,0.5,3954|7200
480,11901,21,784,65,2,0.6667,3954|7200
480,13317,21,1213,185,2,0.6667,3954|7200
480,18126,21,3284,15,2,0.6667,3954|7200
480,23258,21,7543,1,2,0.6667,3954|7200
480,24116,21,8450,12,2,0.6667,3954|7200
480,27656,21,13127,35,2,0.6667,3954|7200
480,28843,21,15546,50,3,1.0,3954|5853|7200
480,30397,21,17984,80,2,0.6667,3954|7200
480,31479,21,21143,52,2,0.6667,3954|7200
480,31602,21,21517,80,2,0.6667,3954|7200
480,31754,21,21989,155,2,0.6667,3954|7200
480,31831,21,22117,64,2,0.6667,3954|7200
480,33347,21,26625,51,3,1.0,3954|5853|7200
480,33369,21,26626,51,3,1.0,3954|5853|7200
480,34391,21,30413,128,2,0.6667,3954|7200
652,6903,46,294,26,2,1.0,3954|7200
652,6916,46,297,129,2,1.0,3954|7200
652,6924,46,299,142,2,1.0,3954|7200
652,17251,46,2788,20,2,1.0,3954|7200
652,23864,46,8212,57,2,1.0,3954|7200
652,33967,46,28799,5,2,1.0,3954|7200
785,24370,53,8755,60,2,1.0,3954|7200
785,33706,53,27756,98,2,1.0,3954|7200
785,34123,53,29300,197,2,1.0,3954|7200
785,34552,53,31045,18,2,1.0,3954|7200
785,34553,53,31050,77,2,1.0,3954|7200
785,34557,53,31060,204,2,1.0,3954|7200
785,34558,53,31064,215,2,1.0,3954|7200
1004,31674,73,21725,72,2,1.0,3954|7200
1005,2841,73,105,10,2,1.0,3954|7200
1018,2852,73,105,15,2,1.0,3954|7200
