u1,u2,mask_weight
0,1,1.5
0,2,1.5
0,3,1.5
0,4,1.5
0,6,1.5
0,7,1.5
0,8,1.5
0,9,1.5
0,10,1.5
0,13,1.5
0,14,1.5
0,18,1.5
0,20,1.5
0,23,1.5
0,26,1.5
0,30,1.5
0,40,1.5
0,42,1.5
0,43,1.5
0,49,1.5
0,58,1.5
0,60,1.5
0,63,1.5
0,66,1.5
0,72,1.5
0,74,1.5
0,88,1.5
0,94,1.5
0,96,1.5
0,98,1.5
0,112,1.5
0,113,1.5
0,126,1.5
0,131,1.5
0,139,1.5
0,145,1.5
0,148,1.5
0,149,1.5
0,163,1.5
0,172,1.5
0,189,1.5
0,196,1.5
0,199,1.5
0,200,1.5
0,206,1.5
0,215,1.5
0,243,1.5
0,253,1.5
0,258,1.5
0,265,1.5
0,279,1.5
0,304,1.5
0,317,1.5
0,318,1.5
0,370,1.5
0,372,1.5
0,384,1.5
0,394,1.5
0,409,1.5
0,413,1.5
0,431,1.5
0,433,1.5
0,448,1.5
0,453,1.5
0,465,1.5
0,469,1.5
0,470,1.5
0,477,1.5
0,500,1.5
0,519,1.5
0,521,1.5
0,553,1.5
0,564,1.5
0,567,1.5
0,575,1.5
0,577,1.5
0,591,1.5
0,592,1.5
0,594,1.5
0,598,1.5
0,621,1.5
0,622,1.5
0,644,1.5
0,648,1.5
0,655,1.5
0,665,1.5
0,694,1.5
0,708,1.5
0,711,1.5
0,765,1.5
0,788,1.5
0,798,1.5
0,833,1.5
0,864,1.5
0,879,1.5
0,887,1.5
0,919,1.5
0,961,1.5
0,967,1.5
0,991,1.5
0,1046,1.5
0,1047,1.5
0,1064,1.5
0,1073,1.5
0,1082,1.5
0,1173,1.5
0,1185,1.5
0,1202,1.5
0,1218,1.5
0,1299,1.5
0,1300,1.5
0,1313,1.5
0,1348,1.5
0,1356,1.5
0,1358,1.5
0,1362,1.5
0,1425,1.5
0,1492,1.5
0,1541,1.5
0,1593,1.5
0,1613,1.5
0,1620,1.5
0,1648,1.5
0,1826,1.5
0,1842,1.5
0,1896,1.5
0,1933,1.5
0,1966,1.5
0,1997,1.5
0,2019,1.5
0,2046,1.5
0,2069,1.5
0,2109,1.5
0,2198,1.5
0,2342,1.5
0,2396,1.5
0,2400,1.5
0,2511,1.5
0,2545,1.5
0,2616,1.5
0,2731,1.5
0,2765,1.5
0,2874,1.5
0,3024,1.5
0,3026,1.5
0,3100,1.5
0,3101,1.5
0,3131,1.5
0,3208,1.5
0,3380,1.5
0,3390,1.5
0,3448,1.5
0,3481,1.5
0,3553,1.5
0,3579,1.5
0,3607,1.5
0,3627,1.5
0,3652,1.5
0,3678,1.5
0,3720,1.5
0,3847,1.5
0,4034,1.5
0,4081,1.5
0,4284,1.5
0,4339,1.5
0,4373,1.5
0,4630,1.5
0,4912,1.5
0,5065,1.5
0,5252,1.5
0,5361,1.5
0,5544,1.5
0,5592,1.5
0,5631,1.5
0,5955,1.5
0,6030,1.5
0,6158,1.5
0,6380,1.5
0,6862,1.5
0,7681,1.5
0,9720,1.5
0,10131,1.5
0,10453,1.5
0,10637,1.5
0,11410,1.5
0,11649,1.5
0,11672,1.5
0,11720,1.5
0,11763,1.5
0,12125,1.5
0,12470,1.5
0,13835,1.5
0,14077,1.5
0,14110,1.5
0,14462,1.5
0,16262,1.5
0,17275,1.5
0,17353,1.5
0,18143,1.5
0,18487,1.5
0,18507,1.5
0,18573,1.5
0,18802,1.5
0,20544,1.5
0,21629,1.5
0,23830,1.5
0,26815,1.5
0,28771,1.5
0,29728,1.5
0,29849,1.5
0,29877,1.5
0,29971,1.5
1,2,1.5
1,3,1.5
1,4,1.5
1,5,1.5
1,6,1.5
1,8,1.5
1,9,1.5
1,10,1.5
1,12,1.5
1,13,1.5
1,14,1.5
1,18,1.5
1,22,1.5
1,23,1.5
1,26,1.5
1,27,1.5
1,32,1.5
1,40,1.5
1,43,1.5
1,46,1.5
1,50,1.5
1,53,1.5
1,54,1.5
1,55,1.5
1,58,1.5
1,61,1.5
1,62,1.5
1,63,1.5
1,66,1.5
1,70,1.5
1,72,1.5
1,74,1.5
1,81,1.5
1,87,1.5
1,88,1.5
1,89,1.5
1,94,1.5
1,96,1.5
1,98,1.5
1,100,1.5
1,105,1.5
1,106,1.5
1,110,1.5
1,112,1.5
1,113,1.5
1,121,1.5
1,123,1.5
1,125,1.5
1,126,1.5
1,130,1.5
1,131,1.5
1,135,1.5
1,136,1.5
1,139,1.5
1,142,1.5
1,144,1.5
1,145,1.5
1,148,1.5
1,149,1.5
1,158,1.5
1,165,1.5
1,172,1.5
1,177,1.5
1,181,1.5
1,182,1.5
1,185,1.5
1,187,1.5
1,189,1.5
1,192,1.5
1,195,1.5
1,199,1.5
1,200,1.5
1,206,1.5
1,215,1.5
1,216,1.5
1,221,1.5
1,230,1.5
1,239,1.5
1,249,1.5
1,252,1.5
1,265,1.5
1,267,1.5
1,279,1.5
1,281,1.5
1,302,1.5
1,304,1.5
1,306,1.5
1,308,1.5
1,309,1.5
1,314,1.5
1,316,1.5
1,317,1.5
1,318,1.5
1,328,1.5
1,338,1.5
1,343,1.5
1,347,1.5
1,350,1.5
1,351,1.5
1,358,1.5
1,370,1.5
1,372,1.5
1,373,1.5
1,384,1.5
1,389,1.5
1,415,1.5
1,420,1.5
1,421,1.5
1,426,1.5
1,440,1.5
1,453,1.5
1,455,1.5
1,456,1.5
1,465,1.5
1,466,1.5
1,469,1.5
1,470,1.5
1,478,1.5
1,481,1.5
1,486,1.5
1,488,1.5
1,489,1.5
1,500,1.5
1,504,1.5
1,507,1.5
1,519,1.5
1,522,1.5
1,526,1.5
1,533,1.5
1,540,1.5
1,544,1.5
1,564,1.5
1,571,1.5
1,572,1.5
1,575,1.5
1,577,1.5
1,579,1.5
1,591,1.5
1,606,1.5
1,619,1.5
1,622,1.5
1,633,1.5
1,643,1.5
1,644,1.5
1,652,1.5
1,655,1.5
1,660,1.5
1,665,1.5
1,681,1.5
1,686,1.5
1,687,1.5
1,694,1.5
1,708,1.5
1,720,1.5
1,742,1.5
1,798,1.5
1,867,1.5
1,869,1.5
1,879,1.5
1,887,1.5
1,890,1.5
1,893,1.5
1,906,1.5
1,912,1.5
1,919,1.5
1,938,1.5
1,944,1.5
1,951,1.5
1,967,1.5
1,1000,1.5
1,1001,1.5
1,1046,1.5
1,1049,1.5
1,1064,1.5
1,1072,1.5
1,1076,1.5
1,1082,1.5
1,1113,1.5
1,1117,1.5
1,1124,1.5
1,1173,1.5
1,1185,1.5
1,1187,1.5
1,1218,1.5
1,1219,1.5
1,1236,1.5
1,1266,1.5
1,1269,1.5
1,1338,1.5
1,1345,1.5
1,1348,1.5
1,1358,1.5
1,1362,1.5
1,1438,1.5
1,1473,1.5
1,1492,1.5
1,1532,1.5
1,1558,1.5
1,1571,1.5
1,1590,1.5
1,1613,1.5
1,1640,1.5
1,1645,1.5
1,1752,1.5
1,1770,1.5
1,1788,1.5
1,1791,1.5
1,1821,1.5
1,1823,1.5
1,1845,1.5
1,1856,1.5
1,1857,1.5
1,1862,1.5
1,1881,1.5
1,1916,1.5
1,1926,1.5
1,1933,1.5
1,1943,1.5
1,1947,1.5
1,1949,1.5
1,1957,1.5
1,2019,1.5
1,2104,1.5
1,2109,1.5
1,2217,1.5
1,2226,1.5
1,2280,1.5
1,2353,1.5
1,2363,1.5
1,2372,1.5
1,2396,1.5
1,2400,1.5
1,2465,1.5
1,2472,1.5
1,2488,1.5
1,2511,1.5
1,2513,1.5
1,2533,1.5
1,2542,1.5
1,2545,1.5
1,2550,1.5
1,2552,1.5
1,2616,1.5
1,2743,1.5
1,2843,1.5
1,2901,1.5
1,2979,1.5
1,3016,1.5
1,3024,1.5
1,3026,1.5
1,3031,1.5
1,3034,1.5
1,3146,1.5
1,3191,1.5
1,3208,1.5
1,3289,1.5
1,3380,1.5
1,3445,1.5
1,3458,1.5
1,3461,1.5
1,3481,1.5
1,3530,1.5
1,3540,1.5
1,3553,1.5
1,3563,1.5
1,3569,1.5
1,3627,1.5
1,3652,1.5
1,3678,1.5
1,3922,1.5
1,3929,1.5
1,3942,1.5
1,3993,1.5
1,4011,1.5
1,4183,1.5
1,4288,1.5
1,4489,1.5
1,4663,1.5
1,4912,1.5
1,4937,1.5
1,4974,1.5
1,5109,1.5
1,5475,1.5
1,5506,1.5
1,5532,1.5
1,5544,1.5
1,5613,1.5
1,5818,1.5
1,5955,1.5
1,5966,1.5
1,6030,1.5
1,6099,1.5
1,6440,1.5
1,6457,1.5
1,6511,1.5
1,6621,1.5
1,6938,1.5
1,7138,1.5
1,7255,1.5
1,7436,1.5
1,7664,1.5
1,7805,1.5
1,8529,1.5
1,8589,1.5
1,8724,1.5
1,8746,1.5
1,8783,1.5
1,8909,1.5
1,9135,1.5
1,9264,1.5
1,9277,1.5
1,9400,1.5
1,9583,1.5
1,9750,1.5
1,9755,1.5
1,9949,1.5
1,10098,1.5
1,10131,1.5
1,10161,1.5
1,10282,1.5
1,10318,1.5
1,10325,1.5
1,10549,1.5
1,10609,1.5
1,10676,1.5
1,10727,1.5
1,11376,1.5
1,11410,1.5
1,11517,1.5
1,11525,1.5
1,11649,1.5
1,11666,1.5
1,11672,1.5
1,11712,1.5
1,11720,1.5
1,11731,1.5
1,11752,1.5
1,11768,1.5
1,12125,1.5
1,12171,1.5
1,12261,1.5
1,12263,1.5
1,12307,1.5
1,12339,1.5
1,12467,1.5
1,12470,1.5
1,12533,1.5
1,12596,1.5
1,12881,1.5
1,13263,1.5
1,13585,1.5
1,13594,1.5
1,13821,1.5
1,14340,1.5
1,14462,1.5
1,15667,1.5
1,16073,1.5
1,16089,1.5
1,16262,1.5
1,16395,1.5
1,16472,1.5
1,16758,1.5
1,17130,1.5
1,17221,1.5
1,17353,1.5
1,17676,1.5
1,17768,1.5
1,17769,1.5
1,17901,1.5
