u1,u2,n_groups,n_venues,weight_idf
169,1083,26,10,18.271914
188,440,13,1,11.83311
391,834,14,9,10.925157
57,696,12,1,10.922871
989,1042,15,2,10.392879
440,647,25,1,9.016844
155,392,8,1,7.281914
154,602,9,6,6.888219
388,409,7,1,6.371675
555,617,10,8,5.429223
474,521,18,1,4.728552
187,1000,24,1,4.420422
125,1040,11,1,4.168155
402,1060,21,1,4.127686
477,1043,7,2,3.928035
203,440,4,1,3.640957
647,663,4,1,3.640957
407,806,9,9,3.605094
14,96,15,1,3.403893
767,916,6,1,3.08339
521,1044,6,1,2.88539
842,928,8,5,2.861987
282,890,5,1,2.790553
425,684,3,1,2.730718
375,1051,5,4,2.669369
453,766,12,1,2.629072
187,626,14,1,2.57858
991,1009,5,2,2.578369
591,681,7,7,2.514147
465,561,5,1,2.404492
688,1076,5,5,2.390688
480,658,7,1,2.377363
181,1000,9,1,2.3006
364,463,6,4,2.216322
511,742,7,1,2.174672
354,913,3,1,2.164043
157,379,3,1,2.164043
282,405,4,2,2.108626
684,941,5,5,2.033965
408,1058,10,1,1.965565
1044,1060,10,1,1.965565
784,992,3,2,1.859727
688,760,4,3,1.851962
626,1000,10,1,1.841843
280,432,2,1,1.820478
706,1006,2,2,1.820478
673,724,2,2,1.820478
211,648,2,1,1.820478
168,376,2,1,1.820478
314,817,2,2,1.820478
534,689,7,1,1.818112
676,737,3,3,1.723972
649,868,3,3,1.69749
352,866,3,3,1.694551
583,702,3,1,1.541695
1000,1082,6,1,1.533733
297,912,3,3,1.478003
187,1083,8,1,1.473474
310,904,3,3,1.472662
187,922,6,1,1.465436
280,713,3,2,1.462091
354,484,2,1,1.442695
42,527,2,1,1.442695
120,474,3,1,1.442695
168,652,2,1,1.442695
34,143,3,1,1.442695
710,922,7,1,1.42067
458,819,4,1,1.411824
371,762,5,2,1.362034
471,768,5,2,1.346227
500,521,5,1,1.313487
467,521,5,1,1.313487
42,514,5,1,1.313487
474,494,5,1,1.313487
354,527,4,4,1.312962
89,651,3,3,1.306446
273,908,2,2,1.279458
680,783,3,1,1.251097
730,1019,3,1,1.251097
463,1066,2,1,1.24267
354,511,4,1,1.24267
471,922,5,1,1.221197
412,842,5,1,1.221197
187,201,5,1,1.221197
187,471,5,1,1.221197
201,922,5,1,1.221197
167,371,5,1,1.221197
90,842,5,1,1.221197
647,746,4,2,1.204473
268,786,2,2,1.185147
768,922,5,2,1.17991
402,527,6,1,1.179339
254,1015,3,3,1.166926
354,742,2,2,1.149795
365,719,2,2,1.139101
181,1082,4,2,1.12754
458,916,2,1,1.116221
178,1077,2,1,1.116221
178,359,2,1,1.116221
468,678,2,1,1.116221
760,1076,2,2,1.076455
319,664,2,2,1.072009
635,933,3,2,1.06678
375,756,2,2,1.055629
494,521,4,1,1.050789
467,474,4,1,1.050789
267,922,4,3,1.04531
474,495,4,2,1.043385
621,816,2,2,1.038367
187,242,3,3,1.035511
527,767,4,1,1.027797
702,1020,2,1,1.027797
543,803,2,1,1.027797
345,846,2,1,1.027797
397,448,2,1,1.027797
813,885,2,1,1.027797
373,480,3,1,1.01887
62,257,3,1,1.01887
267,412,4,2,1.018718
412,762,4,2,1.018718
156,328,4,2,1.015044
527,1014,4,2,1.002377
238,527,4,2,0.993011
402,1044,5,1,0.982782
402,1058,5,1,0.982782
402,408,5,1,0.982782
527,1060,5,1,0.982782
412,880,4,1,0.976957
199,371,4,1,0.976957
201,1054,4,1,0.976957
817,879,4,1,0.976957
745,879,4,1,0.976957
901,922,4,1,0.976957
90,928,4,1,0.976957
201,471,4,1,0.976957
745,817,4,1,0.976957
20,842,4,1,0.976957
187,901,4,1,0.976957
745,779,4,1,0.976957
768,928,4,1,0.976957
167,199,4,1,0.976957
201,901,4,1,0.976957
371,962,4,1,0.976957
364,889,4,1,0.976957
838,880,4,1,0.976957
90,412,4,1,0.976957
167,962,4,1,0.976957
20,412,4,1,0.976957
187,768,4,1,0.976957
84,463,4,1,0.976957
657,879,4,1,0.976957
70,730,4,2,0.97226
291,579,2,1,0.961797
212,436,2,1,0.961797
110,851,2,1,0.961797
8,25,2,1,0.961797
187,272,2,1,0.961797
694,905,2,1,0.961797
413,474,4,1,0.958224
474,734,4,1,0.958224
468,721,3,1,0.956787
84,456,3,1,0.956787
664,1000,4,2,0.951051
921,976,3,2,0.945883
328,390,2,2,0.94485
344,495,3,1,0.943974
495,593,4,2,0.922872
626,1083,5,1,0.920921
160,1021,4,1,0.915447
251,577,2,2,0.915193
90,456,1,1,0.910239
593,768,1,1,0.910239
315,530,1,1,0.910239
334,903,1,1,0.910239
89,1047,1,1,0.910239
123,773,1,1,0.910239
364,405,1,1,0.910239
851,916,1,1,0.910239
98,212,1,1,0.910239
359,438,1,1,0.910239
110,332,1,1,0.910239
90,367,3,1,0.910239
716,923,1,1,0.910239
628,861,1,1,0.910239
173,1062,1,1,0.910239
598,1040,2,2,0.910239
515,615,1,1,0.910239
171,851,1,1,0.910239
831,889,2,1,0.910239
390,928,1,1,0.910239
845,943,1,1,0.910239
518,685,1,1,0.910239
14,519,4,1,0.907705
439,745,3,2,0.894807
138,915,2,2,0.89242
120,354,2,2,0.883328
527,742,3,2,0.882097
443,766,4,1,0.876357
493,975,2,2,0.868778
591,640,2,1,0.868589
271,332,2,1,0.868589
267,325,3,2,0.85987
293,742,3,1,0.857999
293,819,3,1,0.857999
257,401,3,2,0.853522
413,418,3,2,0.839786
555,621,2,1,0.834065
20,521,2,1,0.834065
417,783,2,1,0.834065
474,1014,3,2,0.822287
159,474,3,2,0.816937
413,922,4,1,0.811811
413,710,4,1,0.811811
892,922,4,1,0.811811
710,892,4,1,0.811811
37,356,2,2,0.805105
234,736,2,1,0.804859
736,917,2,1,0.804859
939,1051,2,1,0.804859
157,234,2,1,0.804859
157,736,2,1,0.804859
157,917,2,1,0.804859
234,917,2,1,0.804859
495,515,3,2,0.803137
445,489,3,2,0.79377
467,500,3,1,0.788092
42,521,3,1,0.788092
172,474,3,1,0.788092
474,500,3,1,0.788092
172,521,3,1,0.788092
635,796,2,2,0.786972
95,536,2,2,0.786972
736,905,2,2,0.786302
408,1060,4,1,0.786226
81,1060,4,1,0.786226
160,320,2,1,0.779742
160,674,2,1,0.779742
320,674,2,1,0.779742
250,255,2,1,0.779742
614,857,2,2,0.774912
619,635,3,2,0.774478
431,830,2,2,0.773918
439,1071,3,1,0.770848
527,576,3,1,0.770848
238,922,3,1,0.770848
257,702,3,1,0.770848
74,767,3,1,0.770848
74,527,3,1,0.770848
576,767,3,1,0.770848
495,767,3,1,0.770848
74,922,3,1,0.770848
100,468,3,1,0.770848
495,576,3,1,0.770848
495,527,3,1,0.770848
291,1071,3,1,0.770848
291,439,3,1,0.770848
74,238,3,1,0.770848
34,1058,3,1,0.763004
20,34,3,1,0.763004
310,748,3,1,0.763004
310,792,3,1,0.763004
346,748,3,1,0.763004
445,768,3,2,0.760379
495,1014,3,2,0.758138
208,976,2,1,0.757846
208,921,2,1,0.757846
293,463,2,1,0.757846
463,523,2,1,0.757846
635,750,3,3,0.754368
84,1054,3,2,0.742813
635,1054,3,2,0.742813
312,496,3,2,0.739714
152,927,2,1,0.738539
152,682,2,1,0.738539
187,924,4,1,0.736737
924,1000,4,1,0.736737
325,1000,4,1,0.736737
84,145,3,2,0.733447
90,768,3,1,0.732718
463,464,3,1,0.732718
768,842,3,1,0.732718
201,464,3,1,0.732718
84,464,3,1,0.732718
464,1054,3,1,0.732718
187,928,3,1,0.732718
412,928,3,1,0.732718
471,928,3,1,0.732718
779,1054,3,1,0.732718
922,928,3,1,0.732718
442,646,3,1,0.732718
84,364,3,1,0.732718
495,646,3,1,0.732718
84,889,3,1,0.732718
463,889,3,1,0.732718
619,934,3,1,0.732718
619,1004,3,1,0.732718
417,612,3,1,0.732718
20,267,3,1,0.732718
23,889,3,1,0.732718
20,635,3,1,0.732718
20,1004,3,1,0.732718
267,635,3,1,0.732718
267,842,3,1,0.732718
267,1004,3,1,0.732718
412,635,3,1,0.732718
412,1004,3,1,0.732718
23,364,3,1,0.732718
635,842,3,1,0.732718
635,1004,3,1,0.732718
842,1004,3,1,0.732718
20,90,3,1,0.732718
745,1054,3,1,0.732718
201,768,3,1,0.732718
69,201,3,1,0.732718
474,515,3,1,0.732718
779,817,3,1,0.732718
762,962,3,1,0.732718
657,817,3,1,0.732718
657,745,3,1,0.732718
199,962,3,1,0.732718
879,880,3,1,0.732718
838,879,3,1,0.732718
779,879,3,1,0.732718
657,880,3,1,0.732718
657,838,3,1,0.732718
159,621,3,1,0.732718
412,838,3,1,0.732718
1,260,3,1,0.732718
762,880,3,1,0.732718
169,199,3,1,0.732718
169,371,3,1,0.732718
201,745,3,1,0.732718
69,922,3,1,0.732718
471,901,3,1,0.732718
169,442,3,1,0.732718
515,742,3,1,0.732718
1,267,3,1,0.732718
69,187,3,1,0.732718
169,784,3,1,0.732718
474,742,3,1,0.732718
69,901,3,1,0.732718
442,784,3,1,0.732718
201,779,3,1,0.732718
167,169,3,1,0.732718
167,762,3,1,0.732718
18,152,2,2,0.729943
364,489,3,2,0.723352
742,797,3,2,0.723352
474,527,3,2,0.723352
95,1062,2,2,0.722833
247,708,1,1,0.721348
218,662,1,1,0.721348
132,1049,2,1,0.721348
234,369,1,1,0.721348
904,1082,1,1,0.721348
878,879,1,1,0.721348
337,1029,1,1,0.721348
589,729,1,1,0.721348
449,1070,1,1,0.721348
976,1017,1,1,0.721348
228,609,1,1,0.721348
752,834,1,1,0.721348
484,838,1,1,0.721348
458,880,1,1,0.721348
69,635,1,1,0.721348
497,798,1,1,0.721348
158,361,1,1,0.721348
533,628,1,1,0.721348
277,680,1,1,0.721348
198,475,1,1,0.721348
124,208,1,1,0.721348
683,737,1,1,0.721348
231,255,1,1,0.721348
660,1055,1,1,0.721348
238,638,3,1,0.718668
413,734,3,1,0.718668
238,857,3,1,0.718668
238,856,3,1,0.718668
474,856,3,1,0.718668
474,857,3,1,0.718668
638,856,3,1,0.718668
238,474,3,1,0.718668
439,474,3,1,0.718668
638,857,3,1,0.718668
413,439,3,1,0.718668
474,638,3,1,0.718668
856,857,3,1,0.718668
418,734,3,1,0.718668
418,474,3,1,0.718668
167,734,3,1,0.718668
167,474,3,1,0.718668
167,418,3,1,0.718668
90,635,3,2,0.717341
278,354,2,2,0.71485
35,294,3,1,0.710983
66,433,2,1,0.705912
159,1000,3,2,0.691431
328,350,3,1,0.686586
156,350,3,1,0.686586
1002,1050,3,1,0.686586
328,866,3,1,0.686586
331,1050,3,1,0.686586
286,1002,3,1,0.686586
331,1002,3,1,0.686586
286,1050,3,1,0.686586
160,1019,3,1,0.686586
350,521,3,1,0.686586
156,866,3,1,0.686586
286,331,3,1,0.686586
234,1050,3,1,0.686586
234,1002,3,1,0.686586
156,521,3,1,0.686586
234,331,3,1,0.686586
234,286,3,1,0.686586
1019,1021,3,1,0.686586
331,608,3,1,0.686586
328,521,3,1,0.686586
129,885,3,1,0.686586
589,709,3,1,0.686586
750,796,3,1,0.686586
750,890,3,1,0.686586
350,866,3,1,0.686586
129,921,3,1,0.686586
709,750,3,1,0.686586
589,890,3,1,0.686586
885,921,3,1,0.686586
589,796,3,1,0.686586
589,750,3,1,0.686586
395,761,3,1,0.686586
709,796,3,1,0.686586
343,372,3,1,0.686586
796,890,3,1,0.686586
160,343,3,1,0.686586
410,523,3,1,0.686586
331,523,3,1,0.686586
331,410,3,1,0.686586
521,866,3,1,0.686586
343,1021,3,1,0.686586
331,709,3,1,0.686586
709,890,3,1,0.686586
413,442,2,2,0.681415
14,377,3,1,0.680779
54,1015,2,1,0.679247
54,790,2,1,0.679247
66,790,2,1,0.679247
66,1015,2,1,0.679247
108,689,2,1,0.679247
373,658,2,1,0.679247
257,295,2,1,0.679247
286,570,2,1,0.679247
62,286,2,1,0.679247
257,286,2,1,0.679247
54,66,2,1,0.679247
62,295,2,1,0.679247
790,1015,2,1,0.679247
417,463,2,2,0.678534
463,493,2,1,0.667616
463,891,2,1,0.667616
493,891,2,1,0.667616
183,364,2,1,0.667616
56,527,2,2,0.661272
766,820,3,1,0.657268
766,865,3,1,0.657268
474,767,2,1,0.656917
80,159,2,1,0.656917
392,521,2,1,0.656917
291,708,3,2,0.653373
206,466,2,2,0.646673
471,495,2,2,0.643117
267,521,2,2,0.643117
84,468,2,1,0.637858
456,468,2,1,0.637858
456,721,2,1,0.637858
84,604,2,1,0.637858
456,604,2,1,0.637858
20,721,2,1,0.637858
20,468,2,1,0.637858
345,745,2,1,0.637858
345,439,2,1,0.637858
20,745,2,1,0.637858
20,439,2,1,0.637858
20,345,2,1,0.637858
238,745,2,1,0.637858
84,721,2,1,0.637858
921,1058,2,2,0.633258
390,495,2,1,0.629316
371,495,2,1,0.629316
344,440,2,1,0.629316
440,495,2,1,0.629316
371,390,2,1,0.629316
280,445,2,1,0.629316
344,390,2,1,0.629316
344,371,2,1,0.629316
280,495,2,1,0.629316
445,495,2,1,0.629316
492,753,2,1,0.629316
152,804,2,2,0.629
371,440,2,2,0.625325
221,1000,3,2,0.623991
224,311,1,1,0.621335
20,992,1,1,0.621335
238,562,1,1,0.621335
527,917,1,1,0.621335
335,635,1,1,0.621335
615,952,1,1,0.621335
273,1068,1,1,0.621335
313,872,1,1,0.621335
638,957,1,1,0.621335
32,158,1,1,0.621335
295,833,1,1,0.621335
91,616,1,1,0.621335
84,524,1,1,0.621335
285,448,1,1,0.621335
20,865,1,1,0.621335
245,1045,1,1,0.621335
484,633,1,1,0.621335
130,484,1,1,0.621335
778,814,1,1,0.621335
459,515,1,1,0.621335
295,415,1,1,0.621335
330,499,1,1,0.621335
102,759,1,1,0.621335
57,499,1,1,0.621335
484,1056,1,1,0.621335
56,819,1,1,0.621335
499,696,1,1,0.621335
440,943,1,1,0.621335
286,756,1,1,0.621335
373,970,1,1,0.621335
7,149,1,1,0.621335
415,431,1,1,0.621335
756,1051,1,1,0.621335
635,928,2,2,0.613509
730,962,3,1,0.611587
413,892,3,1,0.608858
159,710,3,1,0.608858
368,788,3,1,0.608858
182,922,3,1,0.608858
159,922,3,1,0.608858
182,710,3,1,0.608858
182,413,3,1,0.608858
159,892,3,1,0.608858
124,793,2,1,0.606826
214,367,2,1,0.606826
90,1007,2,1,0.606826
214,856,2,1,0.606826
214,1007,2,1,0.606826
367,856,2,1,0.606826
90,1040,2,1,0.606826
90,856,2,1,0.606826
367,1040,2,1,0.606826
90,214,2,1,0.606826
367,1007,2,1,0.606826
856,1007,2,1,0.606826
527,987,2,2,0.604682
364,891,2,2,0.603091
708,742,3,2,0.602963
81,1058,3,1,0.589669
81,408,3,1,0.589669
402,435,3,1,0.589669
1058,1060,3,1,0.589669
435,1058,3,1,0.589669
983,1034,2,2,0.58755
159,767,2,2,0.585408
90,521,2,2,0.581818
76,95,2,1,0.577078
1001,1042,2,2,0.575281
164,176,2,1,0.571999
235,471,2,1,0.571999
15,267,2,2,0.571185
108,800,2,2,0.563053
23,398,2,1,0.562533
129,206,2,1,0.562533
422,958,1,1,0.558111
746,969,1,1,0.558111
194,483,1,1,0.558111
635,776,1,1,0.558111
47,847,1,1,0.558111
951,1028,1,1,0.558111
535,707,1,1,0.558111
688,1064,1,1,0.558111
15,368,1,1,0.558111
201,322,1,1,0.558111
767,851,1,1,0.558111
526,1079,1,1,0.558111
223,416,1,1,0.558111
352,775,1,1,0.558111
406,601,1,1,0.558111
267,895,1,1,0.558111
805,1059,1,1,0.558111
41,625,1,1,0.558111
53,678,1,1,0.558111
796,933,1,1,0.558111
779,902,1,1,0.558111
359,527,1,1,0.558111
512,950,1,1,0.558111
113,820,1,1,0.558111
625,885,1,1,0.558111
446,505,1,1,0.558111
222,300,1,1,0.558111
529,975,1,1,0.558111
278,865,1,1,0.558111
484,638,1,1,0.558111
58,987,1,1,0.558111
218,220,1,1,0.558111
328,928,1,1,0.558111
328,625,1,1,0.558111
470,567,2,2,0.556498
405,1000,3,1,0.552553
187,905,3,1,0.552553
128,187,3,1,0.552553
319,474,2,2,0.548697
230,978,2,2,0.543309
34,50,2,1,0.54217
325,510,2,2,0.531412
50,922,2,2,0.530339
474,976,2,2,0.525556
514,521,2,1,0.525395
474,514,2,1,0.525395
42,494,2,1,0.525395
42,172,2,1,0.525395
172,467,2,1,0.525395
172,494,2,1,0.525395
498,664,2,1,0.525395
254,354,2,2,0.523135
319,514,2,2,0.521015
458,750,2,2,0.520823
230,689,2,1,0.519461
215,623,2,1,0.519461
215,287,2,1,0.519461
534,978,2,1,0.519461
230,534,2,1,0.519461
90,198,1,1,0.513898
529,807,1,1,0.513898
20,506,1,1,0.513898
269,1068,1,1,0.513898
471,690,1,1,0.513898
154,808,1,1,0.513898
354,441,1,1,0.513898
434,669,1,1,0.513898
378,986,1,1,0.513898
238,957,1,1,0.513898
344,398,1,1,0.513898
709,1021,1,1,0.513898
56,690,1,1,0.513898
759,860,1,1,0.513898
759,945,1,1,0.513898
445,974,1,1,0.513898
79,709,1,1,0.513898
175,809,1,1,0.513898
688,771,1,1,0.513898
975,1017,1,1,0.513898
550,978,1,1,0.513898
418,751,1,1,0.513898
202,1070,1,1,0.513898
192,680,1,1,0.513898
824,891,1,1,0.513898
272,952,1,1,0.513898
345,497,1,1,0.513898
55,353,1,1,0.513898
658,813,1,1,0.513898
449,1023,1,1,0.513898
397,559,1,1,0.513898
132,206,1,1,0.513898
474,791,1,1,0.513898
12,40,1,1,0.513898
401,822,1,1,0.513898
176,885,1,1,0.513898
1015,1017,1,1,0.513898
860,945,1,1,0.513898
291,315,2,1,0.513898
293,1071,2,1,0.513898
291,293,2,1,0.513898
315,1071,2,1,0.513898
315,439,2,1,0.513898
576,1014,2,1,0.513898
80,468,2,1,0.513898
80,100,2,1,0.513898
468,702,2,1,0.513898
257,468,2,1,0.513898
100,702,2,1,0.513898
233,927,1,1,0.513898
100,257,2,1,0.513898
702,814,2,1,0.513898
401,814,2,1,0.513898
401,702,2,1,0.513898
257,814,2,1,0.513898
365,450,1,1,0.513898
238,267,2,1,0.513898
74,267,2,1,0.513898
767,922,2,1,0.513898
527,922,2,1,0.513898
238,767,2,1,0.513898
74,576,2,1,0.513898
74,495,2,1,0.513898
293,439,2,1,0.513898
767,1014,2,1,0.513898
37,929,1,1,0.513898
407,511,2,1,0.513898
511,734,2,1,0.513898
521,745,2,1,0.513898
734,736,2,1,0.513898
356,929,1,1,0.513898
210,792,1,1,0.513898
159,1014,2,2,0.511284
664,1052,2,1,0.511244
554,655,2,1,0.511244
20,1054,2,1,0.50867
520,750,2,1,0.50867
84,363,2,1,0.50867
365,520,2,1,0.50867
20,921,2,1,0.50867
34,828,2,1,0.50867
34,95,2,1,0.50867
34,323,2,1,0.50867
20,828,2,1,0.50867
34,921,2,1,0.50867
34,1054,2,1,0.50867
95,323,2,1,0.50867
95,828,2,1,0.50867
23,365,2,1,0.50867
310,1016,2,1,0.50867
157,346,2,1,0.50867
20,323,2,1,0.50867
310,1058,2,1,0.50867
792,1016,2,1,0.50867
792,1058,2,1,0.50867
34,1016,2,1,0.50867
34,792,2,1,0.50867
34,310,2,1,0.50867
748,792,2,1,0.50867
310,346,2,1,0.50867
1016,1058,2,1,0.50867
748,767,2,1,0.50867
20,1058,2,1,0.50867
346,767,2,1,0.50867
157,767,2,1,0.50867
157,748,2,1,0.50867
20,95,2,1,0.50867
84,390,2,1,0.50867
365,750,2,1,0.50867
363,390,2,1,0.50867
363,856,2,1,0.50867
84,856,2,1,0.50867
84,933,2,1,0.50867
323,921,2,1,0.50867
29,635,2,1,0.50867
29,363,2,1,0.50867
369,822,2,1,0.50867
369,523,2,1,0.50867
235,822,2,1,0.50867
235,523,2,1,0.50867
29,933,2,1,0.50867
29,856,2,1,0.50867
363,635,2,1,0.50867
363,933,2,1,0.50867
523,822,2,1,0.50867
235,369,2,1,0.50867
390,635,2,1,0.50867
323,1054,2,1,0.50867
828,921,2,1,0.50867
828,1054,2,1,0.50867
856,933,2,1,0.50867
921,1054,2,1,0.50867
635,856,2,1,0.50867
390,933,2,1,0.50867
390,856,2,1,0.50867
29,390,2,1,0.50867
29,1054,2,1,0.50867
84,635,2,1,0.50867
29,84,2,1,0.50867
95,1054,2,1,0.50867
95,921,2,1,0.50867
323,828,2,1,0.50867
569,768,2,2,0.494159
646,784,2,1,0.488479
167,412,2,1,0.488479
827,996,2,1,0.488479
371,880,2,1,0.488479
371,412,2,1,0.488479
235,621,2,1,0.488479
167,880,2,1,0.488479
1,235,2,1,0.488479
105,661,2,1,0.488479
235,267,2,1,0.488479
943,1030,2,1,0.488479
260,267,2,1,0.488479
199,762,2,1,0.488479
657,779,2,1,0.488479
817,880,2,1,0.488479
604,827,2,1,0.488479
1,471,2,1,0.488479
922,996,2,1,0.488479
901,996,2,1,0.488479
817,838,2,1,0.488479
201,928,2,1,0.488479
762,838,2,1,0.488479
817,1054,2,1,0.488479
1030,1054,2,1,0.488479
842,922,2,1,0.488479
880,962,2,1,0.488479
9,300,2,1,0.488479
