constructed_group_id,user_id,regime
est_000000,752,established
est_000000,834,established
est_000001,533,established
est_000001,628,established
est_000002,254,established
est_000002,527,established
est_000002,638,established
est_000003,652,established
est_000003,673,established
est_000004,536,established
est_000004,965,established
est_000005,205,established
est_000005,1029,established
est_000006,185,established
est_000006,941,established
est_000007,80,established
est_000007,315,established
est_000007,750,established
est_000008,472,established
est_000008,488,established
est_000008,885,established
est_000009,857,established
est_000009,990,established
est_000010,901,established
est_000010,915,established
est_000011,267,established
est_000011,315,established
est_000011,750,established
est_000012,267,established
est_000012,1017,established
est_000012,1047,established
est_000013,432,established
est_000013,646,established
est_000013,754,established
est_000014,585,established
est_000014,730,established
est_000015,422,established
est_000015,502,established
est_000015,911,established
est_000016,1009,established
est_000016,1033,established
est_000017,706,established
est_000017,1006,established
est_000018,99,established
est_000018,816,established
est_000019,621,established
est_000019,755,established
est_000019,816,established
est_000020,14,established
est_000020,24,established
est_000020,396,established
est_000021,105,established
est_000021,621,established
est_000021,816,established
est_000022,120,established
est_000022,443,established
est_000023,477,established
est_000023,1043,established
est_000024,621,established
est_000024,831,established
est_000024,889,established
est_000025,768,established
est_000025,845,established
est_000026,376,established
est_000026,710,established
est_000027,488,established
est_000027,885,established
est_000028,545,established
est_000028,1006,established
est_000029,628,established
est_000029,958,established
est_000030,34,established
est_000030,371,established
est_000030,404,established
est_000030,582,established
est_000031,372,established
est_000031,613,established
est_000031,925,established
est_000031,1040,established
est_000032,344,established
est_000032,386,established
est_000032,754,established
est_000032,928,established
est_000033,132,established
est_000033,269,established
est_000033,288,established
est_000033,778,established
est_000034,383,established
est_000034,656,established
est_000035,120,established
est_000035,443,established
est_000035,894,established
est_000036,345,established
est_000036,555,established
est_000036,617,established
est_000037,582,established
est_000037,592,established
est_000037,854,established
est_000038,34,established
est_000038,661,established
est_000038,891,established
est_000038,1016,established
est_000039,12,established
est_000039,992,established
est_000040,100,established
est_000040,130,established
est_000041,165,established
est_000041,465,established
est_000041,544,established
