constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_000000,established,2,752|834,752|834,43,36,3,4,0.0613
est_000001,established,2,533|628,533|628,42,26,4,12,0.6886
est_000002,established,3,254|527|638,254|527|638,41,25,7,9,0.2009
est_000003,established,2,652|673,652|673,40,28,5,7,0.4645
est_000004,established,2,536|965,965,39,28,4,7,0.1769
est_000005,established,2,205|1029,205|1029,38,17,8,13,0.9273
est_000006,established,2,185|941,185|941,37,36,1,0,0.9605
est_000007,established,3,80|315|750,80|315,36,30,2,4,0.409
est_000008,established,3,472|488|885,472|488|885,35,20,5,10,0.2903
est_000009,established,2,857|990,857|990,33,25,3,5,0.1938
est_000010,established,2,901|915,901|915,33,18,7,8,0.241
est_000011,established,3,267|315|750,315,32,17,7,8,0.6243
est_000012,established,3,267|1017|1047,1017|1047,31,20,2,9,0.5344
est_000013,established,3,432|646|754,432|754,30,20,3,7,0.2608
est_000014,established,2,585|730,585,30,24,2,4,0.8554
est_000015,established,3,422|502|911,911,30,23,2,5,0.6538
est_000016,established,2,1009|1033,1009|1033,30,24,5,1,0.6034
est_000017,established,2,706|1006,706|1006,29,25,1,3,0.6108
est_000018,established,2,99|816,99|816,28,19,6,3,0.7192
est_000019,established,3,621|755|816,621|755|816,28,19,3,6,0.3275
est_000020,established,3,14|24|396,14|24|396,27,19,1,7,0.1389
est_000021,established,3,105|621|816,105|621|816,27,17,4,6,0.2309
est_000022,established,2,120|443,120|443,27,19,2,6,0.5435
est_000023,established,2,477|1043,477|1043,27,19,1,7,0.1149
est_000024,established,3,621|831|889,621|831|889,26,17,4,5,0.2912
est_000025,established,2,768|845,768|845,26,14,7,5,0.1461
est_000026,established,2,376|710,376|710,25,18,5,2,0.1036
est_000027,established,2,488|885,488|885,25,15,4,6,0.2682
est_000028,established,2,545|1006,545|1006,25,21,3,1,0.3719
est_000029,established,2,628|958,628|958,25,15,6,4,0.8904
est_000030,established,4,34|371|404|582,34|371|404|582,24,17,1,6,0.1759
est_000031,established,4,372|613|925|1040,372|613|925,24,14,3,7,0.2013
est_000032,established,4,344|386|754|928,344|386|754,23,16,3,4,0.2147
est_000033,established,4,132|269|288|778,132|269|288|778,22,15,1,6,0.2507
est_000034,established,2,383|656,383|656,22,15,2,5,0.6588
est_000035,established,3,120|443|894,120|443,21,12,1,8,0.4927
est_000036,established,3,345|555|617,345|555|617,21,7,3,11,0.6095
est_000037,established,3,582|592|854,582|592|854,21,17,1,3,0.3482
est_000038,established,4,34|661|891|1016,34|661|891|1016,21,13,1,7,0.1257
est_000039,established,2,12|992,12|992,20,16,0,4,0.4991
est_000040,established,2,100|130,130,20,14,0,6,0.659
est_000041,established,3,165|465|544,165|465|544,20,12,2,6,0.1647
est_000042,established,2,206|599,206|599,20,19,1,0,0.3009
est_000043,established,2,262|1077,262|1077,20,12,1,7,0.757
est_000044,established,2,330|881,330|881,20,15,3,2,0.2302
est_000045,established,2,391|834,391|834,20,13,3,4,0.7252
est_000046,established,2,406|660,406|660,20,13,0,7,0.2851
est_000047,established,2,529|571,529|571,20,14,1,5,0.7274
est_000048,established,3,647|746|916,647|746|916,20,13,4,3,0.3072
est_000049,established,2,678|902,678|902,20,18,0,2,0.7848
est_000050,established,4,33|34|65|311,33|34|65|311,19,13,1,5,0.1906
est_000051,established,2,270|782,270|782,19,12,3,4,0.1261
est_000052,established,4,172|354|521|722,354|521|722,19,12,2,5,0.2849
est_000053,established,2,311|546,311|546,19,10,2,7,0.2483
est_000054,established,2,589|734,589|734,19,10,3,6,0.52
est_000055,established,2,105|816,105|816,19,16,1,2,0.2138
est_000056,established,2,871|1015,871|1015,19,15,2,2,0.7438
est_000057,established,2,895|951,895|951,19,11,3,5,0.8733
est_000058,established,2,1024|1057,1057,19,9,4,6,0.1403
