group_id,venue_id,poi_idx,span_min,size,start_time,end_time,members
0,3fd66200f964a52000e71ee3,0,44,2,2012-05-04 22:46:00+00:00,2012-05-04 23:30:00+00:00,417|421
1,3fd66200f964a52001e81ee3,1,33,2,2012-04-11 23:43:00+00:00,2012-04-12 00:16:00+00:00,415|985
2,3fd66200f964a52003e71ee3,2,0,2,2012-05-04 02:34:00+00:00,2012-05-04 02:34:00+00:00,392|933
3,3fd66200f964a52005eb1ee3,6,35,2,2012-04-19 00:59:00+00:00,2012-04-19 01:34:00+00:00,230|1018
4,3fd66200f964a52005eb1ee3,6,54,2,2012-07-28 03:04:00+00:00,2012-07-28 03:58:00+00:00,532|563
5,3fd66200f964a52008f11ee3,8,33,2,2012-05-12 21:14:00+00:00,2012-05-12 21:47:00+00:00,785|890
6,3fd66200f964a52008f11ee3,8,4,2,2012-05-19 00:37:00+00:00,2012-05-19 00:41:00+00:00,413|442
7,3fd66200f964a52009e61ee3,9,39,2,2012-07-04 02:18:00+00:00,2012-07-04 02:57:00+00:00,416|550
8,3fd66200f964a5200ae61ee3,11,44,2,2012-06-18 00:19:00+00:00,2012-06-18 01:03:00+00:00,413|442
9,3fd66200f964a5200ae91ee3,13,52,2,2012-04-04 00:19:00+00:00,2012-04-04 01:11:00+00:00,372|470
10,3fd66200f964a5200de71ee3,15,22,2,2012-05-12 02:29:00+00:00,2012-05-12 02:51:00+00:00,475|745
11,3fd66200f964a52014e71ee3,18,8,2,2012-07-07 23:48:00+00:00,2012-07-07 23:56:00+00:00,736|905
12,3fd66200f964a52014eb1ee3,19,9,2,2012-05-17 01:34:00+00:00,2012-05-17 01:43:00+00:00,360|361
13,3fd66200f964a52014eb1ee3,19,36,2,2012-05-22 00:13:00+00:00,2012-05-22 00:49:00+00:00,377|966
14,3fd66200f964a52014eb1ee3,19,36,3,2012-06-18 02:59:00+00:00,2012-06-18 03:35:00+00:00,108|235|800
15,3fd66200f964a52015e91ee3,20,46,2,2012-07-08 17:05:00+00:00,2012-07-08 17:51:00+00:00,102|349
16,3fd66200f964a52016e51ee3,21,42,2,2012-06-10 03:56:00+00:00,2012-06-10 04:38:00+00:00,248|280
17,3fd66200f964a5201de61ee3,25,21,2,2012-06-10 20:55:00+00:00,2012-06-10 21:16:00+00:00,20|506
18,3fd66200f964a5201deb1ee3,26,13,2,2012-05-13 00:19:00+00:00,2012-05-13 00:32:00+00:00,112|279
19,3fd66200f964a52020e71ee3,29,12,2,2012-04-03 22:59:00+00:00,2012-04-03 23:11:00+00:00,169|1083
20,3fd66200f964a52020e71ee3,29,55,3,2012-04-13 22:00:00+00:00,2012-04-13 22:55:00+00:00,169|499|1083
21,3fd66200f964a52020e71ee3,29,53,2,2012-05-17 00:52:00+00:00,2012-05-17 01:45:00+00:00,169|1083
22,3fd66200f964a52020e71ee3,29,2,2,2012-05-18 23:45:00+00:00,2012-05-18 23:47:00+00:00,169|1083
23,3fd66200f964a52020e81ee3,30,43,3,2012-04-28 23:59:00+00:00,2012-04-29 00:42:00+00:00,18|152|409
24,3fd66200f964a52020e81ee3,30,12,2,2012-05-05 01:19:00+00:00,2012-05-05 01:31:00+00:00,417|927
25,3fd66200f964a52020e81ee3,30,58,2,2012-05-05 23:04:00+00:00,2012-05-06 00:02:00+00:00,148|683
26,3fd66200f964a52021e41ee3,31,58,2,2012-04-08 01:56:00+00:00,2012-04-08 02:54:00+00:00,574|1007
27,3fd66200f964a52023e41ee3,32,6,2,2012-04-14 21:06:00+00:00,2012-04-14 21:12:00+00:00,295|806
28,3fd66200f964a52023e41ee3,32,25,2,2012-05-11 21:57:00+00:00,2012-05-11 22:22:00+00:00,10|417
29,3fd66200f964a52023e41ee3,32,43,2,2012-05-11 22:22:00+00:00,2012-05-11 23:05:00+00:00,275|417
30,3fd66200f964a52023e41ee3,32,31,3,2012-05-28 21:59:00+00:00,2012-05-28 22:30:00+00:00,131|629|985
31,3fd66200f964a5202be41ee3,38,29,2,2012-04-15 02:44:00+00:00,2012-04-15 03:13:00+00:00,275|491
32,3fd66200f964a5202be41ee3,38,24,2,2012-07-07 01:46:00+00:00,2012-07-07 02:10:00+00:00,420|657
33,3fd66200f964a5202be41ee3,38,37,2,2012-09-15 04:59:00+00:00,2012-09-15 05:36:00+00:00,806|866
34,3fd66200f964a52035e41ee3,48,10,2,2012-04-13 00:02:00+00:00,2012-04-13 00:12:00+00:00,152|804
35,3fd66200f964a52035e41ee3,48,2,2,2012-04-13 04:15:00+00:00,2012-04-13 04:17:00+00:00,230|689
36,3fd66200f964a52035e41ee3,48,34,2,2012-04-14 02:20:00+00:00,2012-04-14 02:54:00+00:00,230|534
37,3fd66200f964a52035e41ee3,48,23,2,2012-04-15 04:15:00+00:00,2012-04-15 04:38:00+00:00,669|689
38,3fd66200f964a52035e41ee3,48,32,2,2012-04-18 23:01:00+00:00,2012-04-18 23:33:00+00:00,967|1007
39,3fd66200f964a52035e41ee3,48,22,2,2012-04-19 03:53:00+00:00,2012-04-19 04:15:00+00:00,230|689
40,3fd66200f964a52035e41ee3,48,23,3,2012-04-21 03:54:00+00:00,2012-04-21 04:17:00+00:00,534|588|689
41,3fd66200f964a52035e41ee3,48,10,2,2012-04-28 04:15:00+00:00,2012-04-28 04:25:00+00:00,534|689
42,3fd66200f964a52035e41ee3,48,6,3,2012-04-29 05:39:00+00:00,2012-04-29 05:45:00+00:00,230|534|978
