from_group,to_group,from_poi,to_poi,gap_min,n_shared,jaccard,members
11,344,18,269,144,2,1.0,736|905
21,1609,29,1328,125,2,1.0,169|1083
1795,1861,1628,1898,60,2,0.6667,89|651
669,1785,357,1602,1,2,0.5,291|708
756,225,357,195,50,2,0.6667,187|242
187,323,192,254,19,2,0.5,130|938
1415,719,1002,357,20,2,0.5,311|1000
1976,2087,2500,3216,6,2,1.0,319|664
1326,246,956,232,177,2,1.0,254|1015
1121,826,625,402,32,2,0.6667,70|730
668,1784,357,1602,1,2,0.5,708|742
1027,1359,587,987,8,2,1.0,467|495
335,2212,254,3838,60,2,1.0,555|617
1904,1985,2089,2534,54,2,1.0,555|617
1844,251,1782,233,200,2,1.0,684|941
2263,343,4081,269,142,2,1.0,991|1009
2136,2163,3443,3620,89,2,1.0,391|834
2136,2401,3443,4892,89,2,1.0,391|834
1814,2093,1679,3275,4,2,1.0,621|816
1600,1840,1292,1753,59,2,1.0,477|1043
1601,1841,1292,1753,104,2,1.0,477|1043
