u1,u2
0,130
0,135
0,476
0,1392
1,616
1,1088
3,32
3,134
3,166
3,432
3,446
3,975
4,683
4,1158
4,1326
5,39
6,46
6,383
6,460
6,640
6,734
8,178
8,210
8,300
8,624
8,823
8,975
8,1088
11,13
12,13
13,15
13,157
13,323
13,354
13,418
13,432
13,463
13,501
13,520
13,617
13,856
13,1020
13,1141
13,1260
13,1296
13,1326
15,22
15,182
15,903
15,1088
15,1326
15,1525
16,24
16,903
17,274
17,316
17,532
17,985
17,1312
18,98
23,86
23,140
23,1389
24,30
24,41
24,105
24,130
24,221
24,281
24,313
24,350
24,432
24,435
24,557
24,759
24,948
24,1260
24,1283
24,1343
24,1630
25,176
27,379
27,668
27,700
27,822
27,1129
28,818
29,256
29,903
30,89
30,158
30,461
30,560
30,1036
32,89
32,699
32,762
32,957
32,975
32,1296
32,1532
34,532
35,291
36,562
38,120
38,143
39,228
39,257
39,577
39,893
39,1453
41,48
41,58
41,158
41,189
41,292
41,297
41,323
41,624
41,640
41,729
41,823
41,1002
41,1005
41,1041
41,1209
41,1282
41,1381
41,1619
42,157
42,274
42,284
42,354
42,1088
43,134
43,966
44,130
44,136
44,1036
45,89
45,176
45,310
45,354
45,1243
46,263
46,494
47,48
47,98
47,178
47,501
47,674
47,886
47,1333
48,153
48,178
48,255
48,284
48,313
48,476
48,694
48,729
48,997
48,1499
48,1619
49,176
50,67
50,89
50,107
50,1121
51,903
53,107
53,751
53,1312
55,965
56,107
56,137
56,153
56,166
56,178
56,210
56,616
56,617
56,912
56,1260
56,1273
56,1499
57,903
60,213
60,410
60,1020
60,1312
61,221
61,763
67,214
67,273
67,561
67,670
67,679
67,813
67,893
67,1022
67,1084
67,1149
67,1238
67,1260
67,1268
67,1391
71,1374
72,176
73,74
74,81
74,488
74,543
74,700
74,1282
74,1480
74,1558
75,262
75,287
75,1168
76,680
79,903
81,292
81,319
81,490
81,762
81,842
81,1255
81,1260
84,1020
84,1305
85,115
85,153
85,768
85,1005
85,1260
86,892
86,1114
88,98
88,119
88,207
88,313
89,158
89,306
89,327
89,354
89,383
89,401
89,427
89,474
89,839
89,903
89,1114
89,1168
89,1172
89,1220
89,1296
89,1431
89,1622
96,116
96,141
98,886
98,1002
98,1392
101,548
101,613
103,1036
105,908
105,1020
105,1141
105,1310
106,292
107,143
107,176
107,182
107,327
107,412
107,616
107,652
107,965
107,1114
107,1260
107,1289
107,1296
107,1381
107,1427
107,1619
108,180
108,432
110,1078
112,164
115,1561
116,323
116,361
116,728
116,803
116,975
116,1027
116,1104
116,1306
117,187
117,413
117,542
117,751
117,874
117,908
117,983
117,1005
117,1047
117,1318
118,915
119,176
119,560
120,319
120,490
120,639
