u1,u2
0,4
0,6
0,97
0,132
0,313
0,911
0,1088
0,1206
1,293
2,324
3,24
3,25
3,42
3,43
3,139
3,189
3,215
3,251
3,281
3,284
3,292
3,316
3,329
3,381
3,405
3,488
3,966
3,1010
3,1032
3,1159
3,1268
3,1277
3,1310
4,225
5,221
5,316
5,686
6,135
6,313
7,13
7,42
7,81
8,48
8,168
8,323
8,532
8,633
8,856
9,821
11,63
11,120
11,147
11,225
11,405
12,15
12,22
12,338
13,24
13,25
13,30
13,42
13,48
13,88
13,132
13,153
13,251
13,256
13,616
13,674
13,739
13,823
13,1589
15,171
16,42
16,488
16,590
20,760
21,362
22,1525
23,117
23,239
23,390
23,487
23,649
23,754
24,25
24,32
24,35
24,43
24,89
24,134
24,176
24,179
24,214
24,215
24,239
24,251
24,256
24,284
24,311
24,329
24,405
24,466
24,520
24,573
24,656
24,706
24,781
24,787
24,966
24,975
24,1014
24,1032
24,1159
24,1200
24,1286
24,1403
25,89
25,361
25,573
25,706
27,28
27,1106
28,101
28,1106
29,178
30,41
30,81
30,97
30,98
30,143
30,169
30,249
30,251
30,292
30,316
30,329
30,520
30,601
30,962
30,1547
31,766
32,67
32,107
32,179
32,226
32,294
32,384
32,393
32,424
32,461
32,966
32,1002
32,1034
32,1260
32,1335
33,487
34,134
34,143
34,245
34,251
35,107
35,256
35,514
35,966
36,828
37,451
38,117
38,174
38,225
38,251
38,380
38,532
38,781
38,1312
39,72
39,127
39,134
39,235
39,449
39,466
39,730
39,1019
39,1327
41,53
41,130
41,144
41,197
41,313
41,320
41,329
41,333
41,410
41,418
41,520
41,966
42,48
42,74
42,169
42,198
42,225
42,234
42,313
42,329
42,616
43,48
43,179
43,284
43,329
43,787
43,1010
43,1277
44,787
44,788
44,1027
45,74
45,361
45,1172
45,1212
46,126
46,256
47,56
47,88
47,107
47,255
48,81
48,98
48,123
48,207
48,261
48,435
48,616
48,621
48,823
48,966
48,1170
48,1173
48,1403
49,440
50,316
50,408
50,652
51,139
51,378
53,143
53,425
53,611
54,1356
55,474
56,89
56,255
56,380
56,1427
58,603
59,750
60,65
60,84
60,116
60,120
60,180
60,215
60,245
60,490
61,76
61,89
61,96
61,187
61,748
61,784
61,1139
62,897
63,176
64,1424
65,490
67,89
67,139
67,141
67,163
67,174
67,189
67,221
67,319
67,461
67,471
67,600
67,855
67,956
67,1027
67,1091
67,1220
67,1226
67,1232
67,1641
68,859
68,1377
69,989
70,100
70,204
70,659
71,1209
72,281
73,1241
74,87
74,176
74,298
74,400
74,493
74,967
74,1367
75,176
75,218
75,291
75,524
75,607
76,187
76,197
76,267
76,338
76,615
76,748
76,784
80,175
80,716
81,176
81,197
81,520
81,1179
81,1361
84,140
84,251
85,433
86,176
87,176
87,350
87,634
87,781
87,1174
88,178
88,511
88,520
88,616
89,107
89,129
89,163
89,194
89,533
89,652
89,706
89,754
89,867
89,925
89,1010
89,1040
89,1069
89,1117
89,1260
89,1312
89,1335
89,1614
90,1384
92,726
92,1079
93,1014
96,176
96,274
96,361
96,1088
96,1170
96,1217
96,1596
97,383
97,560
