u1,u2,n_groups,n_venues,weight_idf
1327,1453,36,16,23.49161
957,1391,12,1,10.922871
1226,1279,15,2,10.36995
1099,1610,17,9,9.613082
736,737,18,12,8.633175
1277,1570,22,20,8.179712
1446,1611,10,5,7.343426
65,257,13,2,7.016257
151,448,18,15,6.855538
227,492,17,1,6.000254
950,1340,16,11,5.534
566,608,8,7,5.464724
650,1043,14,13,4.943882
203,1335,22,1,4.727157
441,1321,8,6,4.666783
300,633,9,1,4.625085
627,655,7,1,4.349345
492,1338,12,1,4.235473
846,1585,10,9,3.881547
20,760,5,2,3.692514
701,1465,4,1,3.640957
241,1277,11,1,3.203273
1263,1317,8,8,3.184417
966,1081,5,1,3.106675
711,782,8,7,3.08051
1372,1386,7,5,2.928681
628,1547,9,7,2.91344
1251,1613,7,7,2.895732
689,1101,4,1,2.88539
1432,1520,9,9,2.826737
533,867,6,6,2.740749
745,887,11,1,2.67583
1074,1336,6,5,2.65221
1256,1656,9,7,2.617609
606,727,6,5,2.598629
789,843,5,2,2.555957
1336,1523,5,5,2.537018
492,1121,7,1,2.470693
227,1338,7,1,2.470693
66,186,5,1,2.404492
203,214,14,1,2.385294
470,509,6,5,2.357975
39,65,4,1,2.232443
97,1206,7,7,2.221894
1074,1523,4,4,2.20321
544,745,9,1,2.189316
492,627,6,1,2.117737
932,1317,5,5,2.11577
1223,1457,5,5,2.063214
636,1551,4,4,2.007385
382,395,5,4,1.975556
511,1136,5,5,1.916883
1391,1444,3,1,1.864005
216,1091,2,1,1.820478
230,382,2,1,1.820478
937,976,2,2,1.820478
464,496,2,1,1.820478
1363,1614,2,1,1.820478
312,1233,3,3,1.80817
805,1633,8,1,1.805536
685,1146,6,5,1.795589
1133,1479,4,4,1.782258
1038,1589,4,4,1.782047
714,733,4,3,1.767474
516,1589,4,4,1.739759
701,995,4,1,1.737178
1167,1251,4,4,1.735345
305,887,7,1,1.702801
544,887,7,1,1.702801
786,887,7,1,1.702801
1252,1336,5,4,1.671206
0,313,5,3,1.670674
169,198,4,4,1.641477
1341,1481,5,5,1.64096
804,1282,3,3,1.63012
807,847,4,4,1.615018
616,1088,4,4,1.580098
1353,1520,5,5,1.570986
1100,1546,4,4,1.569075
1183,1223,6,3,1.544177
1186,1562,5,4,1.542745
1202,1491,4,4,1.505688
123,1350,4,4,1.504711
113,285,3,3,1.485491
47,56,4,4,1.481203
1249,1487,4,4,1.470165
1099,1528,3,3,1.466309
305,786,6,1,1.459544
745,786,6,1,1.459544
887,972,6,1,1.459544
305,745,6,1,1.459544
942,1473,2,1,1.442695
516,1038,3,3,1.429091
942,1650,4,3,1.427976
932,1520,4,4,1.420037
492,1547,4,2,1.411824
184,1621,3,3,1.408278
1112,1252,4,2,1.401822
949,1161,4,4,1.391946
952,1008,4,3,1.390513
559,887,5,2,1.390062
1183,1353,4,4,1.368433
125,280,3,1,1.365359
231,1242,4,2,1.345824
354,383,4,2,1.325217
47,255,4,4,1.321304
354,418,3,1,1.302883
698,824,3,2,1.302883
1347,1493,3,3,1.289184
1183,1520,5,3,1.285279
183,1275,2,2,1.279458
1063,1250,3,3,1.278565
155,710,3,3,1.259508
1504,1520,5,3,1.255778
859,1171,6,1,1.248954
1171,1295,6,1,1.248954
859,1295,6,1,1.248954
313,1392,4,2,1.246229
125,777,2,1,1.24267
598,1413,2,1,1.24267
792,1413,2,1,1.24267
1088,1619,3,3,1.238798
1165,1242,3,3,1.229851
526,784,3,3,1.223726
893,1149,2,2,1.220907
305,544,5,1,1.216286
745,972,5,1,1.216286
419,558,3,1,1.207289
419,718,3,1,1.207289
558,718,3,1,1.207289
333,718,3,1,1.207289
333,558,3,1,1.207289
333,419,3,1,1.207289
1545,1562,3,3,1.203124
1353,1432,4,4,1.201717
129,788,4,1,1.187897
483,1134,2,2,1.179446
847,1242,3,3,1.143799
616,1626,3,3,1.140944
123,492,3,2,1.140207
1336,1520,4,4,1.13557
607,969,2,2,1.126002
1112,1123,3,1,1.107808
1123,1252,3,1,1.107808
1,1088,3,3,1.094929
1504,1534,3,3,1.094382
1252,1520,4,2,1.073205
1123,1336,3,2,1.072347
281,492,3,1,1.058868
544,559,3,2,1.044625
