constructed_group_id,user_id,regime
est_000000,20,established
est_000000,760,established
est_000001,566,established
est_000001,608,established
est_000002,937,established
est_000002,976,established
est_000003,558,established
est_000003,947,established
est_000004,822,established
est_000004,1099,established
est_000004,1610,established
est_000005,1045,established
est_000005,1442,established
est_000006,214,established
est_000006,414,established
est_000006,1554,established
est_000007,542,established
est_000007,1442,established
est_000008,413,established
est_000008,1446,established
est_000008,1611,established
est_000009,294,established
est_000009,1442,established
est_000010,753,established
est_000010,1227,established
est_000011,777,established
est_000011,1177,established
est_000012,866,established
est_000012,1376,established
est_000013,698,established
est_000013,824,established
est_000014,749,established
est_000014,1349,established
est_000015,935,established
est_000015,1197,established
est_000016,1059,established
est_000016,1502,established
est_000017,1174,established
est_000017,1424,established
est_000018,554,established
est_000018,952,established
est_000018,1008,established
est_000019,668,established
est_000019,1639,established
est_000020,819,established
est_000020,968,established
est_000020,1655,established
est_000021,1007,established
est_000021,1166,established
est_000022,535,established
est_000022,1048,established
est_000023,19,established
est_000023,1442,established
est_000024,184,established
est_000024,346,established
est_000025,214,established
est_000025,1554,established
est_000026,864,established
est_000026,1174,established
est_000027,866,established
est_000027,1022,established
est_000028,1095,established
est_000028,1502,established
est_000029,1254,established
est_000029,1415,established
est_000030,118,established
est_000030,701,established
est_000031,780,established
est_000031,1023,established
est_000031,1038,established
est_000032,799,established
est_000032,1543,established
est_000033,509,established
est_000033,1062,established
est_000034,1095,established
est_000034,1487,established
est_000035,1394,established
est_000035,1540,established
est_000036,38,established
est_000036,382,established
est_000036,503,established
est_000036,558,established
est_000037,40,established
est_000037,649,established
est_000037,1168,established
est_000037,1488,established
est_000038,244,established
est_000038,445,established
est_000039,544,established
est_000039,830,established
est_000040,341,established
est_000040,963,established
est_000041,1099,established
est_000041,1610,established
est_000042,1197,established
est_000042,1339,established
est_000043,497,established
est_000043,1330,established
est_000044,1257,established
est_000044,1424,established
est_000045,38,established
est_000045,949,established
est_000046,99,established
est_000046,1410,established
est_000047,280,established
est_000047,1177,established
est_000048,315,established
est_000048,1517,established
est_000049,230,established
est_000049,382,established
