constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_000000,established,2,20|760,20|760,71,45,9,17,0.1038
est_000001,established,2,566|608,566|608,50,31,4,15,0.7956
est_000002,established,2,937|976,937|976,35,33,0,2,0.3341
est_000003,established,2,558|947,558|947,26,20,3,3,0.1567
est_000004,established,3,822|1099|1610,1099|1610,26,21,4,1,0.2574
est_000005,established,2,1045|1442,1045|1442,24,10,1,13,0.5162
est_000006,established,3,214|414|1554,214|414|1554,23,20,2,1,0.7351
est_000007,established,2,542|1442,542|1442,22,11,6,5,0.842
est_000008,established,3,413|1446|1611,1446|1611,21,13,5,3,0.464
est_000009,established,2,294|1442,1442,20,15,2,3,0.8326
est_000010,established,2,753|1227,753|1227,18,16,1,1,0.1972
est_000011,established,2,777|1177,777|1177,18,12,0,6,0.33
est_000012,established,2,866|1376,866|1376,18,15,0,3,0.7121
est_000013,established,2,698|824,698|824,17,12,2,3,0.0252
est_000014,established,2,749|1349,749,17,9,2,6,0.1625
est_000015,established,2,935|1197,935|1197,17,12,2,3,0.4042
est_000016,established,2,1059|1502,1059|1502,17,12,3,2,0.2608
est_000017,established,2,1174|1424,1174|1424,17,11,5,1,0.21
est_000018,established,3,554|952|1008,554|952,16,11,3,2,0.1651
est_000019,established,2,668|1639,668|1639,16,10,2,4,0.4172
est_000020,established,3,819|968|1655,819|968,16,13,1,2,0.2376
est_000021,established,2,1007|1166,1007|1166,16,13,1,2,0.4767
est_000022,established,2,535|1048,1048,16,14,0,2,0.2276
est_000023,established,2,19|1442,1442,16,14,0,2,0.851
est_000024,established,2,184|346,184|346,15,8,3,4,0.1225
est_000025,established,2,214|1554,214|1554,15,14,1,0,0.6454
est_000026,established,2,864|1174,864|1174,15,8,2,5,0.2908
est_000027,established,2,866|1022,866,15,13,1,1,0.6949
est_000028,established,2,1095|1502,1095|1502,15,12,1,2,0.5725
est_000029,established,2,1254|1415,1254,15,10,0,5,0.609
est_000030,established,2,118|701,118|701,14,8,3,3,0.5546
est_000031,established,3,780|1023|1038,780,14,7,3,4,0.4604
est_000032,established,2,799|1543,799|1543,14,9,2,3,0.88
est_000033,established,2,509|1062,1062,14,10,1,3,0.468
est_000034,established,2,1095|1487,1095|1487,14,9,2,3,0.0698
est_000035,established,2,1394|1540,1394|1540,14,11,1,2,0.4806
est_000036,established,4,38|382|503|558,38|382|503,13,8,1,4,0.2664
est_000037,established,4,40|649|1168|1488,40|649|1168|1488,13,7,2,4,0.156
est_000038,established,2,244|445,244|445,13,10,0,3,0.6406
est_000039,established,2,544|830,544|830,13,10,0,3,0.1326
est_000040,established,2,341|963,341|963,13,8,1,4,0.3682
est_000041,established,2,1099|1610,1099|1610,13,8,2,3,0.07
est_000042,established,2,1197|1339,1197,13,11,0,2,0.4873
est_000043,established,2,497|1330,497|1330,13,7,3,3,0.5058
est_000044,established,2,1257|1424,1424,13,5,0,8,0.8429
est_000045,established,2,38|949,38|949,12,6,4,2,0.8055
est_000046,established,2,99|1410,99|1410,12,5,3,4,0.4714
est_000047,established,2,280|1177,280|1177,12,6,2,4,0.5425
est_000048,established,2,315|1517,315,12,8,1,3,0.5248
est_000049,established,3,230|382|1073,230|382|1073,12,5,0,7,0.7374
est_000050,established,3,530|884|1663,530|1663,12,5,2,5,0.0434
est_000051,established,2,545|866,545|866,12,8,0,4,0.5721
est_000052,established,2,807|1481,807|1481,12,8,2,2,0.6983
est_000053,established,2,875|1012,875|1012,12,10,1,1,0.3536
est_000054,established,2,1446|1611,1446|1611,12,5,1,6,0.2684
est_000055,established,2,794|1556,1556,12,8,1,3,0.5557
est_000056,established,2,285|807,285|807,11,7,1,3,0.7221
est_000057,established,2,324|1033,324|1033,11,6,3,2,0.8998
est_000058,established,2,451|1410,451|1410,11,10,0,1,0.0147
est_000059,established,2,666|729,666,11,5,3,3,0.9799
est_000060,established,2,786|1502,786|1502,11,9,1,1,0.4997
est_000061,established,2,134|1280,1280,11,5,2,4,0.6889
est_000062,established,4,206|999|1305|1502,1305|1502,11,6,3,2,0.7717
est_000063,established,2,1021|1596,1596,11,7,1,3,0.9314
est_000064,established,3,38|701|1129,38|701,10,6,0,4,0.5646
est_000065,established,2,68|1624,68|1624,10,7,0,3,0.9465
est_000066,established,3,114|125|1242,114|1242,10,5,1,4,0.8056
est_000067,established,2,125|1294,125|1294,10,8,1,1,0.3582
est_000068,established,2,125|1485,125|1485,10,7,1,2,0.7616
est_000069,established,4,65|154|216|257,65|154|216|257,10,9,0,1,0.0567
est_000070,established,3,289|571|1114,289|571,10,5,2,3,0.5761
est_000071,established,2,303|1437,303|1437,10,8,0,2,0.1293
est_000072,established,2,321|1093,321|1093,10,4,0,6,0.4206
est_000073,established,2,508|1284,508|1284,10,4,2,4,0.871
est_000074,established,2,714|733,714|733,10,8,1,1,0.3683
est_000075,established,3,781|843|1000,781|1000,10,6,1,3,0.1211
est_000076,established,2,816|1481,816|1481,10,7,2,1,0.4893
est_000077,established,2,909|1182,909|1182,10,8,0,2,0.6748
est_000078,established,3,367|844|956,956,10,8,0,2,0.1426
est_000079,established,5,186|1043|1218|1342|1358,1218|1342,10,7,1,2,0.3777
est_000080,established,2,1227|1603,1227,10,10,0,0,0.91
est_000081,established,4,115|185|868|1335,1335,10,6,2,2,0.5136
est_000082,established,2,1380|1394,1380|1394,10,5,1,4,0.3329
est_000083,established,2,368|1424,1424,10,5,2,3,0.8748
est_000084,established,2,701|1465,1465,10,7,0,3,0.8045
est_000085,established,2,797|1648,1648,10,6,2,2,0.4945
est_000086,established,4,28|40|459|1104,28|459|1104,9,6,2,1,0.1847
est_000087,established,2,38|969,38|969,9,7,1,1,0.4041
est_000088,established,2,125|280,125|280,9,6,1,2,0.3637
est_000089,established,2,339|1244,339,9,6,1,2,0.4344
est_000090,established,2,370|1164,370,9,6,2,1,0.6365
est_000091,established,3,370|701|1164,370|701|1164,9,4,1,4,0.6034
est_000092,established,2,406|1103,406|1103,9,7,2,0,0.7769
est_000093,established,2,414|1554,414|1554,9,8,1,0,0.7682
est_000094,established,3,559|726|1129,559|726|1129,9,7,1,1,0.6123
est_000095,established,2,578|1362,578|1362,9,3,2,4,0.8397
est_000096,established,2,819|968,819|968,9,8,1,0,0.0422
