group_id,venue_id,poi_idx,span_min,size,start_time,end_time,members
0,3fd66200f964a52000e71ee3,0,44,2,2012-05-04 22:46:00+00:00,2012-05-04 23:30:00+00:00,663|669
1,3fd66200f964a52000e71ee3,0,60,2,2012-12-02 04:17:00+00:00,2012-12-02 05:17:00+00:00,196|402
2,3fd66200f964a52000e71ee3,0,23,2,2013-01-13 00:49:00+00:00,2013-01-13 01:12:00+00:00,998|1166
3,3fd66200f964a52003e71ee3,3,0,2,2012-05-04 02:34:00+00:00,2012-05-04 02:34:00+00:00,633|1154
4,3fd66200f964a52004e41ee3,5,59,3,2012-05-09 00:15:00+00:00,2012-05-09 01:14:00+00:00,0|158|1427
5,3fd66200f964a52004e41ee3,5,1,2,2012-07-04 02:42:00+00:00,2012-07-04 02:43:00+00:00,149|1555
6,3fd66200f964a52005eb1ee3,11,59,3,2012-04-19 00:35:00+00:00,2012-04-19 01:34:00+00:00,407|1253|1456
7,3fd66200f964a52005eb1ee3,11,17,2,2012-05-14 22:47:00+00:00,2012-05-14 23:04:00+00:00,307|1117
8,3fd66200f964a52005eb1ee3,11,41,2,2012-12-09 00:33:00+00:00,2012-12-09 01:14:00+00:00,407|754
9,3fd66200f964a52005eb1ee3,11,6,2,2013-01-12 23:46:00+00:00,2013-01-12 23:52:00+00:00,269|1533
10,3fd66200f964a52008f11ee3,18,6,2,2012-05-05 20:58:00+00:00,2012-05-05 21:04:00+00:00,606|690
11,3fd66200f964a52008f11ee3,18,33,2,2012-05-12 21:14:00+00:00,2012-05-12 21:47:00+00:00,1023|1121
12,3fd66200f964a52008f11ee3,18,4,3,2012-05-19 00:37:00+00:00,2012-05-19 00:41:00+00:00,25|661|703
13,3fd66200f964a52008f11ee3,18,24,2,2012-06-16 19:50:00+00:00,2012-06-16 20:14:00+00:00,1082|1313
14,3fd66200f964a5200ae51ee3,20,8,3,2012-05-02 04:50:00+00:00,2012-05-02 04:58:00+00:00,56|255|1427
15,3fd66200f964a5200ae51ee3,20,4,2,2012-06-11 04:42:00+00:00,2012-06-11 04:46:00+00:00,47|255
16,3fd66200f964a5200ae61ee3,21,44,2,2012-06-18 00:19:00+00:00,2012-06-18 01:03:00+00:00,661|703
17,3fd66200f964a5200ae71ee3,22,18,2,2012-10-28 01:43:00+00:00,2012-10-28 02:01:00+00:00,1277|1570
18,3fd66200f964a5200ce41ee3,25,44,2,2012-06-27 02:47:00+00:00,2012-06-27 03:31:00+00:00,1031|1122
19,3fd66200f964a5200ce61ee3,26,5,2,2012-05-05 23:24:00+00:00,2012-05-05 23:29:00+00:00,0|911
20,3fd66200f964a5200de71ee3,28,52,2,2012-07-28 23:50:00+00:00,2012-07-29 00:42:00+00:00,703|834
21,3fd66200f964a5200fe41ee3,32,19,2,2012-04-10 01:50:00+00:00,2012-04-10 02:09:00+00:00,371|750
22,3fd66200f964a5200fe41ee3,32,20,2,2012-07-03 23:53:00+00:00,2012-07-04 00:13:00+00:00,318|335
23,3fd66200f964a5200fe41ee3,32,18,2,2012-10-27 18:58:00+00:00,2012-10-27 19:16:00+00:00,613|1165
24,3fd66200f964a5200fe41ee3,32,48,2,2013-01-25 05:39:00+00:00,2013-01-25 06:27:00+00:00,512|1547
25,3fd66200f964a52012e41ee3,38,1,2,2012-04-14 04:07:00+00:00,2012-04-14 04:08:00+00:00,441|1321
26,3fd66200f964a52012e41ee3,38,3,2,2012-04-28 06:21:00+00:00,2012-04-28 06:24:00+00:00,441|1321
27,3fd66200f964a52014eb1ee3,41,59,2,2012-05-14 23:08:00+00:00,2012-05-15 00:07:00+00:00,1411|1603
28,3fd66200f964a52014eb1ee3,41,0,2,2012-06-18 01:10:00+00:00,2012-06-18 01:10:00+00:00,269|375
29,3fd66200f964a52014eb1ee3,41,37,3,2012-10-18 23:51:00+00:00,2012-10-19 00:28:00+00:00,444|567|843
30,3fd66200f964a52014eb1ee3,41,25,2,2012-11-13 00:41:00+00:00,2012-11-13 01:06:00+00:00,151|380
31,3fd66200f964a52014eb1ee3,41,49,3,2012-11-22 03:51:00+00:00,2012-11-22 04:40:00+00:00,783|1200|1629
32,3fd66200f964a52014eb1ee3,41,10,2,2013-02-17 04:20:00+00:00,2013-02-17 04:30:00+00:00,896|1200
33,3fd66200f964a52016e51ee3,44,15,2,2012-06-10 00:09:00+00:00,2012-06-10 00:24:00+00:00,512|1547
34,3fd66200f964a52018e51ee3,48,3,2,2012-05-02 06:23:00+00:00,2012-05-02 06:26:00+00:00,47|255
35,3fd66200f964a52019eb1ee3,51,10,2,2012-06-12 23:23:00+00:00,2012-06-12 23:33:00+00:00,0|313
36,3fd66200f964a52020e71ee3,62,12,2,2012-04-03 22:59:00+00:00,2012-04-03 23:11:00+00:00,1327|1453
37,3fd66200f964a52020e71ee3,62,5,2,2012-04-12 01:43:00+00:00,2012-04-12 01:48:00+00:00,1038|1589
38,3fd66200f964a52020e71ee3,62,55,3,2012-04-13 22:00:00+00:00,2012-04-13 22:55:00+00:00,39|1327|1453
39,3fd66200f964a52020e71ee3,62,53,2,2012-05-17 00:52:00+00:00,2012-05-17 01:45:00+00:00,1327|1453
40,3fd66200f964a52020e71ee3,62,2,2,2012-05-18 23:45:00+00:00,2012-05-18 23:47:00+00:00,1327|1453
41,3fd66200f964a52020e81ee3,63,18,3,2012-04-09 23:11:00+00:00,2012-04-09 23:29:00+00:00,380|564|982
42,3fd66200f964a52020e81ee3,63,43,3,2012-04-28 23:59:00+00:00,2012-04-29 00:42:00+00:00,119|293|655
43,3fd66200f964a52020e81ee3,63,45,2,2012-05-05 00:09:00+00:00,2012-05-05 00:54:00+00:00,579|691
44,3fd66200f964a52020e81ee3,63,37,2,2012-05-05 00:54:00+00:00,2012-05-05 01:31:00+00:00,663|691
45,3fd66200f964a52020e81ee3,63,43,2,2012-05-23 23:51:00+00:00,2012-05-24 00:34:00+00:00,392|418
46,3fd66200f964a52020e81ee3,63,40,4,2012-06-16 22:50:00+00:00,2012-06-16 23:30:00+00:00,156|339|883|1303
47,3fd66200f964a52020e81ee3,63,5,2,2012-06-17 02:50:00+00:00,2012-06-17 02:55:00+00:00,597|611
48,3fd66200f964a52020e81ee3,63,15,2,2012-07-02 23:36:00+00:00,2012-07-02 23:51:00+00:00,1284|1587
49,3fd66200f964a52021e41ee3,64,58,2,2012-04-08 01:56:00+00:00,2012-04-08 02:54:00+00:00,858|1238
50,3fd66200f964a52022e41ee3,66,3,2,2012-04-14 01:56:00+00:00,2012-04-14 01:59:00+00:00,1246|1584
51,3fd66200f964a52022e51ee3,67,5,3,2012-04-29 03:30:00+00:00,2012-04-29 03:35:00+00:00,97|1206|1288
52,3fd66200f964a52023e41ee3,68,43,2,2012-05-11 22:22:00+00:00,2012-05-11 23:05:00+00:00,663|1498
53,3fd66200f964a52023e41ee3,68,19,2,2012-05-12 18:19:00+00:00,2012-05-12 18:38:00+00:00,458|484
54,3fd66200f964a52023e41ee3,68,11,2,2012-05-28 17:57:00+00:00,2012-05-28 18:08:00+00:00,186|990
55,3fd66200f964a52023e41ee3,68,27,3,2012-05-28 21:59:00+00:00,2012-05-28 22:26:00+00:00,254|279|905
56,3fd66200f964a52023e41ee3,68,40,2,2012-06-16 23:37:00+00:00,2012-06-17 00:17:00+00:00,675|1031
57,3fd66200f964a52023e41ee3,68,33,2,2012-08-05 23:15:00+00:00,2012-08-05 23:48:00+00:00,6|1619
58,3fd66200f964a52023e81ee3,69,43,2,2012-07-09 14:42:00+00:00,2012-07-09 15:25:00+00:00,277|858
59,3fd66200f964a52023e81ee3,69,47,2,2013-02-07 16:12:00+00:00,2013-02-07 16:59:00+00:00,381|1591
