from_group,to_group,from_poi,to_poi,gap_min,n_shared,jaccard,members
10,195,18,327,183,2,1.0,606|690
2910,34,3778,48,182,2,1.0,47|255
1448,17,815,22,221,2,1.0,1277|1570
2873,25,3725,38,11,2,1.0,441|1321
2997,26,4180,38,144,2,1.0,441|1321
1598,1930,1079,1392,205,2,1.0,151|448
2056,1899,1621,1342,75,2,1.0,151|448
2854,1519,3610,912,169,2,1.0,151|448
39,2337,62,2258,125,2,1.0,1327|1453
2381,40,2427,62,101,2,1.0,1327|1453
3257,37,4829,62,183,2,0.6667,1038|1589
1146,2417,735,2463,70,2,0.6667,97|1206
572,3221,512,4703,40,2,1.0,650|1043
2674,3211,2810,4690,120,2,1.0,846|1585
3445,3554,5447,5746,65,2,1.0,846|1585
3554,2927,5746,3818,191,2,1.0,846|1585
108,419,92,439,72,2,1.0,1249|1487
2104,108,1708,92,104,2,1.0,1249|1487
2104,419,1708,439,177,2,1.0,1249|1487
2635,2693,2659,2979,60,2,1.0,184|1621
2816,3450,3522,5483,38,2,1.0,804|1282
3309,2816,4984,3522,44,2,1.0,804|1282
3309,3450,4984,5483,98,2,1.0,804|1282
2078,2985,1652,4050,6,2,1.0,1395|1534
1694,127,1123,150,107,2,1.0,1100|1546
137,2882,185,3759,79,2,1.0,616|1088
2051,1932,1604,1405,23,3,0.75,1|616|1088
1940,1931,1427,1405,92,2,1.0,616|1626
1940,2050,1427,1604,70,2,1.0,616|1626
2050,1931,1604,1405,1,2,1.0,616|1626
1559,141,1038,197,200,2,0.6667,123|1350
3422,3242,5403,4788,148,2,0.6667,239|1389
153,2293,249,2061,59,2,1.0,1133|1479
3400,630,5361,569,47,2,0.6667,685|1146
2877,397,3746,430,87,2,0.5,511|1136
170,1702,283,1131,151,2,0.6667,130|560
3562,181,5758,305,81,2,0.5,134|329
189,2291,306,2052,71,2,1.0,736|737
2256,3346,1983,5133,25,2,1.0,736|737
2259,3051,1983,4352,52,2,1.0,736|737
2354,3031,2329,4322,149,2,1.0,736|737
2954,3049,3963,4352,25,2,1.0,736|737
2977,2691,4034,2920,160,2,1.0,736|737
3031,2694,4322,2980,173,2,1.0,736|737
3360,2259,5199,1983,214,2,1.0,736|737
1537,2101,974,1705,95,2,1.0,711|782
1895,3193,1325,4622,85,2,1.0,711|782
3089,1812,4454,1229,48,2,1.0,128|1159
241,371,369,379,181,2,0.5,601|965
2569,3285,2542,4892,119,2,1.0,1341|1481
1068,2060,666,1633,44,2,1.0,1221|1415
2858,1871,3640,1287,7,2,0.6667,1372|1386
2842,2945,3568,3931,3,2,0.6667,1256|1472
1803,3057,1204,4362,1,2,1.0,1347|1493
3168,3189,4546,4583,123,2,1.0,1223|1457
3413,3189,5379,4583,122,2,1.0,1223|1457
3477,3189,5590,4583,122,2,1.0,1223|1457
3493,3189,5643,4583,121,2,1.0,1223|1457
2765,2365,3387,2365,3,2,0.6667,1167|1251
2765,2930,3387,3837,3,2,1.0,1167|1251
1825,2371,1242,2384,200,2,1.0,566|608
3452,3088,5493,4441,78,2,1.0,566|608
2987,1501,4063,893,86,2,1.0,1219|1661
2856,2109,3628,1720,29,2,1.0,1483|1523
