u1,u2
2105,5570
5338,5570
1363,2678
235,5571
1365,1706
1365,1875
1365,2028
1365,6315
89,1365
826,1365
1083,1365
1232,1365
1270,1365
85,5573
1366,1377
592,1367
5574,5776
1574,5574
1369,6472
1369,4198
2258,5577
5238,5577
5578,5684
5579,5594
1459,5579
1527,5579
1590,5579
1665,5579
5579,6099
2044,5579
5579,6450
5579,6472
5579,6819
3261,5579
3544,5579
3996,5579
4029,5579
4362,5579
4796,5579
4839,5579
963,5579
5362,5579
1370,1464
1370,1535
1370,1892
1371,1829
1371,3948
1371,4428
239,5582
3471,5584
4721,5584
1372,1773
1372,2393
1372,3165
325,1372
1372,3935
53,1372
992,1372
1124,1372
149,1372
161,1372
2481,5586
3318,5586
1374,1654
1374,1785
1374,2472
1374,2735
303,1374
1374,4424
747,1374
1772,5588
1936,5588
1998,5588
2631,5588
0,5588
380,5588
400,5588
2,5588
4963,5588
1206,5588
507,1376
697,1376
1377,1381
1377,1564
1377,1619
1377,6841
1377,2889
1377,3268
1377,4060
4937,5589
1290,5589
165,1771
165,1936
165,1998
165,277
165,556
165,877
165,1214
1379,3670
1524,5590
1381,5607
1381,1564
1381,6605
1381,2840
288,1381
1381,3375
1381,3511
411,1381
544,1381
546,1381
1381,4594
757,1381
1381,4774
908,1381
931,1381
1032,1381
1381,5323
1183,1381
1381,5362
1236,1381
1326,1381
1382,2330
1382,2971
1382,3195
1382,4637
1107,1383
1484,5594
1721,5594
5594,5952
1802,5594
5594,6067
5594,6111
2137,5594
2239,5594
2352,5594
3034,5594
399,5594
708,5594
4796,5594
133,5594
5515,5594
1384,5651
1384,5965
213,1384
1384,4587
782,1384
1929,5598
5598,6647
2577,5598
3498,5598
442,5598
454,5598
605,5598
697,5598
778,5598
793,5598
865,5598
5190,5598
1059,5598
1292,5598
1735,5599
5599,5962
3498,5599
3966,5599
4824,5599
865,1390
1491,5600
130,5600
1393,2183
1393,4392
2429,5602
93,5602
697,5602
5603,6563
1913,5604
5522,5604
1395,3039
1395,4410
3165,5606
3034,5607
1396,6231
1398,5979
5612,5738
2274,5612
2719,5612
1464,5613
1399,1650
3053,5614
4273,5614
4916,5614
1401,1426
1401,2001
1401,4022
1012,5618
1407,1660
1407,2472
1407,4400
747,1407
1409,5675
1409,6087
285,1409
442,1409
1409,4174
1409,5069
1059,1409
2465,5624
3067,5626
3456,5628
822,5628
849,5628
1412,1996
1412,2456
5630,6614
2611,5630
5630,6847
2927,5630
3004,5630
3657,5630
3712,5630
3774,5630
4093,5630
4556,5630
4884,5630
1323,5630
1413,4113
1414,5044
167,6519
167,6802
1415,1527
1415,2342
1415,4362
1418,1460
1418,4400
187,1419
1419,2262
764,1419
113,1419
1423,3528
5637,6048
551,5638
3650,5639
168,173
168,1936
168,2631
168,3372
168,380
168,4163
168,715
168,5333
1426,2001
1426,6519
1426,6660
1426,3294
1426,4394
2498,5641
283,5641
4200,5641
835,5641
1428,6239
1428,6353
1428,2349
1428,3854
1429,5355
1430,4135
2542,5646
4875,5646
1432,5893
1432,2071
1432,3498
1432,4037
1006,1433
282,5650
1436,4485
697,1436
1436,5069
1227,1436
5651,5965
3401,5651
1125,1437
226,1438
285,1438
22,1670
22,1706
22,2542
22,3511
22,3770
22,530
22,71
22,76
22,664
22,665
22,679
22,117
1445,1921
1445,6523
237,1445
1445,3008
1445,3212
1445,3523
343,1445
1445,4040
697,1445
799,1445
1445,4998
944,1445
1000,1445
146,1445
1217,1445
1246,1445
1448,1710
2475,5660
2652,5660
786,1450
5004,5661
3570,5663
4045,5663
