u1,u2
5570,6804
1363,6410
1363,5072
1365,1664
321,1365
1365,3493
406,1365
452,1365
1365,4531
797,1365
1365,5112
5572,6869
3755,5573
697,5573
947,5573
1366,1564
1367,6454
1368,3806
1368,3902
947,1368
3517,5574
1369,1430
1369,2222
1369,4035
697,1369
1137,1369
2874,5577
5578,5763
4140,5578
1381,5579
5579,6111
5579,6318
5579,6387
2117,5580
18,21
20,21
36,1370
1075,1370
150,1370
198,1371
1371,2082
1371,2198
298,1371
1371,3711
1371,3739
462,1371
603,1371
1371,4784
1137,1371
1205,1371
5582,5833
449,5582
2110,5584
650,5584
1372,1494
1372,1614
1372,1703
498,1372
822,1372
1372,5302
1952,5586
2222,5586
111,5586
894,1374
1185,1374
1494,5588
5588,5763
5588,6072
1999,5588
5588,6824
3355,5588
3750,5588
449,5588
4049,5588
4125,5588
4361,5588
5523,5588
1376,4741
1377,1708
165,173
165,1881
165,217
165,410
165,4729
165,1155
165,1178
1379,2476
32,1379
94,1379
697,1380
1380,5497
1381,1527
172,1381
1381,1592
1381,1643
1381,5898
1381,1752
189,1381
200,1381
1381,6225
1381,2024
1381,2056
1381,2066
1381,2075
1381,2116
1381,6387
1381,2195
1381,6439
1381,2214
1381,6447
1381,6593
1381,2421
1381,2466
1381,2573
1381,2644
1381,2772
1381,6819
1381,2859
1381,2919
1381,2999
311,1381
1381,3396
1381,3400
1381,3616
1381,3677
1381,3780
1381,3919
460,1381
1381,3996
1381,4132
562,1381
1381,4362
86,1381
634,1381
90,1381
655,1381
667,1381
770,1381
828,1381
112,1381
1381,4918
1381,4996
1381,5033
963,1381
1199,1381
1205,1381
1240,1381
5533,5592
5593,5749
5593,6404
1382,1950
1382,2752
1382,3615
1383,4410
1811,5594
166,5822
1873,5596
5596,6763
871,5596
1384,5700
1384,1869
1384,2065
1384,2163
1384,6433
283,1384
1384,2941
1384,4037
1384,4258
76,1384
963,1384
1384,5353
1222,1384
1251,1384
5597,6177
4588,5597
1385,3769
22,5598
1773,5598
2183,5598
2484,5598
2719,5598
334,5598
543,5598
4445,5598
4628,5598
815,5598
111,5598
4911,5598
1660,5599
195,5599
2317,5599
3102,5599
3452,5599
370,5599
3931,5599
3941,5599
579,5599
4410,5599
838,5599
1107,5599
1388,5763
1388,1863
781,1388
611,1389
1390,3422
635,1391
1068,1391
1391,5255
168,5600
1392,1860
1392,2781
1393,2115
1393,2416
635,1393
119,1393
1049,5601
3860,5604
1394,5181
499,1395
5606,6222
1397,3114
1398,2571
1398,3570
1398,5036
4087,5610
3369,5611
559,5612
743,5612
19,5612
2758,5614
3189,5614
4321,5614
1400,2596
535,1400
1401,2137
1401,4482
701,1401
979,1401
1403,1832
1405,2159
448,5616
1737,5617
5617,6212
2236,5617
2654,5618
1406,1448
1406,3493
1407,1460
1407,3700
417,1407
611,1407
95,1407
694,1407
4547,5619
4874,5620
923,5620
729,5621
1409,2185
1409,2626
1409,2748
370,1409
1409,4445
1409,4489
93,1409
1409,4530
9,1409
719,1409
822,1409
865,1409
4,1409
1409,5258
1228,1409
161,1409
3570,5622
4263,5622
4912,5622
5623,6132
4019,5623
5022,5624
1410,5997
79,1410
5625,5720
3288,5625
5478,5626
5628,5641
3812,5628
4200,5628
5293,5628
1138,5628
1980,5629
4135,5629
737,5629
2618,5630
2706,5630
1413,2690
4555,5631
1414,3984
167,2255
1415,6633
1415,4623
1415,4765
1416,2839
299,1416
1325,1416
1774,5632
5632,6400
1419,1727
1420,2063
1421,5706
1421,2193
1421,3184
5633,6169
2114,5634
3957,5637
4132,5638
5528,5638
1424,1565
1425,3078
1425,3670
173,5639
5639,5929
89,5639
5344,5639
168,1542
168,204
168,324
168,410
168,4545
168,998
1426,2065
1426,2137
1426,2919
3606,5641
1138,5641
1170,5641
1427,2120
304,1427
503,1427
1428,5892
1428,6001
1428,1821
1428,1850
1428,1946
1428,1997
1428,2788
1428,2999
1428,3112
1428,3192
341,1428
1428,3678
1428,3996
562,1428
759,1428
1009,1428
1428,5442
5643,5720
5643,5974
4381,5643
1429,2807
1430,2798
279,1430
321,1430
1430,3409
487,1430
653,1430
697,1430
1430,5459
2176,5644
2697,5645
1431,5421
5646,6413
1432,3688
1432,4746
1433,4441
5650,6378
1436,2054
1436,6525
1436,3052
1436,4045
555,1436
752,1436
1116,1436
2400,5651
4116,5651
5302,5651
1362,5651
399,1437
1438,1577
1439,1588
1439,2393
1182,1439
1440,1670
968,1442
3752,5655
5656,6133
5355,5656
1443,3727
22,1484
22,1561
22,1665
22,1877
22,201
22,3721
22,3902
22,462
22,3993
22,553
22,555
22,89
22,4496
22,93
22,765
22,848
22,5042
22,5084
22,992
22,5112
22,1083
22,5248
22,1097
22,1124
22,1211
22,149
22,152
22,1277
3527,5658
202,5659
1445,1506
1445,1984
1445,2179
37,1445
449,1445
637,1445
741,1445
769,1445
865,1445
985,1445
1446,3002
321,1448
1448,3793
487,1448
908,1448
986,1448
1448,5535
3685,5660
4045,5660
4918,5660
2413,5661
2686,5661
2901,5663
2924,5665
3768,5665
5097,5665
1015,5666
1452,4151
1452,5404
108,5669
1453,5424
1455,3371
1455,4454
1238,1455
1456,1460
1457,4956
763,1458
5674,6042
2183,5674
305,5674
1459,6387
247,1459
1459,4482
963,1459
983,1459
1059,1459
1280,1459
1459,5536
2575,5675
3005,5675
3475,5675
697,5675
781,5675
1460,1653
1460,1695
1460,1768
1460,1807
1460,6119
1460,1981
1460,6220
1460,1991
1460,6369
1460,2171
1460,2224
1460,2367
1460,2429
1460,2622
1460,2749
1460,2866
1460,3008
1460,3030
1460,3078
1460,3128
1460,3553
1460,3704
406,1460
1460,3904
1460,4055
1460,4156
553,1460
1460,4321
1460,4412
662,1460
677,1460
1460,4583
694,1460
701,1460
763,1460
764,1460
798,1460
1460,4822
891,1460
1135,1460
1186,1460
1460,5360
1296,1460
1300,1460
1332,1460
5290,5676
5678,6841
1462,2261
1462,5460
2961,5679
5386,5680
780,1463
3596,5681
92,5681
3595,5682
170,1519
170,517
170,4337
170,702
4,170
170,1144
1465,3412
1333,1465
1512,5684
5684,6159
2071,5684
3459,5684
3916,5684
4009,5684
4748,5684
1276,5684
2719,5685
463,5686
5687,5815
5687,5934
5687,6221
5688,6269
325,5688
3763,5688
192,1467
1467,2025
1467,2126
367,1467
1020,1467
2750,5689
1469,2683
312,1469
1469,4683
3005,5690
3668,5691
1470,1542
1470,2400
1470,3001
1470,3700
449,1470
598,1470
634,1470
871,1470
1062,1470
1185,1470
1471,1813
204,1473
209,1473
1473,3005
697,1473
778,1473
111,1473
865,1473
871,1473
140,1473
1170,1473
1474,2183
1474,2811
1474,4072
828,1474
1059,1474
2462,5695
5696,5934
1475,2272
1475,3543
1476,3873
734,1476
1477,6121
1478,2095
1478,3955
1478,4242
1478,4937
1478,5224
1237,1478
5697,6355
1146,1479
1480,1726
1480,2002
1480,2606
1481,6396
1482,4424
1484,1811
1484,3246
1484,3575
690,1484
1484,4765
1484,4918
1484,5053
1485,2868
1486,5757
1486,1805
1708,5699
5700,5953
5700,6387
5700,6517
2985,5700
3498,5700
3996,5700
