u1,u2,n_groups,n_venues,weight_idf
1304,6680,120,70,39.223075
5298,5863,38,14,26.171706
99,290,36,13,22.148487
4299,6035,22,16,18.101161
1611,6333,36,28,12.130256
5435,5741,20,13,10.602794
4878,6451,12,5,10.373305
3668,5582,10,1,9.102392
157,674,10,3,8.30971
2853,2854,18,11,8.263026
3509,5442,22,21,8.012991
2206,2366,12,10,7.765016
1401,5055,13,1,7.255438
5084,6422,18,17,6.620598
5843,6646,9,5,6.305601
4797,5090,9,2,6.040063
594,1729,16,13,5.677582
896,1910,16,1,5.53562
2786,4148,14,13,5.473433
2563,4025,16,16,5.459605
808,5344,27,1,5.440428
2976,4579,13,10,5.194121
515,524,16,12,5.095672
2464,2578,8,1,4.970679
4367,6544,8,8,4.92799
3649,5366,15,11,4.836018
2597,6807,7,6,4.767626
3647,4505,9,7,4.683427
1873,3392,5,1,4.551196
1697,5280,8,6,4.466061
77,2921,8,2,4.439641
6676,6807,6,1,4.328085
766,6541,8,5,4.243824
1246,4040,11,11,4.042592
2718,6448,8,4,3.952481
3230,6486,10,10,3.827656
241,3589,6,4,3.816296
2667,4655,7,2,3.782958
5496,5559,9,6,3.764637
3098,6421,9,8,3.745947
615,3156,4,1,3.640957
3180,6134,7,1,3.597288
1037,1648,5,2,3.395579
5313,5813,5,3,3.33369
4655,6842,4,2,3.165012
3514,4506,4,3,3.14775
3906,4551,6,5,3.137841
2731,6136,6,2,2.9367
2771,3027,8,7,2.90939
962,1599,4,2,2.88539
1149,2495,6,1,2.88539
3052,3224,6,2,2.882875
3850,6245,5,5,2.801207
2874,5577,7,7,2.790618
3721,4167,5,1,2.790553
4208,5492,9,9,2.788416
3544,6099,7,6,2.742794
2048,3292,6,6,2.696588
2356,2820,6,6,2.695376
3294,4394,8,6,2.685294
2718,3636,6,6,2.652817
5059,6495,9,6,2.645414
1078,2602,7,7,2.620537
3654,3892,6,4,2.602695
4107,4297,7,7,2.602333
939,1880,9,8,2.454614
1968,4413,7,7,2.436134
1910,4318,7,1,2.421834
4044,6862,8,8,2.413935
3406,4453,4,3,2.403452
951,5084,9,1,2.392853
753,973,7,4,2.384594
3673,6039,7,7,2.366204
4016,6509,5,5,2.339811
480,866,9,8,2.328634
597,5274,5,4,2.28671
5890,6704,5,4,2.279029
2418,6607,6,6,2.271086
328,1243,8,6,2.261421
1808,1962,6,5,2.22929
6058,6062,7,5,2.227637
2909,3291,7,7,2.22316
5367,5988,6,6,2.220191
1231,3520,3,2,2.21035
634,2190,4,4,2.207445
372,4697,8,8,2.206414
5210,6075,4,3,2.178933
962,6363,3,1,2.164043
3416,3485,5,5,2.135214
63,590,4,4,2.101177
3686,4207,5,1,2.085162
4186,5217,6,5,2.085032
1599,3077,3,2,2.06403
4232,6305,5,5,2.026839
1329,2541,6,6,2.024589
808,843,13,1,2.006634
4946,6860,8,8,1.998402
3255,3954,8,5,1.978296
3712,4844,4,4,1.961331
1037,1621,4,1,1.923593
2107,4014,6,6,1.910076
3532,4634,5,4,1.899431
6078,6418,3,2,1.897815
5582,5833,3,1,1.864005
2465,6310,5,5,1.84609
3609,3771,2,2,1.820478
1934,6806,2,1,1.820478
369,2405,2,1,1.820478
3890,6170,2,1,1.820478
3043,3106,2,1,1.820478
196,1578,2,1,1.820478
618,973,4,4,1.817346
3045,6621,4,4,1.814062
2404,3874,4,2,1.795651
5593,6404,4,4,1.773575
2879,4122,8,1,1.769211
4001,6703,6,6,1.737132
1910,2464,5,1,1.729881
2904,3455,3,3,1.716144
2665,4443,6,5,1.707698
753,6058,5,2,1.700348
2926,4553,4,3,1.695926
1109,1110,4,4,1.695211
5151,5179,5,5,1.693942
963,6099,4,4,1.685476
1983,6509,4,4,1.68477
1586,4354,3,1,1.674332
2751,3578,4,4,1.674164
5834,6227,5,5,1.635513
4557,6552,2,2,1.631587
979,6037,2,2,1.631587
1910,6310,5,3,1.630441
673,791,4,4,1.582794
753,3169,4,4,1.562752
3986,4034,4,4,1.548683
2879,3377,7,1,1.54806
2124,2879,7,1,1.54806
475,1910,4,3,1.536943
3113,5103,3,3,1.475695
168,998,4,4,1.469091
1647,4626,4,4,1.455874
2410,4188,4,4,1.451094
1788,1917,2,1,1.442695
6078,6744,2,2,1.442695
5700,5953,2,1,1.442695
2371,6183,3,1,1.442695
2302,5860,2,1,1.442695
289,346,3,3,1.429091
3,4188,4,4,1.389284
1983,4016,3,3,1.384668
2782,2834,3,3,1.373318
4915,6008,4,4,1.366673
739,6706,3,3,1.366186
6272,6584,3,2,1.365359
2318,3488,6,2,1.356905
753,2643,3,3,1.353169
2506,6327,3,3,1.35305
4029,6450,4,4,1.339052
475,5405,4,4,1.338839
2124,4122,6,1,1.326909
2124,3377,6,1,1.326909
430,1098,3,3,1.32247
66,6123,3,3,1.31557
2952,6153,5,5,1.30903
3508,5080,3,2,1.307773
1338,5628,3,1,1.302883
4303,6044,4,4,1.283252
3651,4557,3,3,1.271265
2709,3172,3,2,1.268359
2486,4750,3,3,1.268337
0,1206,4,3,1.268176
4029,6099,3,3,1.268149
1051,3874,2,2,1.263195
1354,3012,3,1,1.251097
1372,1614,3,1,1.251097
2027,5326,4,3,1.246686
2904,4770,2,1,1.24267
800,4918,2,1,1.24267
325,4127,2,1,1.24267
2464,2576,2,1,1.24267
1948,3451,5,5,1.237781
4381,5974,3,3,1.236284
4733,5329,4,4,1.235622
1599,6363,2,2,1.235246
478,865,3,3,1.226782
2986,6852,3,2,1.213652
6099,6219,2,2,1.210341
2723,5478,3,3,1.210085
1970,6178,4,4,1.189651
1858,4405,2,2,1.179446
4517,4877,3,3,1.172207
607,2762,3,3,1.172191
5065,5902,4,3,1.170636
2764,3686,4,2,1.159839
507,3051,4,1,1.154156
618,753,3,3,1.15137
4095,4917,3,3,1.136401
1206,5588,4,2,1.116768
2753,4971,2,1,1.116221
1372,1494,3,2,1.115331
2926,4941,4,3,1.112923
3044,4122,5,1,1.105757
3377,4122,5,1,1.105757
4276,5545,2,2,1.090617
4188,6693,3,3,1.086619
326,4426,3,2,1.083915
2205,3593,3,3,1.082001
535,2596,3,3,1.07111
4576,6398,4,4,1.060036
2184,3377,4,2,1.053326
888,1977,2,2,1.044863
1083,1910,3,1,1.037929
296,726,2,1,1.027797
3180,6745,2,1,1.027797
3698,6001,2,1,1.027797
753,6062,5,2,1.026286
2880,6774,3,3,1.007267
4080,6083,4,1,0.99817
1053,1344,3,2,0.983834
737,5081,2,2,0.975143
2771,5225,2,1,0.961797
2089,3065,2,2,0.961797
5348,6178,4,4,0.960025
3619,6836,3,3,0.952743
4497,5751,2,2,0.947982
638,5415,3,3,0.947079
6007,6535,3,3,0.916485
481,1658,1,1,0.910239
1351,1598,1,1,0.910239
3192,5931,1,1,0.910239
2501,2974,1,1,0.910239
6144,6473,1,1,0.910239
2679,5748,1,1,0.910239
2114,5634,1,1,0.910239
1312,2632,1,1,0.910239
1522,2185,1,1,0.910239
3343,3387,1,1,0.910239
754,2219,1,1,0.910239
5317,6755,1,1,0.910239
903,1493,1,1,0.910239
3661,5748,1,1,0.910239
2893,5076,1,1,0.910239
2066,6248,1,1,0.910239
4585,4772,1,1,0.910239
963,6467,1,1,0.910239
931,1439,1,1,0.910239
1011,4526,1,1,0.910239
1711,2674,1,1,0.910239
827,6457,1,1,0.910239
1544,2585,1,1,0.910239
140,4716,1,1,0.910239
332,5044,1,1,0.910239
2568,4883,1,1,0.910239
2758,4321,1,1,0.910239
1977,6310,3,3,0.906702
6173,6629,2,2,0.896243
168,2631,2,2,0.892822
1179,6185,2,2,0.890529
2549,4471,3,3,0.888753
3231,4877,2,2,0.885592
2124,3757,4,1,0.884606
3377,3757,4,1,0.884606
2879,3044,4,1,0.884606
2879,4996,4,1,0.884606
2124,3044,4,1,0.884606
3044,3377,4,1,0.884606
48,1648,2,2,0.883328
3673,4706,2,2,0.883168
1709,2764,3,3,0.874692
204,5757,2,2,0.874572
3820,6509,3,3,0.868837
1611,4980,2,2,0.863634
1246,6523,2,2,0.851327
500,4496,2,2,0.844991
468,4934,2,2,0.837166
3731,4935,3,3,0.83618
186,1211,2,2,0.835049
1953,4088,2,2,0.834043
3180,6162,2,2,0.817311
168,204,2,2,0.817311
3249,5981,3,3,0.816
140,1338,5,2,0.808984
475,4318,2,2,0.808076
2225,2261,3,3,0.807095
3075,5344,4,1,0.805989
3123,3231,2,2,0.804859
2775,4029,2,2,0.804414
618,3169,2,2,0.803564
1834,3959,2,2,0.801096
4318,5405,2,2,0.801096
1772,2525,2,2,0.781
3361,4390,2,1,0.779742
2507,2696,4,1,0.778847
2389,3167,2,2,0.777706
992,1372,2,2,0.777706
524,3956,3,3,0.776081
231,2410,2,2,0.773918
464,3924,2,2,0.773629
6134,6745,2,2,0.770848
33,2495,2,2,0.769437
4845,6719,2,2,0.766898
3277,6062,3,2,0.764324
4765,5068,2,2,0.762047
2081,4748,2,1,0.757846
226,287,2,1,0.757846
1370,4748,2,1,0.757846
690,1211,2,2,0.755221
720,5003,2,2,0.748406
200,2859,2,2,0.738539
2367,2458,2,1,0.738539
3623,5381,2,1,0.738539
170,517,3,3,0.733986
