constructed_group_id,user_id,regime
est_000000,2638,established
est_000000,3904,established
est_000000,6248,established
est_000001,2040,established
est_000001,6225,established
est_000001,6248,established
est_000002,2638,established
est_000002,6248,established
est_000003,1619,established
est_000003,2562,established
est_000003,4226,established
est_000004,2220,established
est_000004,4384,established
est_000004,6248,established
est_000005,2952,established
est_000005,6225,established
est_000005,6248,established
est_000006,3904,established
est_000006,6248,established
est_000007,3904,established
est_000007,5517,established
est_000007,6248,established
est_000008,6225,established
est_000008,6248,established
est_000009,2220,established
est_000009,6248,established
est_000010,2952,established
est_000010,6248,established
est_000011,2040,established
est_000011,6248,established
est_000012,2220,established
est_000012,3904,established
est_000012,6248,established
est_000013,4384,established
est_000013,6248,established
est_000014,1544,established
est_000014,2585,established
est_000015,2952,established
est_000015,3904,established
est_000015,4299,established
est_000015,4722,established
est_000016,2638,established
est_000016,3643,established
est_000017,3427,established
est_000017,6369,established
est_000018,3530,established
est_000018,4631,established
est_000019,6035,established
est_000019,6083,established
est_000020,522,established
est_000020,2952,established
est_000020,3904,established
est_000020,5008,established
est_000020,6544,established
est_000021,1102,established
est_000021,1354,established
est_000021,2251,established
est_000021,4136,established
est_000021,5338,established
est_000022,2952,established
est_000022,3904,established
est_000022,6248,established
est_000023,1400,established
est_000023,4050,established
est_000024,3148,established
est_000024,3177,established
est_000025,5517,established
est_000025,6248,established
est_000026,2638,established
est_000026,6544,established
est_000027,2952,established
est_000027,6225,established
est_000028,4080,established
est_000028,6083,established
est_000029,368,established
est_000029,506,established
est_000030,1400,established
est_000030,2589,established
est_000030,4050,established
est_000031,1400,established
est_000031,2084,established
est_000031,3735,established
est_000031,4601,established
est_000032,2147,established
est_000032,2315,established
est_000032,2758,established
est_000032,4321,established
est_000033,2710,established
est_000033,3060,established
est_000033,6548,established
est_000034,2952,established
est_000034,6544,established
est_000035,2816,established
est_000035,2952,established
est_000036,1619,established
est_000036,1963,established
est_000036,2562,established
est_000036,4738,established
est_000036,6427,established
est_000037,1619,established
est_000037,4226,established
est_000038,2076,established
est_000038,6594,established
est_000039,2324,established
est_000039,3279,established
est_000039,3785,established
est_000040,3377,established
est_000040,3904,established
est_000040,4818,established
est_000041,3643,established
est_000041,5008,established
est_000042,910,established
est_000042,3905,established
est_000043,4554,established
est_000043,6128,established
est_000044,1172,established
est_000044,6395,established
est_000045,1400,established
est_000045,4601,established
est_000046,1400,established
est_000046,3735,established
est_000046,4601,established
est_000047,2064,established
est_000047,3548,established
est_000048,983,established
est_000048,2507,established
est_000048,2696,established
est_000048,6579,established
est_000049,2562,established
est_000049,4226,established
est_000050,2638,established
est_000050,6458,established
est_000051,1304,established
est_000051,2638,established
est_000052,2638,established
est_000052,3643,established
est_000052,3904,established
est_000052,5823,established
est_000052,6035,established
est_000053,2952,established
est_000053,3904,established
est_000054,2952,established
est_000054,6153,established
est_000055,2952,established
est_000055,4601,established
est_000055,5008,established
est_000055,5512,established
est_000055,6267,established
est_000056,2952,established
est_000056,5512,established
est_000057,2077,established
est_000057,2952,established
est_000058,600,established
est_000058,3554,established
est_000059,3643,established
est_000059,4912,established
est_000060,2816,established
est_000060,3662,established
est_000061,4589,established
est_000061,4888,established
est_000061,4895,established
est_000062,5008,established
est_000062,6035,established
est_000063,1186,established
est_000063,6128,established
est_000064,4779,established
est_000064,6774,established
est_000065,567,established
est_000065,934,established
est_000065,6594,established
est_000066,1617,established
est_000066,4438,established
est_000066,5781,established
est_000067,1661,established
est_000067,3890,established
est_000067,3942,established
est_000067,5906,established
est_000067,6526,established
est_000068,1661,established
est_000068,2531,established
est_000068,3259,established
est_000069,1661,established
est_000069,1695,established
est_000069,3890,established
est_000069,5906,established
est_000070,2076,established
est_000070,3083,established
est_000070,4124,established
est_000070,6052,established
est_000071,2313,established
est_000071,6409,established
est_000072,2531,established
est_000072,3259,established
est_000072,4691,established
est_000072,5085,established
est_000073,2638,established
est_000073,3904,established
est_000073,6035,established
est_000073,6544,established
est_000074,2952,established
est_000074,6267,established
est_000075,2952,established
est_000075,3904,established
est_000075,4722,established
est_000076,2952,established
est_000076,5008,established
est_000077,3040,established
est_000077,4631,established
est_000078,3148,established
est_000078,3808,established
est_000079,3148,established
est_000079,3177,established
est_000079,3808,established
est_000080,3290,established
est_000080,3643,established
est_000081,3377,established
est_000081,3904,established
est_000082,3530,established
est_000082,4738,established
est_000083,2793,established
est_000083,3530,established
est_000084,3643,established
est_000084,6035,established
est_000085,4631,established
est_000085,6755,established
est_000086,4760,established
est_000086,6266,established
est_000087,5517,established
est_000087,6035,established
est_000088,6144,established
est_000088,6473,established
est_000089,6440,established
est_000089,6582,established
est_000090,455,established
est_000090,3069,established
est_000091,1102,established
est_000091,1354,established
est_000091,2251,established
est_000092,1400,established
est_000092,2084,established
est_000092,3735,established
est_000093,1479,established
est_000093,3906,established
est_000093,4551,established
est_000093,6843,established
est_000094,2076,established
est_000094,2851,established
est_000094,6594,established
est_000095,2077,established
est_000095,2766,established
est_000095,3228,established
est_000096,2313,established
est_000096,5465,established
est_000097,2359,established
est_000097,2720,established
est_000098,2111,established
est_000098,2562,established
est_000098,4738,established
est_000099,2580,established
est_000099,3304,established
est_000100,2638,established
est_000100,4144,established
est_000101,2638,established
est_000101,6035,established
est_000102,1161,established
est_000102,2894,established
est_000102,3718,established
est_000102,3994,established
est_000102,5016,established
est_000103,522,established
est_000103,2952,established
est_000104,522,established
est_000104,2952,established
est_000104,3904,established
est_000104,6544,established
est_000105,2952,established
est_000105,4601,established
est_000106,2952,established
est_000106,6578,established
est_000107,3005,established
est_000107,4153,established
est_000108,1318,established
est_000108,3040,established
est_000109,3333,established
est_000109,3904,established
est_000110,3345,established
est_000110,5824,established
est_000111,3377,established
est_000111,4818,established
est_000112,3380,established
est_000112,4080,established
est_000112,6083,established
est_000113,3530,established
est_000113,3643,established
est_000114,3643,established
est_000114,6225,established
est_000115,3776,established
est_000115,6035,established
est_000116,2333,established
est_000116,4320,established
est_000117,4585,established
est_000117,5336,established
est_000117,5824,established
est_000118,3698,established
est_000118,4631,established
est_000119,140,established
est_000119,4760,established
est_000120,5584,established
est_000120,5741,established
est_000121,3951,established
est_000121,5767,established
est_000122,5103,established
est_000122,5973,established
est_000123,4992,established
est_000123,6034,established
est_000123,6411,established
est_000123,6863,established
est_000124,157,established
est_000124,674,established
est_000125,221,established
est_000125,739,established
est_000125,1343,established
est_000125,6266,established
est_000125,6739,established
est_000126,299,established
est_000126,1882,established
est_000126,4109,established
est_000126,5317,established
est_000127,311,established
est_000127,377,established
est_000128,377,established
est_000128,5894,established
est_000129,417,established
est_000129,1549,established
est_000130,439,established
est_000130,5550,established
est_000130,6220,established
est_000131,783,established
est_000131,2816,established
est_000131,5821,established
est_000132,801,established
est_000132,3093,established
est_000133,1106,established
est_000133,1280,established
est_000133,2795,established
est_000134,1106,established
est_000134,1280,established
est_000135,1323,established
est_000135,4631,established
est_000136,1343,established
est_000136,6739,established
est_000137,1349,established
est_000137,2751,established
est_000137,3578,established
est_000137,5584,established
est_000138,1412,established
est_000138,4734,established
est_000139,1780,established
est_000139,2076,established
est_000139,3083,established
est_000140,1782,established
est_000140,5550,established
est_000141,1304,established
est_000141,2002,established
est_000141,2638,established
est_000141,6544,established
est_000142,1549,established
est_000142,2064,established
est_000142,3548,established
est_000143,1445,established
est_000143,2076,established
est_000144,2103,established
est_000144,6083,established
est_000145,2131,established
est_000145,6035,established
est_000146,2313,established
est_000146,2638,established
est_000147,2444,established
est_000147,2614,established
est_000148,2471,established
est_000148,3530,established
est_000149,2568,established
est_000149,2751,established
est_000149,3578,established
est_000149,5584,established
est_000150,2614,established
est_000150,4144,established
est_000151,439,established
est_000151,2638,established
est_000152,984,established
est_000152,2720,established
est_000153,2893,established
est_000153,6676,established
est_000154,2893,established
est_000154,3744,established
est_000155,287,established
est_000155,2893,established
est_000156,522,established
est_000156,2816,established
est_000156,2952,established
est_000156,5008,established
est_000156,6153,established
est_000157,2952,established
est_000157,3904,established
est_000157,6544,established
est_000158,2952,established
est_000158,3904,established
est_000158,5008,established
est_000158,6544,established
est_000159,3040,established
est_000159,3211,established
est_000160,2531,established
est_000160,3259,established
est_000160,4691,established
est_000161,1028,established
est_000161,3530,established
est_000162,3530,established
est_000162,5505,established
est_000163,2324,established
est_000163,3530,established
est_000164,3530,established
est_000164,5765,established
est_000165,3375,established
est_000165,3530,established
est_000166,2803,established
est_000166,3546,established
est_000167,48,established
est_000167,200,established
est_000167,311,established
est_000167,3627,established
est_000167,6443,established
est_000168,2638,established
est_000168,3643,established
est_000168,3904,established
est_000168,6035,established
est_000169,3643,established
est_000169,6395,established
est_000170,3643,established
est_000170,5765,established
est_000171,3901,established
est_000171,5782,established
est_000172,3942,established
est_000172,5939,established
est_000173,3956,established
est_000173,4601,established
est_000174,4039,established
est_000174,4760,established
est_000175,2746,established
est_000175,4094,established
est_000176,3698,established
est_000176,4284,established
est_000176,4631,established
est_000177,2764,established
est_000177,4298,established
est_000177,5073,established
est_000177,6084,established
est_000178,1200,established
est_000178,4367,established
est_000178,6544,established
est_000179,1327,established
est_000179,4557,established
est_000180,4585,established
est_000180,4965,established
est_000181,4631,established
est_000181,6001,established
est_000182,4631,established
est_000182,4738,established
est_000183,4932,established
est_000183,5717,established
est_000184,2976,established
est_000184,2981,established
est_000184,5029,established
est_000184,5217,established
est_000185,3860,established
est_000185,5550,established
est_000185,6564,established
est_000186,5584,established
est_000186,6409,established
est_000187,2568,established
est_000187,3578,established
est_000187,3838,established
est_000187,5584,established
est_000188,1182,established
est_000188,1812,established
est_000188,2312,established
est_000188,4662,established
est_000188,5770,established
est_000189,2703,established
est_000189,5858,established
est_000190,6035,established
est_000190,6544,established
est_000191,6062,established
est_000191,6169,established
est_000192,3855,established
est_000192,6083,established
est_000193,3836,established
est_000193,6083,established
est_000194,439,established
est_000194,6220,established
est_000195,3191,established
est_000195,5976,established
est_000195,6280,established
est_000195,6344,established
