constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_000000,established,3,2638|3904|6248,2638|3904|6248,33,21,6,6,0.241
est_000001,established,3,2040|6225|6248,6225|6248,27,19,3,5,0.5367
est_000002,established,2,2638|6248,2638|6248,26,18,3,5,0.3212
est_000003,established,3,1619|2562|4226,2562|4226,24,15,2,7,0.0793
est_000004,established,3,2220|4384|6248,6248,24,13,4,7,0.2319
est_000005,established,3,2952|6225|6248,2952|6225|6248,22,16,1,5,0.3796
est_000006,established,2,3904|6248,3904|6248,21,16,2,3,0.1641
est_000007,established,3,3904|5517|6248,6248,21,14,3,4,0.1586
est_000008,established,2,6225|6248,6248,20,16,2,2,0.5326
est_000009,established,2,2220|6248,6248,20,14,1,5,0.1835
est_000010,established,2,2952|6248,2952|6248,19,13,0,6,0.0746
est_000011,established,2,2040|6248,2040|6248,19,11,3,5,0.4383
est_000012,established,3,2220|3904|6248,2220|6248,18,9,4,5,0.1923
est_000013,established,2,4384|6248,6248,18,10,3,5,0.3302
est_000014,established,2,1544|2585,1544|2585,17,16,1,0,0.4334
est_000015,established,4,2952|3904|4299|4722,2952,16,8,4,4,0.3174
est_000016,established,2,2638|3643,2638|3643,15,10,2,3,0.4267
est_000017,established,2,3427|6369,3427|6369,15,13,0,2,0.3951
est_000018,established,2,3530|4631,3530|4631,15,10,1,4,0.5366
est_000019,established,2,6035|6083,6035|6083,15,13,2,0,0.5968
est_000020,established,5,522|2952|3904|5008|6544,522|2952|5008|6544,14,10,3,1,0.4485
est_000021,established,5,1102|1354|2251|4136|5338,1102|1354|2251|4136|5338,14,10,2,2,0.0881
est_000022,established,3,2952|3904|6248,2952|6248,14,9,1,4,0.132
est_000023,established,2,1400|4050,1400|4050,13,6,2,5,0.3953
est_000024,established,2,3148|3177,3148|3177,13,9,0,4,0.1346
est_000025,established,2,5517|6248,5517|6248,13,12,0,1,0.1603
est_000026,established,2,2638|6544,2638,12,9,0,3,0.5845
est_000027,established,2,2952|6225,2952,12,8,4,0,0.54
est_000028,established,2,4080|6083,4080|6083,12,10,1,1,0.2599
est_000029,established,2,368|506,506,11,7,3,1,0.622
est_000030,established,3,1400|2589|4050,1400|4050,11,6,0,5,0.4337
est_000031,established,4,1400|2084|3735|4601,1400,11,7,3,1,0.3931
est_000032,established,4,2147|2315|2758|4321,2147|2315|4321,11,8,0,3,0.0419
est_000033,established,3,2710|3060|6548,2710|3060|6548,11,9,1,1,0.4653
est_000034,established,2,2952|6544,2952|6544,11,7,1,3,0.6727
est_000035,established,2,2816|2952,2816|2952,11,8,2,1,0.5863
est_000036,established,5,1619|1963|2562|4738|6427,1619|1963|2562|4738,10,6,2,2,0.2074
est_000037,established,2,1619|4226,1619|4226,10,5,0,5,0.0957
est_000038,established,2,2076|6594,2076|6594,10,8,1,1,0.0798
est_000039,established,3,2324|3279|3785,3279,10,8,0,2,0.6606
est_000040,established,3,3377|3904|4818,3377|3904,10,6,2,2,0.7382
est_000041,established,2,3643|5008,3643|5008,10,4,1,5,0.5734
est_000042,established,2,910|3905,3905,10,6,1,3,0.4814
est_000043,established,2,4554|6128,6128,10,6,2,2,0.5408
est_000044,established,2,1172|6395,1172|6395,9,7,1,1,0.4031
est_000045,established,2,1400|4601,1400|4601,9,5,1,3,0.6653
est_000046,established,3,1400|3735|4601,1400,9,5,3,1,0.4708
est_000047,established,2,2064|3548,2064|3548,9,9,0,0,0.8523
est_000048,established,4,983|2507|2696|6579,2507|6579,9,7,0,2,0.2399
est_000049,established,2,2562|4226,2562|4226,9,6,1,2,0.0712
est_000050,established,2,2638|6458,2638|6458,9,4,4,1,0.3497
est_000051,established,2,1304|2638,2638,9,4,1,4,0.8581
est_000052,established,5,2638|3643|3904|5823|6035,2638|3643,9,3,1,5,0.3904
est_000053,established,2,2952|3904,2952,9,6,2,1,0.1671
est_000054,established,2,2952|6153,2952,9,7,1,1,0.8435
est_000055,established,5,2952|4601|5008|5512|6267,2952|4601,9,6,1,2,0.5616
est_000056,established,2,2952|5512,2952|5512,9,4,1,4,0.8784
est_000057,established,2,2077|2952,2952,9,7,0,2,0.8918
est_000058,established,2,600|3554,3554,9,8,1,0,0.4347
est_000059,established,2,3643|4912,3643|4912,9,8,0,1,0.3567
est_000060,established,2,2816|3662,3662,9,6,1,2,0.2635
est_000061,established,3,4589|4888|4895,4589|4888|4895,9,5,2,2,0.2443
est_000062,established,2,5008|6035,5008|6035,9,6,1,2,0.5805
est_000063,established,2,1186|6128,6128,9,6,1,2,0.9526
est_000064,established,2,4779|6774,4779|6774,9,2,3,4,0.6238
est_000065,established,3,567|934|6594,567|934|6594,8,5,2,1,0.0727
est_000066,established,3,1617|4438|5781,1617|5781,8,8,0,0,0.5134
est_000067,established,5,1661|3890|3942|5906|6526,1661|3890|5906,8,5,1,2,0.2876
est_000068,established,3,1661|2531|3259,1661|2531|3259,8,5,2,1,0.2571
est_000069,established,4,1661|1695|3890|5906,1695|3890|5906,8,5,1,2,0.3068
est_000070,established,4,2076|3083|4124|6052,2076|3083|4124,8,5,1,2,0.1556
est_000071,established,2,2313|6409,2313,8,6,0,2,0.8612
est_000072,established,4,2531|3259|4691|5085,2531|3259|4691|5085,8,6,0,2,0.1908
est_000073,established,4,2638|3904|6035|6544,2638|6035|6544,8,6,0,2,0.3974
est_000074,established,2,2952|6267,2952,8,6,0,2,0.7484
est_000075,established,3,2952|3904|4722,2952|4722,8,7,0,1,0.2139
est_000076,established,2,2952|5008,2952|5008,8,4,2,2,0.4326
est_000077,established,2,3040|4631,3040|4631,8,6,0,2,0.7069
est_000078,established,2,3148|3808,3148,8,6,2,0,0.3794
est_000079,established,3,3148|3177|3808,3148|3177,8,6,1,1,0.2927
est_000080,established,2,3290|3643,3290|3643,8,6,0,2,0.2865
est_000081,established,2,3377|3904,3377,8,5,2,1,0.6038
est_000082,established,2,3530|4738,3530,8,6,2,0,0.775
est_000083,established,2,2793|3530,3530,8,5,1,2,0.7038
est_000084,established,2,3643|6035,3643|6035,8,4,1,3,0.4566
est_000085,established,2,4631|6755,4631,8,8,0,0,0.7417
est_000086,established,2,4760|6266,4760|6266,8,6,0,2,0.836
est_000087,established,2,5517|6035,5517|6035,8,5,0,3,0.3877
est_000088,established,2,6144|6473,6473,8,8,0,0,0.1529
est_000089,established,2,6440|6582,6582,8,5,1,2,0.6664
est_000090,established,2,455|3069,455|3069,7,4,3,0,0.2042
est_000091,established,3,1102|1354|2251,1102|1354|2251,7,4,1,2,0.0809
est_000092,established,3,1400|2084|3735,1400,7,5,1,1,0.4418
est_000093,established,4,1479|3906|4551|6843,1479|6843,7,3,2,2,0.258
est_000094,established,3,2076|2851|6594,2076|2851|6594,7,4,0,3,0.256
est_000095,established,3,2077|2766|3228,2077|2766,7,6,0,1,0.3118
est_000096,established,2,2313|5465,2313|5465,7,6,1,0,0.7041
est_000097,established,2,2359|2720,2359,7,4,1,2,0.635
est_000098,established,3,2111|2562|4738,2562,7,6,0,1,0.5853
est_000099,established,2,2580|3304,2580|3304,7,6,0,1,0.1097
est_000100,established,2,2638|4144,2638|4144,7,6,1,0,0.3473
est_000101,established,2,2638|6035,2638|6035,7,7,0,0,0.2759
est_000102,established,5,1161|2894|3718|3994|5016,2894|3994|5016,7,4,1,2,0.1349
est_000103,established,2,522|2952,2952,7,6,0,1,0.2785
est_000104,established,4,522|2952|3904|6544,2952|3904,7,6,1,0,0.4713
est_000105,established,2,2952|4601,2952,7,4,1,2,0.877
est_000106,established,2,2952|6578,2952|6578,7,1,3,3,0.949
est_000107,established,2,3005|4153,3005|4153,7,4,1,2,0.2076
est_000108,established,2,1318|3040,3040,7,4,2,1,0.4847
est_000109,established,2,3333|3904,3333,7,5,0,2,0.396
est_000110,established,2,3345|5824,3345,7,5,0,2,0.7197
est_000111,established,2,3377|4818,3377,7,4,0,3,0.7921
est_000112,established,3,3380|4080|6083,3380|4080,7,6,0,1,0.2768
est_000113,established,2,3530|3643,3530|3643,7,3,1,3,0.8844
est_000114,established,2,3643|6225,3643|6225,7,3,0,4,0.4061
est_000115,established,2,3776|6035,3776|6035,7,5,1,1,0.7551
est_000116,established,2,2333|4320,4320,7,5,1,1,0.7512
est_000117,established,3,4585|5336|5824,4585|5336,7,4,2,1,0.4158
est_000118,established,2,3698|4631,4631,7,5,1,1,0.6185
est_000119,established,2,140|4760,140|4760,7,5,1,1,0.8562
est_000120,established,2,5584|5741,5584|5741,7,4,1,2,0.6413
