group_id,venue_id,poi_idx,span_min,size,start_time,end_time,members
0,3fd66200f964a52000e71ee3,0,0,2,2013-01-13 00:49:00+00:00,2013-01-13 00:49:00+00:00,3847|4518
1,3fd66200f964a52004e41ee3,9,0,2,2012-05-09 00:15:00+00:00,2012-05-09 00:15:00+00:00,626|5757
2,3fd66200f964a52004e41ee3,9,0,2,2012-07-04 02:42:00+00:00,2012-07-04 02:42:00+00:00,588|6339
3,3fd66200f964a52005eb1ee3,15,0,2,2012-04-19 00:35:00+00:00,2012-04-19 00:35:00+00:00,4926|5872
4,3fd66200f964a52005eb1ee3,15,0,2,2012-05-14 22:47:00+00:00,2012-05-14 22:47:00+00:00,1167|4302
5,3fd66200f964a52005eb1ee3,15,0,2,2012-12-09 00:33:00+00:00,2012-12-09 00:33:00+00:00,1565|2899
6,3fd66200f964a52008f11ee3,23,0,2,2012-05-05 20:58:00+00:00,2012-05-05 20:58:00+00:00,2356|2691
7,3fd66200f964a52008f11ee3,23,0,2,2012-05-12 21:14:00+00:00,2012-05-12 21:14:00+00:00,3949|4318
8,3fd66200f964a52008f11ee3,23,0,2,2012-05-19 00:37:00+00:00,2012-05-19 00:37:00+00:00,93|2594
9,3fd66200f964a5200ae51ee3,25,0,3,2012-05-02 04:50:00+00:00,2012-05-02 04:50:00+00:00,204|998|5757
10,3fd66200f964a5200ae51ee3,25,0,2,2012-06-11 04:42:00+00:00,2012-06-11 04:42:00+00:00,168|998
11,3fd66200f964a5200ae61ee3,26,0,2,2012-07-04 04:09:00+00:00,2012-07-04 04:09:00+00:00,2594|5298
12,3fd66200f964a5200ae71ee3,27,0,2,2012-10-28 01:43:00+00:00,2012-10-28 01:43:00+00:00,5084|6422
13,3fd66200f964a5200ce61ee3,31,0,2,2012-05-05 23:24:00+00:00,2012-05-05 23:24:00+00:00,0|3469
14,3fd66200f964a5200fe41ee3,39,0,2,2012-10-27 19:16:00+00:00,2012-10-27 19:16:00+00:00,3231|4877
15,3fd66200f964a5200fe41ee3,39,0,2,2013-01-25 05:39:00+00:00,2013-01-25 05:39:00+00:00,1977|6310
16,3fd66200f964a52010f11ee3,43,0,2,2012-06-07 03:25:00+00:00,2012-06-07 03:25:00+00:00,2981|3818
17,3fd66200f964a52012e41ee3,45,0,2,2012-04-14 04:07:00+00:00,2012-04-14 04:07:00+00:00,1697|5280
18,3fd66200f964a52012e41ee3,45,0,2,2012-04-28 06:21:00+00:00,2012-04-28 06:21:00+00:00,1697|5280
19,3fd66200f964a52014eb1ee3,48,0,2,2012-05-10 00:04:00+00:00,2012-05-10 00:04:00+00:00,712|5639
20,3fd66200f964a52014eb1ee3,48,0,2,2012-10-18 23:51:00+00:00,2012-10-18 23:51:00+00:00,2207|3224
21,3fd66200f964a52014eb1ee3,48,0,2,2013-02-17 04:20:00+00:00,2013-02-17 04:20:00+00:00,3411|4668
22,3fd66200f964a52016e51ee3,52,0,2,2012-06-10 00:09:00+00:00,2012-06-10 00:09:00+00:00,1977|6310
23,3fd66200f964a52018e51ee3,56,0,2,2012-05-02 06:23:00+00:00,2012-05-02 06:23:00+00:00,168|998
