from_group,to_group,from_poi,to_poi,gap_min,n_shared,jaccard,members
2165,4277,2237,11394,217,2,1.0,626|2319
6,152,23,380,189,2,1.0,2356|2691
3817,23,8427,56,196,2,1.0,168|998
16,1736,43,1349,118,2,1.0,2981|3818
3790,17,8257,45,14,2,1.0,1697|5280
3970,18,9579,45,151,2,1.0,1697|5280
3956,1684,9438,1266,52,2,0.6667,1246|4040
4218,95,11097,210,149,2,0.5,1246|6523
93,3360,203,4912,163,2,1.0,1329|2541
4232,29,11186,74,190,2,0.6667,4016|6509
1341,3125,1049,4527,29,2,1.0,372|4697
4307,3650,11649,7227,31,2,1.0,63|590
175,237,423,433,227,2,0.5,2347|3718
41,2953,86,3914,81,2,0.6667,5834|6227
4431,670,12580,803,79,2,0.6667,2665|4443
61,284,107,505,73,2,1.0,4915|6008
2356,61,2656,107,105,2,1.0,4915|6008
2356,284,2656,505,178,2,1.0,4915|6008
498,66,635,119,55,2,0.6667,3673|6039
1816,1912,1493,1616,219,2,1.0,3673|6039
4563,498,13441,635,63,2,0.6667,3673|4706
1793,498,1433,635,59,2,0.6667,4706|6039
651,3308,753,4807,229,2,0.5,2786|4148
73,3391,140,5188,42,2,1.0,1304|6680
101,73,222,140,164,2,1.0,1304|6680
101,2174,222,2259,120,2,1.0,1304|6680
101,3391,222,5188,206,2,1.0,1304|6680
1128,2089,1043,1991,147,2,0.6667,1304|6680
1130,2310,1043,2513,137,2,0.6667,1304|6680
1137,3642,1043,7151,90,2,0.6667,1304|6680
1165,3710,1043,7603,100,2,0.6667,1304|6680
1175,1707,1043,1299,121,2,0.5,1304|6680
1201,1606,1043,1141,129,2,1.0,1304|6680
1619,2020,1188,1842,96,2,1.0,1304|6680
1619,3313,1188,4828,185,2,1.0,1304|6680
1630,2834,1226,3315,20,2,1.0,1304|6680
1631,608,1226,715,63,2,1.0,1304|6680
1661,1632,1239,1226,131,2,1.0,1304|6680
1661,2840,1239,3335,39,2,1.0,1304|6680
1957,631,1687,750,201,2,1.0,1304|6680
1958,3315,1687,4828,76,2,1.0,1304|6680
1959,2273,1687,2426,47,2,1.0,1304|6680
2020,3313,1842,4828,89,2,1.0,1304|6680
2088,4395,1991,12299,196,2,1.0,1304|6680
2089,2926,1991,3746,128,2,1.0,1304|6680
2107,1960,2043,1687,225,2,1.0,1304|6680
2127,101,2129,222,152,2,1.0,1304|6680
2174,73,2259,140,44,2,1.0,1304|6680
2174,3391,2259,5188,86,2,1.0,1304|6680
2175,236,2259,432,131,2,1.0,1304|6680
2214,4698,2384,13837,216,2,0.6667,1304|6680
2276,2791,2430,3155,40,2,1.0,1304|6680
2276,3559,2430,6321,70,2,1.0,1304|6680
2277,1190,2430,1043,61,2,0.6667,1304|6680
2279,114,2435,265,85,2,1.0,1304|6680
2310,1131,2513,1043,30,2,0.6667,1304|6680
2327,2838,2559,3335,149,2,1.0,1304|6680
2784,2327,3120,2559,44,2,1.0,1304|6680
2784,2838,3120,3335,193,2,1.0,1304|6680
2791,3559,3155,6321,30,2,1.0,1304|6680
2838,1630,3335,1226,102,2,1.0,1304|6680
2838,2834,3335,3315,122,2,1.0,1304|6680
2839,608,3335,715,180,2,1.0,1304|6680
2839,1631,3335,1226,117,2,1.0,1304|6680
2839,3643,3335,7151,10,2,1.0,1304|6680
2840,1632,3335,1226,92,2,1.0,1304|6680
2861,1197,3420,1043,129,2,1.0,1304|6680
3312,1619,4828,1188,86,2,1.0,1304|6680
3312,2020,4828,1842,182,2,1.0,1304|6680
3314,4384,4828,12174,14,2,1.0,1304|6680
3596,2083,6716,1983,66,2,1.0,1304|6680
3643,608,7151,715,170,2,1.0,1304|6680
3643,1631,7151,1226,107,2,1.0,1304|6680
3717,1201,7669,1043,56,2,1.0,1304|6680
3717,1606,7669,1141,185,2,1.0,1304|6680
