venue_id,name,category,locality,region,description,poi_idx,latitude,longitude
3fd66200f964a52000e71ee3,,Arts & Entertainment>Music Venue>Jazz Club,New York,NY,,0,40.733596,-74.003139
3fd66200f964a52000e81ee3,,Shop & Service>Gym / Fitness Center>Gym,New York,NY,,1,40.758102,-73.975734
3fd66200f964a52001e81ee3,,Nightlife Spot>Bar>Sports Bar,New York,NY,,2,40.756377,-73.967653
3fd66200f964a52001ef1ee3,,Nightlife Spot>Bar,Los Angeles,CA,,3,,
3fd66200f964a52001f01ee3,,Nightlife Spot>Bar,Los Angeles,CA,,4,,
3fd66200f964a52002ee1ee3,,Nightlife Spot>Bar>Pub,Chicago,IL,,5,,
3fd66200f964a52002ef1ee3,,Nightlife Spot>Bar,Los Angeles,CA,,6,34.075314,-118.253499
3fd66200f964a52003e71ee3,,Food>French Restaurant,New York,NY,,7,40.739685,-74.00602
3fd66200f964a52003e81ee3,,Nightlife Spot>Bar>Hotel Bar,New York,NY,,8,40.756119,-73.972532
3fd66200f964a52004e41ee3,,Nightlife Spot>Bar,New York,NY,,9,40.718363,-73.990817
3fd66200f964a52004e61ee3,,Food>Latin American Restaurant>Cuban Restaurant,New York,NY,,10,40.722842,-73.994116
3fd66200f964a52005e41ee3,,Nightlife Spot>Bar,New York,NY,,11,40.719831,-73.987351
3fd66200f964a52005e51ee3,,Nightlife Spot>Bar>Gay Bar,New York,NY,,12,40.724612,-73.990485
3fd66200f964a52005e71ee3,,Nightlife Spot>Bar,New York,NY,,13,40.728403,-74.005439
3fd66200f964a52005e81ee3,,Nightlife Spot>Bar>Pub,New York,NY,,14,40.756161,-73.967686
3fd66200f964a52005eb1ee3,,Arts & Entertainment>Music Venue,New York,NY,,15,40.73492,-73.988297
3fd66200f964a52007e61ee3,,Nightlife Spot>Bar>Cocktail Bar,New York,NY,,16,40.725755,-73.994913
3fd66200f964a52007ea1ee3,,Food>American Restaurant,New York,NY,,17,40.738098,-74.00417
3fd66200f964a52008e31ee3,,Shop & Service>Thrift / Vintage Store,New York,NY,,18,40.721353,-73.95775
